                                           ,f1-score           ,precision          ,recall            ,support
No activity                                ,0.9507471714577529 ,0.9516625310173698 ,0.9498335710889206,50472.0
Walking                                    ,0.6561988877984952 ,0.6470967741935484 ,0.6655607166556071,1507.0
Jogging                                    ,0.8235294117647058 ,0.8076923076923077 ,0.84              ,1225.0
Running                                    ,0.9142359599477581 ,0.9162303664921466 ,0.9122502172024327,1151.0
Jump up                                    ,0.4550898203592814 ,0.43346007604562736,0.4789915966386555,238.0
Jump front and back                        ,0.40479041916167663,0.4033412887828162 ,0.40625           ,416.0
Jump sideways                              ,0.4211822660098522 ,0.43846153846153846,0.4052132701421801,422.0
Jump leg/arms open/closed                  ,0.8327796234772978 ,0.8411633109619687 ,0.8245614035087719,456.0
Jump rope                                  ,0.5815899581589957 ,0.5914893617021276 ,0.5720164609053497,243.0
Trunk twist (arms outstretched)            ,0.9011808576755749 ,0.9073842302878599 ,0.8950617283950617,810.0
Trunk twist (elbows bent)                  ,0.8504398826979471 ,0.8504398826979472 ,0.8504398826979472,682.0
Waist bends forward                        ,0.8571428571428571 ,0.8492957746478873 ,0.8651362984218077,697.0
Waist rotation                             ,0.804774083546462  ,0.7972972972972973 ,0.8123924268502581,581.0
Waist bends (reach foot with opposite hand),0.9289026275115919 ,0.9289026275115919 ,0.9289026275115919,647.0
Reach heels backwards                      ,0.8560817084493964 ,0.8412408759124088 ,0.8714555765595463,529.0
Lateral bend                               ,0.7717842323651453 ,0.768595041322314  ,0.775             ,480.0
Lateral bend with arm up                   ,0.8418891170431212 ,0.8418891170431212 ,0.8418891170431212,487.0
Repetitive forward stretching              ,0.8970099667774085 ,0.9121621621621622 ,0.8823529411764706,306.0
Upper trunk and lower body opposite twist  ,0.6151515151515151 ,0.6612377850162866 ,0.5750708215297451,353.0
Lateral elevation of arms                  ,0.8150609080841639 ,0.8105726872246696 ,0.8195991091314031,449.0
Frontal elevation of arms                  ,0.7857868020304568 ,0.7603143418467584 ,0.8130252100840336,476.0
Frontal hand claps                         ,0.7981755986316988 ,0.7990867579908676 ,0.7972665148063781,439.0
Frontal crossing of arms                   ,0.850251256281407  ,0.8528225806451613 ,0.8476953907815631,499.0
Shoulders high-amplitude rotation          ,0.7864644107351224 ,0.7873831775700935 ,0.7855477855477856,429.0
Shoulders low-amplitude rotation           ,0.708407871198569  ,0.7096774193548387 ,0.7071428571428572,280.0
Arms inner rotation                        ,0.8739495798319327 ,0.8524590163934426 ,0.896551724137931 ,348.0
Knees (alternating) to the breast          ,0.4641833810888252 ,0.47368421052631576,0.4550561797752809,178.0
Heels (alternatively) to the backside      ,0.64               ,0.6451612903225806 ,0.6349206349206349,189.0
Knees bending (crouching)                  ,0.8295454545454547 ,0.8162939297124601 ,0.8432343234323433,606.0
Knees (alternating) bending forward        ,0.7960893854748604 ,0.811965811965812  ,0.7808219178082192,730.0
Rotation on the knees                      ,0.8753180661577609 ,0.8775510204081632 ,0.8730964467005076,394.0
Rowing                                     ,0.876535229476406  ,0.8737113402061856 ,0.8793774319066148,771.0
Elliptical bike                            ,0.8358344702137335 ,0.836976320582878  ,0.8346957311534968,1101.0
Cycling                                    ,0.9459340659340659 ,0.9380993897122929 ,0.9539007092198581,1128.0
accuracy                                   ,0.9088196904717509 ,0.9088196904717509 ,0.9088196904717509,0.9088196904717509
macro avg                                  ,0.7719422601818027 ,0.771611813050319  ,0.772773841849305 ,69719.0
weighted avg                               ,0.9088266336663384 ,0.9089420217546698 ,0.9088196904717509,69719.0
