                                           ,f1-score           ,precision         ,recall             ,support
No activity                                ,0.9105282738095237 ,0.8994854832782065,0.9218455743879472 ,5310.0
Walking                                    ,0.6885245901639345 ,0.6057692307692307,0.7974683544303798 ,158.0
Jogging                                    ,0.8175182481751826 ,0.7777777777777778,0.8615384615384616 ,130.0
Running                                    ,0.8987854251012145 ,0.9098360655737705,0.888              ,125.0
Jump up                                    ,0.0                ,0.0               ,0.0                ,23.0
Jump front and back                        ,0.0                ,0.0               ,0.0                ,43.0
Jump sideways                              ,0.2222222222222222 ,0.3076923076923077,0.17391304347826086,46.0
Jump leg/arms open/closed                  ,0.7586206896551724 ,0.8048780487804879,0.717391304347826  ,46.0
Jump rope                                  ,0.32432432432432434,0.6               ,0.2222222222222222 ,27.0
Trunk twist (arms outstretched)            ,0.8700564971751412 ,0.8555555555555555,0.8850574712643678 ,87.0
Trunk twist (elbows bent)                  ,0.7891156462585034 ,0.7733333333333333,0.8055555555555556 ,72.0
Waist bends forward                        ,0.7607361963190183 ,0.6888888888888889,0.8493150684931506 ,73.0
Waist rotation                             ,0.7199999999999999 ,0.6818181818181818,0.7627118644067796 ,59.0
Waist bends (reach foot with opposite hand),0.832116788321168  ,0.8142857142857143,0.8507462686567164 ,67.0
Reach heels backwards                      ,0.8108108108108109 ,0.8333333333333334,0.7894736842105263 ,57.0
Lateral bend                               ,0.29729729729729726,0.4583333333333333,0.22               ,50.0
Lateral bend with arm up                   ,0.5473684210526316 ,0.6190476190476191,0.49056603773584906,53.0
Repetitive forward stretching              ,0.2857142857142857 ,0.5454545454545454,0.1935483870967742 ,31.0
Upper trunk and lower body opposite twist  ,0.4285714285714285 ,0.75              ,0.3                ,40.0
Lateral elevation of arms                  ,0.5952380952380952 ,0.6578947368421053,0.5434782608695652 ,46.0
Frontal elevation of arms                  ,0.4893617021276596 ,0.5227272727272727,0.46               ,50.0
Frontal hand claps                         ,0.6506024096385543 ,0.6923076923076923,0.6136363636363636 ,44.0
Frontal crossing of arms                   ,0.6222222222222221 ,0.7567567567567568,0.5283018867924528 ,53.0
Shoulders high-amplitude rotation          ,0.5517241379310345 ,0.5853658536585366,0.5217391304347826 ,46.0
Shoulders low-amplitude rotation           ,0.0                ,0.0               ,0.0                ,28.0
Arms inner rotation                        ,0.25396825396825395,0.32              ,0.21052631578947367,38.0
Knees (alternating) to the breast          ,0.0                ,0.0               ,0.0                ,19.0
Heels (alternatively) to the backside      ,0.0                ,0.0               ,0.0                ,21.0
Knees bending (crouching)                  ,0.8333333333333334 ,0.8208955223880597,0.8461538461538461 ,65.0
Knees (alternating) bending forward        ,0.8333333333333334 ,0.8024691358024691,0.8666666666666667 ,75.0
Rotation on the knees                      ,0.6666666666666666 ,0.7222222222222222,0.6190476190476191 ,42.0
Rowing                                     ,0.8540540540540541 ,0.79              ,0.9294117647058824 ,85.0
Elliptical bike                            ,0.8548387096774193 ,0.8091603053435115,0.905982905982906  ,117.0
Cycling                                    ,0.9195402298850575 ,0.8633093525179856,0.9836065573770492 ,122.0
accuracy                                   ,0.854109961894393  ,0.854109961894393 ,0.854109961894393  ,0.854109961894393
macro avg                                  ,0.5613880674425749 ,0.5961352432202617,0.551703076920042  ,7348.0
weighted avg                               ,0.8432915405869443 ,0.8378604315652532,0.854109961894393  ,7348.0
