                                           ,f1-score            ,precision          ,recall             ,support
No activity                                ,0.2912288716308817  ,0.9899068322981367 ,0.17072844134975898,7468.0
Walking                                    ,0.23958333333333334 ,0.14013709063214014,0.8251121076233184 ,223.0
Jogging                                    ,0.455958549222798   ,0.3308270676691729 ,0.7333333333333333 ,180.0
Running                                    ,0.8224852071005917  ,0.8273809523809523 ,0.8176470588235294 ,170.0
Jump up                                    ,0.19090909090909092 ,0.11413043478260869,0.5833333333333334 ,36.0
Jump front and back                        ,0.2935779816513761  ,0.3404255319148936 ,0.25806451612903225,62.0
Jump sideways                              ,0.037267080745341616,0.0297029702970297 ,0.05               ,60.0
Jump leg/arms open/closed                  ,0.7132867132867133  ,0.6538461538461539 ,0.7846153846153846 ,65.0
Jump rope                                  ,0.12173913043478263 ,0.06774193548387097,0.6                ,35.0
Trunk twist (arms outstretched)            ,0.5714285714285714  ,0.7073170731707317 ,0.4793388429752066 ,121.0
Trunk twist (elbows bent)                  ,0.4245524296675192  ,0.2842465753424658 ,0.8383838383838383 ,99.0
Waist bends forward                        ,0.5392491467576792  ,0.42021276595744683,0.7523809523809524 ,105.0
Waist rotation                             ,0.3863080684596577  ,0.24382716049382716,0.9294117647058824 ,85.0
Waist bends (reach foot with opposite hand),0.8681318681318682  ,0.8977272727272727 ,0.8404255319148937 ,94.0
Reach heels backwards                      ,0.6627218934911242  ,0.6021505376344086 ,0.7368421052631579 ,76.0
Lateral bend                               ,0.19174041297935104 ,0.10726072607260725,0.9027777777777778 ,72.0
Lateral bend with arm up                   ,0.44528301886792454 ,0.30569948186528495,0.8194444444444444 ,72.0
Repetitive forward stretching              ,0.5739130434782609  ,0.4520547945205479 ,0.7857142857142857 ,42.0
Upper trunk and lower body opposite twist  ,0.15789473684210525 ,0.10227272727272728,0.34615384615384615,52.0
Lateral elevation of arms                  ,0.4807692307692308  ,0.6410256410256411 ,0.38461538461538464,65.0
Frontal elevation of arms                  ,0.3106060606060606  ,0.21025641025641026,0.5942028985507246 ,69.0
Frontal hand claps                         ,0.617283950617284   ,0.5208333333333334 ,0.7575757575757576 ,66.0
Frontal crossing of arms                   ,0.53125             ,0.4358974358974359 ,0.68               ,75.0
Shoulders high-amplitude rotation          ,0.5147058823529412  ,0.47297297297297297,0.5645161290322581 ,62.0
Shoulders low-amplitude rotation           ,0.16091954022988506 ,0.1037037037037037 ,0.358974358974359  ,39.0
Arms inner rotation                        ,0.3463203463203463  ,0.22346368715083798,0.7692307692307693 ,52.0
Knees (alternating) to the breast          ,0.05992509363295881 ,0.03292181069958848,0.3333333333333333 ,24.0
Heels (alternatively) to the backside      ,0.5084745762711865  ,0.4411764705882353 ,0.6                ,25.0
Knees bending (crouching)                  ,0.48192771084337344 ,0.37267080745341613,0.6818181818181818 ,88.0
Knees (alternating) bending forward        ,0.5793103448275863  ,0.45901639344262296,0.7850467289719626 ,107.0
Rotation on the knees                      ,0.5635359116022098  ,0.4214876033057851 ,0.85               ,60.0
Rowing                                     ,0.3144827586206897  ,0.18657937806873978,1.0                ,114.0
Elliptical bike                            ,0.5215827338129496  ,0.36989795918367346,0.8841463414634146 ,164.0
Cycling                                    ,0.16578108395324123 ,0.09106830122591944,0.9230769230769231 ,169.0
accuracy                                   ,0.3243978243978244  ,0.3243978243978244 ,0.3243978243978244 ,0.3243978243978244
macro avg                                  ,0.4160039521434975  ,0.3705835291961939 ,0.6594189521048542 ,10296.0
weighted avg                               ,0.3331551471275191  ,0.8200544369735882 ,0.3243978243978244 ,10296.0
