                                           ,f1-score           ,precision          ,recall             ,support
No activity                                ,0.8588662903101075 ,0.8605299860529986 ,0.857209015128126  ,6478.0
Walking                                    ,0.35757575757575755,0.4306569343065693 ,0.30569948186528495,193.0
Jogging                                    ,0.6565349544072949 ,0.6390532544378699 ,0.675              ,160.0
Running                                    ,0.7179487179487181 ,0.7903225806451613 ,0.6577181208053692 ,149.0
Jump up                                    ,0.2898550724637681 ,0.2702702702702703 ,0.3125             ,32.0
Jump front and back                        ,0.35514018691588783,0.37254901960784315,0.3392857142857143 ,56.0
Jump sideways                              ,0.1774193548387097 ,0.15492957746478872,0.20754716981132076,53.0
Jump leg/arms open/closed                  ,0.5846153846153846 ,0.5428571428571428 ,0.6333333333333333 ,60.0
Jump rope                                  ,0.14893617021276598,0.11475409836065574,0.21212121212121213,33.0
Trunk twist (arms outstretched)            ,0.6180257510729614 ,0.5625             ,0.6857142857142857 ,105.0
Trunk twist (elbows bent)                  ,0.32432432432432434,0.3870967741935484 ,0.27906976744186046,86.0
Waist bends forward                        ,0.41509433962264153,0.4782608695652174 ,0.36666666666666664,90.0
Waist rotation                             ,0.48275862068965514,0.49295774647887325,0.47297297297297297,74.0
Waist bends (reach foot with opposite hand),0.6588235294117646 ,0.6511627906976745 ,0.6666666666666666 ,84.0
Reach heels backwards                      ,0.48717948717948717,0.4418604651162791 ,0.5428571428571428 ,70.0
Lateral bend                               ,0.3586206896551724 ,0.32098765432098764,0.40625            ,64.0
Lateral bend with arm up                   ,0.33870967741935487,0.3230769230769231 ,0.3559322033898305 ,59.0
Repetitive forward stretching              ,0.39999999999999997,0.4375             ,0.3684210526315789 ,38.0
Upper trunk and lower body opposite twist  ,0.2826086956521739 ,0.2765957446808511 ,0.28888888888888886,45.0
Lateral elevation of arms                  ,0.4727272727272727 ,0.5                ,0.4482758620689655 ,58.0
Frontal elevation of arms                  ,0.39603960396039606,0.4878048780487805 ,0.3333333333333333 ,60.0
Frontal hand claps                         ,0.4150943396226415 ,0.4583333333333333 ,0.3793103448275862 ,58.0
Frontal crossing of arms                   ,0.3166666666666667 ,0.35185185185185186,0.2878787878787879 ,66.0
Shoulders high-amplitude rotation          ,0.36170212765957444,0.4473684210526316 ,0.30357142857142855,56.0
Shoulders low-amplitude rotation           ,0.1935483870967742 ,0.15789473684210525,0.25               ,36.0
Arms inner rotation                        ,0.29310344827586204,0.23943661971830985,0.37777777777777777,45.0
Knees (alternating) to the breast          ,0.03773584905660378,0.03571428571428571,0.04               ,25.0
Heels (alternatively) to the backside      ,0.27027027027027023,0.3125             ,0.23809523809523808,21.0
Knees bending (crouching)                  ,0.46249999999999997,0.45121951219512196,0.47435897435897434,78.0
Knees (alternating) bending forward        ,0.3888888888888889 ,0.4069767441860465 ,0.3723404255319149 ,94.0
Rotation on the knees                      ,0.4271844660194175 ,0.43137254901960786,0.4230769230769231 ,52.0
Rowing                                     ,0.5052631578947369 ,0.3891891891891892 ,0.72               ,100.0
Elliptical bike                            ,0.6188679245283017 ,0.6612903225806451 ,0.5815602836879432 ,141.0
Cycling                                    ,0.801418439716312  ,0.8432835820895522 ,0.7635135135135135 ,148.0
accuracy                                   ,0.7507527601204416 ,0.7507527601204416 ,0.7507527601204416 ,0.7507527601204416
macro avg                                  ,0.42570728960881316,0.43300464288103285,0.4302043113912542 ,8967.0
weighted avg                               ,0.7520819333075983 ,0.7569741345661254 ,0.7507527601204416 ,8967.0
