                                           ,f1-score           ,precision          ,recall             ,support
No activity                                ,0.8915974397385265 ,0.8647470611544049 ,0.9201686577652846 ,7115.0
Walking                                    ,0.3564356435643564 ,0.3673469387755102 ,0.34615384615384615,208.0
Jogging                                    ,0.643979057591623  ,0.5829383886255924 ,0.7192982456140351 ,171.0
Running                                    ,0.7619047619047618 ,0.7843137254901961 ,0.7407407407407407 ,162.0
Jump up                                    ,0.12000000000000001,0.2                ,0.08571428571428572,35.0
Jump front and back                        ,0.27499999999999997,0.55               ,0.18333333333333332,60.0
Jump sideways                              ,0.08108108108108109,0.23076923076923078,0.04918032786885246,61.0
Jump leg/arms open/closed                  ,0.8032786885245902 ,0.8596491228070176 ,0.7538461538461538 ,65.0
Jump rope                                  ,0.4827586206896552 ,0.5833333333333334 ,0.4117647058823529 ,34.0
Trunk twist (arms outstretched)            ,0.7272727272727273 ,0.8372093023255814 ,0.6428571428571429 ,112.0
Trunk twist (elbows bent)                  ,0.7542857142857144 ,0.8461538461538461 ,0.6804123711340206 ,97.0
Waist bends forward                        ,0.5742574257425742 ,0.5742574257425742 ,0.5742574257425742 ,101.0
Waist rotation                             ,0.5034013605442177 ,0.5873015873015873 ,0.44047619047619047,84.0
Waist bends (reach foot with opposite hand),0.7647058823529412 ,0.8333333333333334 ,0.7065217391304348 ,92.0
Reach heels backwards                      ,0.6486486486486486 ,0.676056338028169  ,0.6233766233766234 ,77.0
Lateral bend                               ,0.5714285714285714 ,0.7619047619047619 ,0.45714285714285713,70.0
Lateral bend with arm up                   ,0.6423357664233575 ,0.6376811594202898 ,0.6470588235294118 ,68.0
Repetitive forward stretching              ,0.5641025641025642 ,0.6111111111111112 ,0.5238095238095238 ,42.0
Upper trunk and lower body opposite twist  ,0.39999999999999997,0.7777777777777778 ,0.2692307692307692 ,52.0
Lateral elevation of arms                  ,0.6213592233009708 ,0.7804878048780488 ,0.5161290322580645 ,62.0
Frontal elevation of arms                  ,0.29687500000000006,0.3220338983050847 ,0.2753623188405797 ,69.0
Frontal hand claps                         ,0.4421052631578947 ,0.6176470588235294 ,0.3442622950819672 ,61.0
Frontal crossing of arms                   ,0.41379310344827586,0.5106382978723404 ,0.34782608695652173,69.0
Shoulders high-amplitude rotation          ,0.5045045045045045 ,0.5957446808510638 ,0.4375             ,64.0
Shoulders low-amplitude rotation           ,0.23529411764705882,0.5                ,0.15384615384615385,39.0
Arms inner rotation                        ,0.325              ,0.3939393939393939 ,0.2765957446808511 ,47.0
Knees (alternating) to the breast          ,0.0                ,0.0                ,0.0                ,25.0
Heels (alternatively) to the backside      ,0.37500000000000006,0.6666666666666666 ,0.2608695652173913 ,23.0
Knees bending (crouching)                  ,0.593939393939394  ,0.5975609756097561 ,0.5903614457831325 ,83.0
Knees (alternating) bending forward        ,0.5909090909090909 ,0.7027027027027027 ,0.5098039215686274 ,102.0
Rotation on the knees                      ,0.588235294117647  ,0.5737704918032787 ,0.603448275862069  ,58.0
Rowing                                     ,0.752212389380531  ,0.7203389830508474 ,0.7870370370370371 ,108.0
Elliptical bike                            ,0.7186440677966102 ,0.7571428571428571 ,0.6838709677419355 ,155.0
Cycling                                    ,0.697530864197531  ,0.6726190476190477 ,0.7243589743589743 ,156.0
accuracy                                   ,0.8129642820799837 ,0.8129642820799837 ,0.8129642820799837 ,0.8129642820799837
macro avg                                  ,0.5212316548910417 ,0.6052110971564392 ,0.479018105370051  ,9827.0
weighted avg                               ,0.8012696368123917 ,0.7988146125050912 ,0.8129642820799837 ,9827.0
