                                           ,f1-score           ,precision          ,recall             ,support
No activity                                ,0.6727261636064173 ,0.9592901878914405 ,0.5179896665100986 ,10645.0
Walking                                    ,0.4584474885844749 ,0.3234536082474227 ,0.786833855799373  ,319.0
Jogging                                    ,0.6920634920634922 ,0.5891891891891892 ,0.8384615384615385 ,260.0
Running                                    ,0.9388560157790927 ,0.918918918918919  ,0.9596774193548387 ,248.0
Jump up                                    ,0.11666666666666668,0.06496519721577726,0.5714285714285714 ,49.0
Jump front and back                        ,0.3587786259541985 ,0.27011494252873564,0.5340909090909091 ,88.0
Jump sideways                              ,0.19658119658119658,0.15862068965517243,0.25842696629213485,89.0
Jump leg/arms open/closed                  ,0.8934010152284263 ,0.8543689320388349 ,0.9361702127659575 ,94.0
Jump rope                                  ,0.2697368421052631 ,0.16141732283464566,0.82               ,50.0
Trunk twist (arms outstretched)            ,0.6721311475409837 ,0.6373056994818653 ,0.7109826589595376 ,173.0
Trunk twist (elbows bent)                  ,0.43963963963963965,0.2982885085574572 ,0.8356164383561644 ,146.0
Waist bends forward                        ,0.6613333333333334 ,0.5391304347826087 ,0.8551724137931035 ,145.0
Waist rotation                             ,0.49281314168377827,0.32967032967032966,0.975609756097561  ,123.0
Waist bends (reach foot with opposite hand),0.8264984227129338 ,0.7237569060773481 ,0.9632352941176471 ,136.0
Reach heels backwards                      ,0.689922480620155  ,0.6054421768707483 ,0.8018018018018018 ,111.0
Lateral bend                               ,0.1196808510638298 ,0.06414825374198146,0.8910891089108911 ,101.0
Lateral bend with arm up                   ,0.27514792899408286,0.16202090592334495,0.9117647058823529 ,102.0
Repetitive forward stretching              ,0.4455958549222798 ,0.33076923076923076,0.6825396825396826 ,63.0
Upper trunk and lower body opposite twist  ,0.36619718309859156,0.25120772946859904,0.6753246753246753 ,77.0
Lateral elevation of arms                  ,0.5937500000000001 ,0.5816326530612245 ,0.6063829787234043 ,94.0
Frontal elevation of arms                  ,0.3585434173669468 ,0.25196850393700787,0.6213592233009708 ,103.0
Frontal hand claps                         ,0.6836734693877552 ,0.6504854368932039 ,0.7204301075268817 ,93.0
Frontal crossing of arms                   ,0.4980237154150197 ,0.4315068493150685 ,0.5887850467289719 ,107.0
Shoulders high-amplitude rotation          ,0.31034482758620696,0.20063694267515925,0.6847826086956522 ,92.0
Shoulders low-amplitude rotation           ,0.1222707423580786 ,0.08187134502923976,0.2413793103448276 ,58.0
Arms inner rotation                        ,0.4417670682730924 ,0.3125             ,0.7534246575342466 ,73.0
Knees (alternating) to the breast          ,0.22099447513812157,0.1388888888888889 ,0.5405405405405406 ,37.0
Heels (alternatively) to the backside      ,0.47368421052631576,0.3698630136986301 ,0.6585365853658537 ,41.0
Knees bending (crouching)                  ,0.6617647058823529 ,0.6206896551724138 ,0.7086614173228346 ,127.0
Knees (alternating) bending forward        ,0.6031746031746031 ,0.5066666666666667 ,0.7450980392156863 ,153.0
Rotation on the knees                      ,0.7307692307692307 ,0.6178861788617886 ,0.8941176470588236 ,85.0
Rowing                                     ,0.7714285714285714 ,0.6352941176470588 ,0.9818181818181818 ,165.0
Elliptical bike                            ,0.7688888888888888 ,0.8009259259259259 ,0.7393162393162394 ,234.0
Cycling                                    ,0.7809523809523808 ,0.9111111111111111 ,0.6833333333333333 ,240.0
accuracy                                   ,0.5871883703552748 ,0.5871883703552748 ,0.5871883703552748 ,0.5871883703552748
macro avg                                  ,0.5178308175684235 ,0.4515884250807952 ,0.7262994585974497 ,14721.0
weighted avg                               ,0.6475786026159475 ,0.8355477393893987 ,0.5871883703552748 ,14721.0
