                                           ,f1-score           ,precision           ,recall             ,support
No activity                                ,0.6565597667638484 ,0.9580260918888258  ,0.4994086339444116 ,6764.0
Walking                                    ,0.4847512038523274 ,0.360381861575179   ,0.7401960784313726 ,204.0
Jogging                                    ,0.7035175879396985 ,0.603448275862069   ,0.8433734939759037 ,166.0
Running                                    ,0.9062499999999999 ,0.8734939759036144  ,0.9415584415584416 ,154.0
Jump up                                    ,0.05955334987593053,0.032432432432432434,0.36363636363636365,33.0
Jump front and back                        ,0.36363636363636365,0.26666666666666666 ,0.5714285714285714 ,56.0
Jump sideways                              ,0.22900763358778625,0.19736842105263158 ,0.2727272727272727 ,55.0
Jump leg/arms open/closed                  ,0.7801418439716312 ,0.7051282051282052  ,0.873015873015873  ,63.0
Jump rope                                  ,0.1329479768786127 ,0.07348242811501597 ,0.696969696969697  ,33.0
Trunk twist (arms outstretched)            ,0.582375478927203  ,0.5135135135135135  ,0.672566371681416  ,113.0
Trunk twist (elbows bent)                  ,0.5381818181818182 ,0.4                 ,0.8222222222222222 ,90.0
Waist bends forward                        ,0.582089552238806  ,0.4482758620689655  ,0.8297872340425532 ,94.0
Waist rotation                             ,0.47249190938511326,0.3146551724137931  ,0.948051948051948  ,77.0
Waist bends (reach foot with opposite hand),0.8186528497409327 ,0.7314814814814815  ,0.9294117647058824 ,85.0
Reach heels backwards                      ,0.6867469879518073 ,0.6                 ,0.8028169014084507 ,71.0
Lateral bend                               ,0.12231759656652359,0.06589595375722543 ,0.8507462686567164 ,67.0
Lateral bend with arm up                   ,0.29319371727748694,0.17721518987341772 ,0.8484848484848485 ,66.0
Repetitive forward stretching              ,0.4485981308411215 ,0.36363636363636365 ,0.5853658536585366 ,41.0
Upper trunk and lower body opposite twist  ,0.3316062176165803 ,0.22377622377622378 ,0.64               ,50.0
Lateral elevation of arms                  ,0.5079365079365079 ,0.49230769230769234 ,0.5245901639344263 ,61.0
Frontal elevation of arms                  ,0.35294117647058826,0.2484076433121019  ,0.609375           ,64.0
Frontal hand claps                         ,0.5629629629629629 ,0.5                 ,0.6440677966101694 ,59.0
Frontal crossing of arms                   ,0.4827586206896552 ,0.3888888888888889  ,0.6363636363636364 ,66.0
Shoulders high-amplitude rotation          ,0.3171806167400881 ,0.21428571428571427 ,0.6101694915254238 ,59.0
Shoulders low-amplitude rotation           ,0.14054054054054055,0.08904109589041095 ,0.3333333333333333 ,39.0
Arms inner rotation                        ,0.38216560509554137,0.26785714285714285 ,0.6666666666666666 ,45.0
Knees (alternating) to the breast          ,0.14953271028037385,0.1                 ,0.2962962962962963 ,27.0
Heels (alternatively) to the backside      ,0.3225806451612903 ,0.22058823529411764 ,0.6                ,25.0
Knees bending (crouching)                  ,0.5810055865921788 ,0.52                ,0.6582278481012658 ,79.0
Knees (alternating) bending forward        ,0.588235294117647  ,0.5                 ,0.7142857142857143 ,98.0
Rotation on the knees                      ,0.6906474820143885 ,0.5647058823529412  ,0.8888888888888888 ,54.0
Rowing                                     ,0.75               ,0.6107784431137725  ,0.9714285714285714 ,105.0
Elliptical bike                            ,0.7386759581881533 ,0.7571428571428571  ,0.7210884353741497 ,147.0
Cycling                                    ,0.7575757575757576 ,0.8695652173913043  ,0.6711409395973155 ,149.0
accuracy                                   ,0.5650176300886847 ,0.5650176300886847  ,0.5650176300886847 ,0.5650176300886847
macro avg                                  ,0.485804689694096  ,0.4191896156465461  ,0.684637959441363  ,9359.0
weighted avg                               ,0.6287073331919816 ,0.8262028565888228  ,0.5650176300886847 ,9359.0
