                                           ,f1-score            ,precision           ,recall             ,support
No activity                                ,0.2750633786586771  ,0.9855491329479769  ,0.15983661443685548,14934.0
Walking                                    ,0.22143489813994685 ,0.12750765045902754 ,0.8408071748878924 ,446.0
Jogging                                    ,0.4226044226044226  ,0.30034924330616997 ,0.712707182320442  ,362.0
Running                                    ,0.799405646359584   ,0.8126888217522659  ,0.7865497076023392 ,342.0
Jump up                                    ,0.21761658031088082 ,0.134185303514377   ,0.5753424657534246 ,73.0
Jump front and back                        ,0.25380710659898476 ,0.3424657534246575  ,0.20161290322580644,124.0
Jump sideways                              ,0.026058631921824105,0.021621621621621623,0.03278688524590164,122.0
Jump leg/arms open/closed                  ,0.7576791808873721  ,0.6894409937888198  ,0.8409090909090909 ,132.0
Jump rope                                  ,0.19294990723562153 ,0.11158798283261803 ,0.7123287671232876 ,73.0
Trunk twist (arms outstretched)            ,0.5552699228791773  ,0.7248322147651006  ,0.45               ,240.0
Trunk twist (elbows bent)                  ,0.37411764705882355 ,0.24386503067484663 ,0.803030303030303  ,198.0
Waist bends forward                        ,0.591304347826087   ,0.46070460704607047 ,0.8252427184466019 ,206.0
Waist rotation                             ,0.4098765432098766  ,0.2601880877742947  ,0.9651162790697675 ,172.0
Waist bends (reach foot with opposite hand),0.8563829787234042  ,0.8609625668449198  ,0.8518518518518519 ,189.0
Reach heels backwards                      ,0.64                ,0.5529953917050692  ,0.759493670886076  ,158.0
Lateral bend                               ,0.20104244229337304 ,0.112876254180602   ,0.9183673469387755 ,147.0
Lateral bend with arm up                   ,0.44869565217391305 ,0.3014018691588785  ,0.8775510204081632 ,147.0
Repetitive forward stretching              ,0.726457399103139   ,0.6                 ,0.9204545454545454 ,88.0
Upper trunk and lower body opposite twist  ,0.20365535248041777 ,0.1392857142857143  ,0.3786407766990291 ,103.0
Lateral elevation of arms                  ,0.5660377358490566  ,0.759493670886076   ,0.45112781954887216,133.0
Frontal elevation of arms                  ,0.34883720930232553 ,0.23809523809523808 ,0.6521739130434783 ,138.0
Frontal hand claps                         ,0.6242038216560509  ,0.5414364640883977  ,0.7368421052631579 ,133.0
Frontal crossing of arms                   ,0.49468085106382986 ,0.40969162995594716 ,0.6241610738255033 ,149.0
Shoulders high-amplitude rotation          ,0.5399239543726235  ,0.5144927536231884  ,0.568              ,125.0
Shoulders low-amplitude rotation           ,0.17341040462427745 ,0.11406844106463879 ,0.3614457831325301 ,83.0
Arms inner rotation                        ,0.39269406392694056 ,0.25595238095238093 ,0.8431372549019608 ,102.0
Knees (alternating) to the breast          ,0.037422037422037424,0.02102803738317757 ,0.16981132075471697,53.0
Heels (alternatively) to the backside      ,0.6603773584905661  ,0.6481481481481481  ,0.6730769230769231 ,52.0
Knees bending (crouching)                  ,0.5141700404858299  ,0.4057507987220447  ,0.7016574585635359 ,181.0
Knees (alternating) bending forward        ,0.5830388692579506  ,0.46875             ,0.7710280373831776 ,214.0
Rotation on the knees                      ,0.596100278551532   ,0.4385245901639344  ,0.9304347826086956 ,115.0
Rowing                                     ,0.2905317769130999  ,0.16995447647951442 ,1.0                ,224.0
Elliptical bike                            ,0.48767605633802813 ,0.34239802224969096 ,0.8470948012232415 ,327.0
Cycling                                    ,0.15862248891207933 ,0.08690680388793597 ,0.9074626865671642 ,335.0
accuracy                                   ,0.3184772065955383  ,0.3184772065955383  ,0.3184772065955383 ,0.3184772065955383
macro avg                                  ,0.43062202898916924 ,0.3881529322289219  ,0.6720612724759739 ,20620.0
weighted avg                               ,0.32216766279088005 ,0.8176906113130877  ,0.3184772065955383 ,20620.0
