                                           ,f1-score          ,precision         ,recall            ,support
No activity                                ,0.9515381373788454,0.9540077257363593,0.9490813017893599,16654.0
Walking                                    ,0.7430221366698749,0.7134935304990758,0.7751004016064257,498.0
Jogging                                    ,0.8270858524788391,0.8142857142857143,0.8402948402948403,407.0
Running                                    ,0.9067017082785808,0.9126984126984127,0.9007832898172323,383.0
Jump up                                    ,0.6097560975609757,0.5813953488372093,0.6410256410256411,78.0
Jump front and back                        ,0.6891891891891891,0.6538461538461539,0.7285714285714285,140.0
Jump sideways                              ,0.7352941176470589,0.7575757575757576,0.7142857142857143,140.0
Jump leg/arms open/closed                  ,0.832258064516129 ,0.8113207547169812,0.8543046357615894,151.0
Jump rope                                  ,0.6875            ,0.6875            ,0.6875            ,80.0
Trunk twist (arms outstretched)            ,0.908745247148289 ,0.9157088122605364,0.9018867924528302,265.0
Trunk twist (elbows bent)                  ,0.8782608695652174,0.8632478632478633,0.8938053097345132,226.0
Waist bends forward                        ,0.8626609442060086,0.8481012658227848,0.8777292576419214,229.0
Waist rotation                             ,0.8877284595300261,0.8854166666666666,0.8900523560209425,191.0
Waist bends (reach foot with opposite hand),0.9299065420560748,0.9299065420560748,0.9299065420560748,214.0
Reach heels backwards                      ,0.8531073446327683,0.848314606741573 ,0.8579545454545454,176.0
Lateral bend                               ,0.7852760736196319,0.7757575757575758,0.7950310559006211,161.0
Lateral bend with arm up                   ,0.7603833865814695,0.7628205128205128,0.7579617834394905,157.0
Repetitive forward stretching              ,0.848780487804878 ,0.8365384615384616,0.8613861386138614,101.0
Upper trunk and lower body opposite twist  ,0.7078189300411522,0.688             ,0.7288135593220338,118.0
Lateral elevation of arms                  ,0.8013698630136987,0.8068965517241379,0.7959183673469388,147.0
Frontal elevation of arms                  ,0.8397435897435898,0.8506493506493507,0.8291139240506329,158.0
Frontal hand claps                         ,0.8109965635738832,0.8137931034482758,0.8082191780821918,146.0
Frontal crossing of arms                   ,0.8364779874213836,0.8636363636363636,0.8109756097560976,164.0
Shoulders high-amplitude rotation          ,0.7649122807017544,0.7465753424657534,0.7841726618705036,139.0
Shoulders low-amplitude rotation           ,0.6740331491712708,0.7011494252873564,0.648936170212766 ,94.0
Arms inner rotation                        ,0.7264957264957265,0.7264957264957265,0.7264957264957265,117.0
Knees (alternating) to the breast          ,0.4716981132075472,0.5319148936170213,0.423728813559322 ,59.0
Heels (alternatively) to the backside      ,0.6229508196721313,0.6333333333333333,0.6129032258064516,62.0
Knees bending (crouching)                  ,0.8076923076923076,0.7813953488372093,0.835820895522388 ,201.0
Knees (alternating) bending forward        ,0.8143459915611816,0.8283261802575107,0.8008298755186722,241.0
Rotation on the knees                      ,0.7698113207547169,0.7611940298507462,0.7786259541984732,131.0
Rowing                                     ,0.9315068493150684,0.9224806201550387,0.9407114624505929,253.0
Elliptical bike                            ,0.9012517385257302,0.9101123595505618,0.8925619834710744,363.0
Cycling                                    ,0.958611481975968 ,0.9497354497354498,0.967654986522911 ,371.0
accuracy                                   ,0.9167064957636324,0.9167064957636324,0.9167064957636324,0.9167064957636324
macro avg                                  ,0.7981444521097343,0.7961065818868103,0.8012395126074651,23015.0
weighted avg                               ,0.916977210651189 ,0.9174814542369837,0.9167064957636324,23015.0
