                                           ,f1-score          ,precision         ,recall            ,support
No activity                                ,0.9774065934065933,0.9880639868744873,0.966976650832943 ,74735.0
Walking                                    ,0.774526678141136 ,0.6756756756756757,0.907258064516129 ,2232.0
Jogging                                    ,0.9249932304359599,0.9089941458222459,0.9415656008820287,1814.0
Running                                    ,0.9652598334768877,0.9449128724002248,0.9865023474178404,1704.0
Jump up                                    ,0.8758344459279039,0.8282828282828283,0.9291784702549575,353.0
Jump front and back                        ,0.9406850459482037,0.9656946826758147,0.9169381107491856,614.0
Jump sideways                              ,0.9615069615069615,0.9718543046357616,0.9513776337115073,617.0
Jump leg/arms open/closed                  ,0.9579335793357934,0.9544117647058824,0.9614814814814815,675.0
Jump rope                                  ,0.9635854341736695,0.9690140845070423,0.958217270194986 ,359.0
Trunk twist (arms outstretched)            ,0.9790382244143034,0.9675060926076361,0.9908485856905158,1202.0
Trunk twist (elbows bent)                  ,0.9474196689386564,0.9257849666983825,0.9700897308075773,1003.0
Waist bends forward                        ,0.9522900763358778,0.9344569288389513,0.9708171206225681,1028.0
Waist rotation                             ,0.9736540664375716,0.9561304836895388,0.9918319719953326,857.0
Waist bends (reach foot with opposite hand),0.9823100936524454,0.9752066115702479,0.989517819706499 ,954.0
Reach heels backwards                      ,0.9613947696139477,0.9391727493917275,0.9846938775510204,784.0
Lateral bend                               ,0.9325236167341432,0.9056356487549148,0.96105702364395  ,719.0
Lateral bend with arm up                   ,0.9404517453798769,0.9271255060728745,0.9541666666666667,720.0
Repetitive forward stretching              ,0.9757174392935982,0.9714285714285714,0.9800443458980045,451.0
Upper trunk and lower body opposite twist  ,0.9035339063992359,0.8958333333333334,0.9113680154142582,519.0
Lateral elevation of arms                  ,0.9525959367945823,0.9504504504504504,0.9547511312217195,663.0
Frontal elevation of arms                  ,0.9492455418381344,0.9129287598944591,0.9885714285714285,700.0
Frontal hand claps                         ,0.9401330376940132,0.9098712446351931,0.9724770642201835,654.0
Frontal crossing of arms                   ,0.9805499664654596,0.9707835325365206,0.9905149051490515,738.0
Shoulders high-amplitude rotation          ,0.9165378670788253,0.8957703927492447,0.9382911392405063,632.0
Shoulders low-amplitude rotation           ,0.9140164899882215,0.8940092165898618,0.9349397590361446,415.0
Arms inner rotation                        ,0.9199255121042831,0.8837209302325582,0.9592233009708738,515.0
Knees (alternating) to the breast          ,0.8955823293172691,0.9369747899159664,0.8576923076923076,260.0
Heels (alternatively) to the backside      ,0.9291044776119403,0.9540229885057471,0.9054545454545454,275.0
Knees bending (crouching)                  ,0.9587852494577006,0.9384288747346072,0.9800443458980045,902.0
Knees (alternating) bending forward        ,0.9687074829931974,0.9484902309058615,0.989805375347544 ,1079.0
Rotation on the knees                      ,0.9628378378378377,0.9563758389261745,0.9693877551020408,588.0
Rowing                                     ,0.9577825159914712,0.9304059652029826,0.9868189806678384,1138.0
Elliptical bike                            ,0.9472414832680133,0.9306872037914692,0.9643953345610804,1629.0
Cycling                                    ,0.9850657108721625,0.9821322215604527,0.988016776512882 ,1669.0
accuracy                                   ,0.9658904813124413,0.9658904813124413,0.9658904813124413,0.9658904813124413
macro avg                                  ,0.9431816720254669,0.9294187611352261,0.9589504393436354,103197.0
weighted avg                               ,0.9667616957120285,0.9687522018629   ,0.9658904813124413,103197.0
