                                           ,f1-score          ,precision         ,recall             ,support
No activity                                ,0.9628226555246054,0.9734885467517838,0.9523879500367377 ,13610.0
Walking                                    ,0.7878103837471784,0.7240663900414938,0.8638613861386139 ,404.0
Jogging                                    ,0.9204052098408105,0.888268156424581 ,0.954954954954955  ,333.0
Running                                    ,0.9589905362776024,0.9382716049382716,0.9806451612903225 ,310.0
Jump up                                    ,0.7142857142857143,0.8163265306122449,0.6349206349206349 ,63.0
Jump front and back                        ,0.8583690987124464,0.8264462809917356,0.8928571428571429 ,112.0
Jump sideways                              ,0.891891891891892 ,0.908256880733945 ,0.8761061946902655 ,113.0
Jump leg/arms open/closed                  ,0.9076305220883534,0.9112903225806451,0.904              ,125.0
Jump rope                                  ,0.8939393939393939,0.9076923076923077,0.8805970149253731 ,67.0
Trunk twist (arms outstretched)            ,0.9619686800894856,0.9555555555555556,0.9684684684684685 ,222.0
Trunk twist (elbows bent)                  ,0.9182058047493403,0.8877551020408163,0.9508196721311475 ,183.0
Waist bends forward                        ,0.8872549019607844,0.8153153153153153,0.9731182795698925 ,186.0
Waist rotation                             ,0.923076923076923 ,0.8823529411764706,0.967741935483871  ,155.0
Waist bends (reach foot with opposite hand),0.9570200573065902,0.9542857142857143,0.9597701149425287 ,174.0
Reach heels backwards                      ,0.9273356401384083,0.9178082191780822,0.9370629370629371 ,143.0
Lateral bend                               ,0.8214285714285714,0.777027027027027 ,0.8712121212121212 ,132.0
Lateral bend with arm up                   ,0.8421052631578948,0.8235294117647058,0.8615384615384616 ,130.0
Repetitive forward stretching              ,0.9146341463414634,0.9146341463414634,0.9146341463414634 ,82.0
Upper trunk and lower body opposite twist  ,0.8934010152284264,0.8627450980392157,0.9263157894736842 ,95.0
Lateral elevation of arms                  ,0.9008264462809916,0.8790322580645161,0.923728813559322  ,118.0
Frontal elevation of arms                  ,0.9172932330827068,0.8905109489051095,0.9457364341085271 ,129.0
Frontal hand claps                         ,0.8844621513944224,0.8538461538461538,0.9173553719008265 ,121.0
Frontal crossing of arms                   ,0.9236363636363637,0.927007299270073 ,0.9202898550724637 ,138.0
Shoulders high-amplitude rotation          ,0.853658536585366 ,0.8076923076923077,0.9051724137931034 ,116.0
Shoulders low-amplitude rotation           ,0.7741935483870969,0.75              ,0.8                ,75.0
Arms inner rotation                        ,0.8082901554404146,0.7722772277227723,0.8478260869565217 ,92.0
Knees (alternating) to the breast          ,0.5897435897435898,0.7931034482758621,0.46938775510204084,49.0
Heels (alternatively) to the backside      ,0.6813186813186813,0.7560975609756098,0.62               ,50.0
Knees bending (crouching)                  ,0.9321533923303833,0.9080459770114943,0.9575757575757575 ,165.0
Knees (alternating) bending forward        ,0.9365853658536586,0.9014084507042254,0.9746192893401016 ,197.0
Rotation on the knees                      ,0.8810572687224669,0.8695652173913043,0.8928571428571429 ,112.0
Rowing                                     ,0.951501154734411 ,0.9237668161434978,0.9809523809523809 ,210.0
Elliptical bike                            ,0.9235772357723576,0.890282131661442 ,0.9594594594594594 ,296.0
Cycling                                    ,0.9819967266775778,0.974025974025974 ,0.9900990099009901 ,303.0
accuracy                                   ,0.9442317916002126,0.9442317916002126,0.9442317916002126 ,0.9442317916002126
macro avg                                  ,0.8789079488160698,0.870052274211227 ,0.8934138863710959 ,18810.0
weighted avg                               ,0.9446676612581527,0.9463869573999681,0.9442317916002126 ,18810.0
