                                           ,f1-score          ,precision          ,recall             ,support
No activity                                ,0.9454031795951546,0.9415636986210466 ,0.9492741018264534 ,74735.0
Walking                                    ,0.5974025974025975,0.5532646048109966 ,0.6491935483870968 ,2232.0
Jogging                                    ,0.7633940015380671,0.7134643028270244 ,0.820837927232635  ,1814.0
Running                                    ,0.838492185105731 ,0.8774855676715844 ,0.8028169014084507 ,1704.0
Jump up                                    ,0.563573883161512 ,0.47307692307692306,0.6968838526912181 ,353.0
Jump front and back                        ,0.6100746268656717,0.7139737991266376 ,0.5325732899022801 ,614.0
Jump sideways                              ,0.7560137457044672,0.8043875685557587 ,0.713128038897893  ,617.0
Jump leg/arms open/closed                  ,0.9296407185628743,0.9394856278366112 ,0.92               ,675.0
Jump rope                                  ,0.7397260273972603,0.668918918918919  ,0.8272980501392758 ,359.0
Trunk twist (arms outstretched)            ,0.9236051502145923,0.9539007092198581 ,0.8951747088186356 ,1202.0
Trunk twist (elbows bent)                  ,0.8686462003019628,0.8770325203252033 ,0.8604187437686939 ,1003.0
Waist bends forward                        ,0.8306374881065651,0.8128491620111732 ,0.8492217898832685 ,1028.0
Waist rotation                             ,0.9049939098660171,0.9464968152866242 ,0.8669778296382731 ,857.0
Waist bends (reach foot with opposite hand),0.9513108614232211,0.9715846994535519 ,0.9318658280922432 ,954.0
Reach heels backwards                      ,0.8402220851326342,0.8136200716845878 ,0.8686224489795918 ,784.0
Lateral bend                               ,0.8143966125617502,0.826647564469914  ,0.8025034770514604 ,719.0
Lateral bend with arm up                   ,0.8237853517041334,0.8619119878603946 ,0.7888888888888889 ,720.0
Repetitive forward stretching              ,0.8798185941043084,0.9002320185614849 ,0.8603104212860311 ,451.0
Upper trunk and lower body opposite twist  ,0.5866364665911664,0.7115384615384616 ,0.49903660886319845,519.0
Lateral elevation of arms                  ,0.743801652892562 ,0.8226691042047533 ,0.6787330316742082 ,663.0
Frontal elevation of arms                  ,0.7653979238754326,0.7422818791946308 ,0.79               ,700.0
Frontal hand claps                         ,0.7588932806324111,0.7855973813420621 ,0.7339449541284404 ,654.0
Frontal crossing of arms                   ,0.8158273381294964,0.8696319018404908 ,0.7682926829268293 ,738.0
Shoulders high-amplitude rotation          ,0.657556270096463 ,0.6683006535947712 ,0.6471518987341772 ,632.0
Shoulders low-amplitude rotation           ,0.5834230355220669,0.5272373540856031 ,0.653012048192771  ,415.0
Arms inner rotation                        ,0.6191832858499524,0.6059479553903345 ,0.6330097087378641 ,515.0
Knees (alternating) to the breast          ,0.6807511737089202,0.8734939759036144 ,0.5576923076923077 ,260.0
Heels (alternatively) to the backside      ,0.7588932806324111,0.8311688311688312 ,0.6981818181818182 ,275.0
Knees bending (crouching)                  ,0.7866589994249569,0.8172043010752689 ,0.7583148558758315 ,902.0
Knees (alternating) bending forward        ,0.8424437299035369,0.8351548269581056 ,0.8498609823911029 ,1079.0
Rotation on the knees                      ,0.8238255033557047,0.8129139072847682 ,0.8350340136054422 ,588.0
Rowing                                     ,0.8463232056362836,0.8481906443071492 ,0.844463971880492  ,1138.0
Elliptical bike                            ,0.7737556561085972,0.8170648464163822 ,0.7348066298342542 ,1629.0
Cycling                                    ,0.8651535380507344,0.9766390354182366 ,0.7765128819652487 ,1669.0
accuracy                                   ,0.9015475256063645,0.9015475256063645 ,0.9015475256063645 ,0.9015475256063645
macro avg                                  ,0.7791076929164475,0.7998509300012282 ,0.7674717129875405 ,103197.0
weighted avg                               ,0.9016922780027989,0.9037869104281121 ,0.9015475256063645 ,103197.0
