                                           ,f1-score           ,precision          ,recall            ,support
No activity                                ,0.8057175366235244 ,0.987794245858762  ,0.6803170409511229,16654.0
Walking                                    ,0.5195689166193987 ,0.36205533596837947,0.9196787148594378,498.0
Jogging                                    ,0.8137472283813747 ,0.7414141414141414 ,0.9017199017199017,407.0
Running                                    ,0.9128329297820823 ,0.8510158013544018 ,0.9843342036553525,383.0
Jump up                                    ,0.5229357798165137 ,0.40714285714285714,0.7307692307692307,78.0
Jump front and back                        ,0.6738351254480286 ,0.6762589928057554 ,0.6714285714285714,140.0
Jump sideways                              ,0.6468085106382978 ,0.8                ,0.5428571428571428,140.0
Jump leg/arms open/closed                  ,0.8853503184713376 ,0.852760736196319  ,0.9205298013245033,151.0
Jump rope                                  ,0.6734693877551021 ,0.5689655172413793 ,0.825             ,80.0
Trunk twist (arms outstretched)            ,0.7193798449612403 ,0.6105263157894737 ,0.8754716981132076,265.0
Trunk twist (elbows bent)                  ,0.7439446366782008 ,0.6107954545454546 ,0.9513274336283186,226.0
Waist bends forward                        ,0.839080459770115  ,0.7474402730375427 ,0.9563318777292577,229.0
Waist rotation                             ,0.7196969696969698 ,0.5637982195845698 ,0.9947643979057592,191.0
Waist bends (reach foot with opposite hand),0.9438202247191011 ,0.9090909090909091 ,0.9813084112149533,214.0
Reach heels backwards                      ,0.6357894736842106 ,0.5050167224080268 ,0.8579545454545454,176.0
Lateral bend                               ,0.18170731707317073,0.10074374577417174,0.9254658385093167,161.0
Lateral bend with arm up                   ,0.30588235294117644,0.18076477404403243,0.9936305732484076,157.0
Repetitive forward stretching              ,0.6692015209125475 ,0.5432098765432098 ,0.8712871287128713,101.0
Upper trunk and lower body opposite twist  ,0.34766355140186916,0.22302158273381295,0.788135593220339 ,118.0
Lateral elevation of arms                  ,0.7076923076923077 ,0.6460674157303371 ,0.782312925170068 ,147.0
Frontal elevation of arms                  ,0.6486486486486488 ,0.5301204819277109 ,0.8354430379746836,158.0
Frontal hand claps                         ,0.8159509202453988 ,0.7388888888888889 ,0.910958904109589 ,146.0
Frontal crossing of arms                   ,0.786096256684492  ,0.7                ,0.8963414634146342,164.0
Shoulders high-amplitude rotation          ,0.6900958466453675 ,0.6206896551724138 ,0.7769784172661871,139.0
Shoulders low-amplitude rotation           ,0.2521008403361345 ,0.20833333333333334,0.3191489361702128,94.0
Arms inner rotation                        ,0.36462093862815886,0.2311212814645309 ,0.8632478632478633,117.0
Knees (alternating) to the breast          ,0.6363636363636364 ,0.5753424657534246 ,0.711864406779661 ,59.0
Heels (alternatively) to the backside      ,0.7480916030534351 ,0.7101449275362319 ,0.7903225806451613,62.0
Knees bending (crouching)                  ,0.722753346080306  ,0.5869565217391305 ,0.9402985074626866,201.0
Knees (alternating) bending forward        ,0.5193370165745856 ,0.3539156626506024 ,0.975103734439834 ,241.0
Rotation on the knees                      ,0.7616099071207431 ,0.640625           ,0.9389312977099237,131.0
Rowing                                     ,0.9485714285714285 ,0.9154411764705882 ,0.9841897233201581,253.0
Elliptical bike                            ,0.7241379310344828 ,0.6982097186700768 ,0.7520661157024794,363.0
Cycling                                    ,0.8959537572254336 ,0.9657320872274143 ,0.8355795148247979,371.0
accuracy                                   ,0.7344340647403867 ,0.7344340647403867 ,0.7344340647403867,0.7344340647403867
macro avg                                  ,0.6700722491258477 ,0.5989236505322908 ,0.8436793980452993,23015.0
weighted avg                               ,0.7762587692662497 ,0.8864718224626275 ,0.7344340647403867,23015.0
