                                           ,f1-score          ,precision          ,recall             ,support
No activity                                ,0.7699830486373713,0.9833472106577852 ,0.6327011678988536 ,9333.0
Walking                                    ,0.5624321389793703,0.40279937791601866,0.9316546762589928 ,278.0
Jogging                                    ,0.8174603174603174,0.7410071942446043 ,0.911504424778761  ,226.0
Running                                    ,0.9004329004329005,0.8387096774193549 ,0.9719626168224299 ,214.0
Jump up                                    ,0.4492753623188406,0.32978723404255317,0.7045454545454546 ,44.0
Jump front and back                        ,0.6282051282051283,0.6125             ,0.6447368421052632 ,76.0
Jump sideways                              ,0.6412213740458015,0.7636363636363637 ,0.5526315789473685 ,76.0
Jump leg/arms open/closed                  ,0.9017341040462428,0.8571428571428571 ,0.9512195121951219 ,82.0
Jump rope                                  ,0.603448275862069 ,0.4794520547945205 ,0.813953488372093  ,43.0
Trunk twist (arms outstretched)            ,0.6208651399491095,0.5020576131687243 ,0.8133333333333334 ,150.0
Trunk twist (elbows bent)                  ,0.7453416149068324,0.6122448979591837 ,0.9523809523809523 ,126.0
Waist bends forward                        ,0.8013245033112583,0.6954022988505747 ,0.9453125          ,128.0
Waist rotation                             ,0.6556291390728476,0.49748743718592964,0.9611650485436893 ,103.0
Waist bends (reach foot with opposite hand),0.8968253968253967,0.837037037037037  ,0.9658119658119658 ,117.0
Reach heels backwards                      ,0.6021505376344086,0.4666666666666667 ,0.8484848484848485 ,99.0
Lateral bend                               ,0.1552511415525114,0.0846613545816733 ,0.9340659340659341 ,91.0
Lateral bend with arm up                   ,0.2630792227204783,0.15198618307426598,0.9777777777777777 ,90.0
Repetitive forward stretching              ,0.5487804878048781,0.4166666666666667 ,0.8035714285714286 ,56.0
Upper trunk and lower body opposite twist  ,0.3391003460207612,0.2168141592920354 ,0.7777777777777778 ,63.0
Lateral elevation of arms                  ,0.7039106145251396,0.65625            ,0.7590361445783133 ,83.0
Frontal elevation of arms                  ,0.5950413223140496,0.4645161290322581 ,0.8275862068965517 ,87.0
Frontal hand claps                         ,0.7807486631016042,0.7087378640776699 ,0.8690476190476191 ,84.0
Frontal crossing of arms                   ,0.7800000000000001,0.7090909090909091 ,0.8666666666666667 ,90.0
Shoulders high-amplitude rotation          ,0.6555555555555554,0.5841584158415841 ,0.7468354430379747 ,79.0
Shoulders low-amplitude rotation           ,0.3354838709677419,0.2549019607843137 ,0.49056603773584906,53.0
Arms inner rotation                        ,0.3045977011494253,0.18661971830985916,0.828125           ,64.0
Knees (alternating) to the breast          ,0.5238095238095237,0.43137254901960786,0.6666666666666666 ,33.0
Heels (alternatively) to the backside      ,0.6190476190476191,0.5306122448979592 ,0.7428571428571429 ,35.0
Knees bending (crouching)                  ,0.662379421221865 ,0.5202020202020202 ,0.911504424778761  ,113.0
Knees (alternating) bending forward        ,0.5639913232104121,0.4                ,0.9558823529411765 ,136.0
Rotation on the knees                      ,0.6914893617021275,0.5508474576271186 ,0.9285714285714286 ,70.0
Rowing                                     ,0.9463087248322147,0.8980891719745223 ,1.0                ,141.0
Elliptical bike                            ,0.7093821510297483,0.6652360515021459 ,0.7598039215686274 ,204.0
Cycling                                    ,0.8984771573604061,0.9619565217391305 ,0.8428571428571429 ,210.0
accuracy                                   ,0.6975227149180709,0.6975227149180709 ,0.6975227149180709 ,0.6975227149180709
macro avg                                  ,0.637434211459234 ,0.559176391130468  ,0.832076397849293  ,12877.0
weighted avg                               ,0.7446250769577414,0.8760158235704769 ,0.6975227149180709 ,12877.0
