                                           ,f1-score           ,precision          ,recall             ,support
No activity                                ,0.9201036653091448 ,0.9216733422340899 ,0.9185393258426966 ,6764.0
Walking                                    ,0.746928746928747  ,0.7487684729064039 ,0.7450980392156863 ,204.0
Jogging                                    ,0.8411764705882353 ,0.8218390804597702 ,0.8614457831325302 ,166.0
Running                                    ,0.821917808219178  ,0.8695652173913043 ,0.7792207792207793 ,154.0
Jump up                                    ,0.4590163934426229 ,0.5                ,0.42424242424242425,33.0
Jump front and back                        ,0.6542056074766356 ,0.6862745098039216 ,0.625              ,56.0
Jump sideways                              ,0.576271186440678  ,0.5396825396825397 ,0.6181818181818182 ,55.0
Jump leg/arms open/closed                  ,0.8031496062992126 ,0.796875           ,0.8095238095238095 ,63.0
Jump rope                                  ,0.48571428571428577,0.4594594594594595 ,0.5151515151515151 ,33.0
Trunk twist (arms outstretched)            ,0.7982832618025751 ,0.775              ,0.8230088495575221 ,113.0
Trunk twist (elbows bent)                  ,0.7692307692307693 ,0.7608695652173914 ,0.7777777777777778 ,90.0
Waist bends forward                        ,0.7891891891891892 ,0.8021978021978022 ,0.776595744680851  ,94.0
Waist rotation                             ,0.7215189873417721 ,0.7037037037037037 ,0.7402597402597403 ,77.0
Waist bends (reach foot with opposite hand),0.872093023255814  ,0.8620689655172413 ,0.8823529411764706 ,85.0
Reach heels backwards                      ,0.7346938775510203 ,0.7105263157894737 ,0.7605633802816901 ,71.0
Lateral bend                               ,0.582089552238806  ,0.582089552238806  ,0.582089552238806  ,67.0
Lateral bend with arm up                   ,0.5196850393700788 ,0.5409836065573771 ,0.5                ,66.0
Repetitive forward stretching              ,0.7160493827160495 ,0.725              ,0.7073170731707317 ,41.0
Upper trunk and lower body opposite twist  ,0.5490196078431373 ,0.5384615384615384 ,0.56               ,50.0
Lateral elevation of arms                  ,0.6615384615384615 ,0.6231884057971014 ,0.7049180327868853 ,61.0
Frontal elevation of arms                  ,0.6571428571428571 ,0.6052631578947368 ,0.71875            ,64.0
Frontal hand claps                         ,0.6153846153846154 ,0.6206896551724138 ,0.6101694915254238 ,59.0
Frontal crossing of arms                   ,0.6865671641791046 ,0.6764705882352942 ,0.696969696969697  ,66.0
Shoulders high-amplitude rotation          ,0.6724137931034484 ,0.6842105263157895 ,0.6610169491525424 ,59.0
Shoulders low-amplitude rotation           ,0.3333333333333333 ,0.3111111111111111 ,0.358974358974359  ,39.0
Arms inner rotation                        ,0.4444444444444445 ,0.5                ,0.4                ,45.0
Knees (alternating) to the breast          ,0.39999999999999997,0.39285714285714285,0.4074074074074074 ,27.0
Heels (alternatively) to the backside      ,0.35555555555555557,0.4                ,0.32               ,25.0
Knees bending (crouching)                  ,0.6709677419354839 ,0.6842105263157895 ,0.6582278481012658 ,79.0
Knees (alternating) bending forward        ,0.7643979057591623 ,0.7849462365591398 ,0.7448979591836735 ,98.0
Rotation on the knees                      ,0.5981308411214954 ,0.6037735849056604 ,0.5925925925925926 ,54.0
Rowing                                     ,0.9238095238095239 ,0.9238095238095239 ,0.9238095238095239 ,105.0
Elliptical bike                            ,0.8273615635179152 ,0.79375            ,0.8639455782312925 ,147.0
Cycling                                    ,0.9463087248322147 ,0.9463087248322147 ,0.9463087248322147 ,149.0
accuracy                                   ,0.8668661181750187 ,0.8668661181750187 ,0.8668661181750187 ,0.8668661181750187
macro avg                                  ,0.6740497937239872 ,0.673400819277257  ,0.6768928446241683 ,9359.0
weighted avg                               ,0.866981435201382  ,0.8676008566521172 ,0.8668661181750187 ,9359.0
