                                           ,f1-score          ,precision          ,recall             ,support
No activity                                ,0.9353874690849134,0.9617503708412799 ,0.9104312938816449 ,9970.0
Walking                                    ,0.6614173228346456,0.5442764578833693 ,0.842809364548495  ,299.0
Jogging                                    ,0.8905950095969289,0.8345323741007195 ,0.9547325102880658 ,243.0
Running                                    ,0.9419354838709677,0.9163179916317992 ,0.9690265486725663 ,226.0
Jump up                                    ,0.3287671232876712,0.42857142857142855,0.26666666666666666,45.0
Jump front and back                        ,0.7231638418079096,0.6808510638297872 ,0.7710843373493976 ,83.0
Jump sideways                              ,0.8342857142857142,0.776595744680851  ,0.9012345679012346 ,81.0
Jump leg/arms open/closed                  ,0.8723404255319148,0.8282828282828283 ,0.9213483146067416 ,89.0
Jump rope                                  ,0.7191011235955057,0.8205128205128205 ,0.64               ,50.0
Trunk twist (arms outstretched)            ,0.9397590361445783,0.9069767441860465 ,0.975              ,160.0
Trunk twist (elbows bent)                  ,0.8472222222222222,0.7973856209150327 ,0.9037037037037037 ,135.0
Waist bends forward                        ,0.8366013071895424,0.757396449704142  ,0.9343065693430657 ,137.0
Waist rotation                             ,0.8560606060606061,0.7687074829931972 ,0.9658119658119658 ,117.0
Waist bends (reach foot with opposite hand),0.923076923076923 ,0.9022556390977443 ,0.9448818897637795 ,127.0
Reach heels backwards                      ,0.7591836734693878,0.6595744680851063 ,0.8942307692307693 ,104.0
Lateral bend                               ,0.7064676616915424,0.6826923076923077 ,0.7319587628865979 ,97.0
Lateral bend with arm up                   ,0.7039106145251396,0.7590361445783133 ,0.65625            ,96.0
Repetitive forward stretching              ,0.7706422018348624,0.8571428571428571 ,0.7                ,60.0
Upper trunk and lower body opposite twist  ,0.7777777777777778,0.7272727272727273 ,0.835820895522388  ,67.0
Lateral elevation of arms                  ,0.826086956521739 ,0.7676767676767676 ,0.8941176470588236 ,85.0
Frontal elevation of arms                  ,0.7767857142857143,0.6744186046511628 ,0.9157894736842105 ,95.0
Frontal hand claps                         ,0.792079207920792 ,0.7017543859649122 ,0.9090909090909091 ,88.0
Frontal crossing of arms                   ,0.8476190476190476,0.7946428571428571 ,0.9081632653061225 ,98.0
Shoulders high-amplitude rotation          ,0.8117647058823529,0.8117647058823529 ,0.8117647058823529 ,85.0
Shoulders low-amplitude rotation           ,0.5825242718446602,0.6818181818181818 ,0.5084745762711864 ,59.0
Arms inner rotation                        ,0.6086956521739131,0.532608695652174  ,0.7101449275362319 ,69.0
Knees (alternating) to the breast          ,0.5517241379310345,0.6153846153846154 ,0.5                ,32.0
Heels (alternatively) to the backside      ,0.6774193548387097,0.84               ,0.5675675675675675 ,37.0
Knees bending (crouching)                  ,0.879032258064516 ,0.8582677165354331 ,0.9008264462809917 ,121.0
Knees (alternating) bending forward        ,0.9072847682119206,0.8726114649681529 ,0.9448275862068966 ,145.0
Rotation on the knees                      ,0.8553459119496856,0.85               ,0.8607594936708861 ,79.0
Rowing                                     ,0.9024390243902439,0.8361581920903954 ,0.9801324503311258 ,151.0
Elliptical bike                            ,0.8373983739837397,0.7518248175182481 ,0.944954128440367  ,218.0
Cycling                                    ,0.949671772428884 ,0.9353448275862069 ,0.9644444444444444 ,225.0
accuracy                                   ,0.9009656574457271,0.9009656574457271 ,0.9009656574457271 ,0.9009656574457271
macro avg                                  ,0.7892225498804619,0.76865903984923   ,0.8247163465279176 ,13773.0
weighted avg                               ,0.903351759394617 ,0.9110175863085617 ,0.9009656574457271 ,13773.0
