                                           ,f1-score            ,precision          ,recall             ,support
No activity                                ,0.573112178088171   ,0.9776619508562919 ,0.40537202840382836,6478.0
Walking                                    ,0.34291377601585726 ,0.21200980392156862,0.8963730569948186 ,193.0
Jogging                                    ,0.553191489361702   ,0.48148148148148145,0.65               ,160.0
Running                                    ,0.7569060773480663  ,0.6431924882629108 ,0.9194630872483222 ,149.0
Jump up                                    ,0.5974025974025974  ,0.5111111111111111 ,0.71875            ,32.0
Jump front and back                        ,0.6178861788617885  ,0.5671641791044776 ,0.6785714285714286 ,56.0
Jump sideways                              ,0.6086956521739131  ,0.5645161290322581 ,0.660377358490566  ,53.0
Jump leg/arms open/closed                  ,0.8181818181818182  ,0.75               ,0.9                ,60.0
Jump rope                                  ,0.4999999999999999  ,0.46153846153846156,0.5454545454545454 ,33.0
Trunk twist (arms outstretched)            ,0.6352941176470589  ,0.54               ,0.7714285714285715 ,105.0
Trunk twist (elbows bent)                  ,0.36619718309859156 ,0.241635687732342  ,0.7558139534883721 ,86.0
Waist bends forward                        ,0.6722689075630253  ,0.5405405405405406 ,0.8888888888888888 ,90.0
Waist rotation                             ,0.39215686274509803 ,0.24734982332155478,0.9459459459459459 ,74.0
Waist bends (reach foot with opposite hand),0.8275862068965518  ,0.8                ,0.8571428571428571 ,84.0
Reach heels backwards                      ,0.18461538461538463 ,0.11764705882352941,0.42857142857142855,70.0
Lateral bend                               ,0.36134453781512604 ,0.2471264367816092 ,0.671875           ,64.0
Lateral bend with arm up                   ,0.31168831168831174 ,0.25263157894736843,0.4067796610169492 ,59.0
Repetitive forward stretching              ,0.39285714285714285 ,0.2972972972972973 ,0.5789473684210527 ,38.0
Upper trunk and lower body opposite twist  ,0.4832214765100672  ,0.34615384615384615,0.8                ,45.0
Lateral elevation of arms                  ,0.736111111111111   ,0.6162790697674418 ,0.9137931034482759 ,58.0
Frontal elevation of arms                  ,0.1822429906542056  ,0.10597826086956522,0.65               ,60.0
Frontal hand claps                         ,0.3656716417910448  ,0.23333333333333334,0.8448275862068966 ,58.0
Frontal crossing of arms                   ,0.35964912280701755 ,0.25308641975308643,0.6212121212121212 ,66.0
Shoulders high-amplitude rotation          ,0.48520710059171596 ,0.36283185840707965,0.7321428571428571 ,56.0
Shoulders low-amplitude rotation           ,0.040462427745664734,0.02258064516129032,0.19444444444444445,36.0
Arms inner rotation                        ,0.10706638115631693 ,0.05924170616113744,0.5555555555555556 ,45.0
Knees (alternating) to the breast          ,0.6071428571428571  ,0.5483870967741935 ,0.68               ,25.0
Heels (alternatively) to the backside      ,0.523076923076923   ,0.38636363636363635,0.8095238095238095 ,21.0
Knees bending (crouching)                  ,0.25806451612903225 ,0.1791044776119403 ,0.46153846153846156,78.0
Knees (alternating) bending forward        ,0.4732824427480916  ,0.36904761904761907,0.6595744680851063 ,94.0
Rotation on the knees                      ,0.4075829383886256  ,0.27044025157232704,0.8269230769230769 ,52.0
Rowing                                     ,0.7226277372262774  ,0.5689655172413793 ,0.99               ,100.0
Elliptical bike                            ,0.3974151857835218  ,0.25732217573221755,0.8723404255319149 ,141.0
Cycling                                    ,0.8398791540785498  ,0.7595628415300546 ,0.9391891891891891 ,148.0
accuracy                                   ,0.5042935206869633  ,0.5042935206869633 ,0.5042935206869633 ,0.5042935206869633
macro avg                                  ,0.4853236008618008  ,0.4056347877715574 ,0.712671184672626  ,8967.0
weighted avg                               ,0.5549918268372389  ,0.8195711017885128 ,0.5042935206869633 ,8967.0
