                                           ,f1-score           ,precision           ,recall              ,support
No activity                                ,0.8500013057898723 ,0.8282750652748159  ,0.8728980384374011  ,186433.0
Walking                                    ,0.24578709412248254,0.5221187427240978  ,0.1607238846084931  ,5581.0
Jogging                                    ,0.5127482383087766 ,0.6121137962679719  ,0.44113756613756616 ,4536.0
Running                                    ,0.5669697714426148 ,0.5944344241174955  ,0.5419309372797745  ,4257.0
Jump up                                    ,0.18334154756037455,0.16159860990443092 ,0.21184510250569477 ,878.0
Jump front and back                        ,0.2232845894263217 ,0.19614624505928854 ,0.2591383812010444  ,1532.0
Jump sideways                              ,0.09427396393546347,0.09260410192666252 ,0.09600515463917526 ,1552.0
Jump leg/arms open/closed                  ,0.5360213459828046 ,0.5358624777711914  ,0.5361803084223014  ,1686.0
Jump rope                                  ,0.12069530993768449,0.08570097810898929 ,0.2039911308203991  ,902.0
Trunk twist (arms outstretched)            ,0.5181401902078197 ,0.550112191473448   ,0.4896804260985353  ,3004.0
Trunk twist (elbows bent)                  ,0.6170349710362584 ,0.6694599627560521  ,0.572224432948667   ,2513.0
Waist bends forward                        ,0.20687787706471703,0.340160284951024   ,0.14863813229571984 ,2570.0
Waist rotation                             ,0.5031815956926088 ,0.5298969072164949  ,0.4790307548928239  ,2146.0
Waist bends (reach foot with opposite hand),0.48889895786135024,0.5328395061728395  ,0.451653411469234   ,2389.0
Reach heels backwards                      ,0.4383775351014041 ,0.4469777306468717  ,0.4301020408163265  ,1960.0
Lateral bend                               ,0.1485119907541173 ,0.1547260686333534  ,0.14277777777777778 ,1800.0
Lateral bend with arm up                   ,0.34734177215189876,0.31847725162488394 ,0.3819599109131403  ,1796.0
Repetitive forward stretching              ,0.2912621359223301 ,0.24530587522713507 ,0.3584070796460177  ,1130.0
Upper trunk and lower body opposite twist  ,0.20228866740494647,0.1947405828002843  ,0.21044546850998463 ,1302.0
Lateral elevation of arms                  ,0.5427905427905428 ,0.6068503350707372  ,0.49096385542168675 ,1660.0
Frontal elevation of arms                  ,0.11016949152542374,0.14538676607642126 ,0.08868675383740762 ,1759.0
Frontal hand claps                         ,0.2167058034216706 ,0.23872875092387288 ,0.1984029484029484  ,1628.0
Frontal crossing of arms                   ,0.2332425068119891 ,0.23555310952118877 ,0.23097679438747976 ,1853.0
Shoulders high-amplitude rotation          ,0.31123517096999304,0.34627329192546585 ,0.2826362484157161  ,1578.0
Shoulders low-amplitude rotation           ,0.02263822377013496,0.020651310563939634,0.025048169556840076,1038.0
Arms inner rotation                        ,0.3073701842546063 ,0.33242753623188404 ,0.28582554517133957 ,1284.0
Knees (alternating) to the breast          ,0.1051314142678348 ,0.08870116156282999 ,0.12903225806451613 ,651.0
Heels (alternatively) to the backside      ,0.24492468893254749,0.22235434007134364 ,0.2725947521865889  ,686.0
Knees bending (crouching)                  ,0.3460355029585799 ,0.36937847397675594 ,0.3254674977738201  ,2246.0
Knees (alternating) bending forward        ,0.2714969810535082 ,0.30915125651967756 ,0.24201930215293244 ,2694.0
Rotation on the knees                      ,0.3697007481296758 ,0.3400229357798165  ,0.40505464480874315 ,1464.0
Rowing                                     ,0.716555023923445  ,0.7868852459016393  ,0.657765284609979   ,2846.0
Elliptical bike                            ,0.5640033176665744 ,0.6447534766118836  ,0.5012285012285013  ,4070.0
Cycling                                    ,0.45195729537366547,0.5934579439252337  ,0.3649425287356322  ,4176.0
accuracy                                   ,0.7293051242236025 ,0.7293051242236025  ,0.7293051242236025  ,0.7293051242236025
macro avg                                  ,0.35026458104570707,0.3791801981564712  ,0.33792397129924145 ,257600.0
weighted avg                               ,0.7211508678770608 ,0.7215744802656254  ,0.7293051242236025  ,257600.0
