                                           ,f1-score           ,precision           ,recall             ,support
No activity                                ,0.8403059116411178 ,0.8144696542274522  ,0.8678350017444513 ,186305.0
Walking                                    ,0.20894685177394476,0.4806451612903226  ,0.13348862211073284,5581.0
Jogging                                    ,0.4987938890377914 ,0.6360218728639782  ,0.41027336860670194,4536.0
Running                                    ,0.6329846427776541 ,0.6013956438993445  ,0.6680761099365751 ,4257.0
Jump up                                    ,0.14379746835443039,0.12944393801276208 ,0.16173120728929385,878.0
Jump front and back                        ,0.18803418803418803,0.18940397350993377 ,0.1866840731070496 ,1532.0
Jump sideways                              ,0.08735632183908046,0.07883817427385892 ,0.0979381443298969 ,1552.0
Jump leg/arms open/closed                  ,0.45289166440401846,0.41762643965948926 ,0.49466192170818507,1686.0
Jump rope                                  ,0.17876178761787617,0.14183474300585555 ,0.24168514412416853,902.0
Trunk twist (arms outstretched)            ,0.38061377245508987,0.4346153846153846  ,0.33854860186418106,3004.0
Trunk twist (elbows bent)                  ,0.5485688528284877 ,0.6325363825363826  ,0.48428173497811383,2513.0
Waist bends forward                        ,0.2670775552131484 ,0.39274924471299094 ,0.20233463035019456,2570.0
Waist rotation                             ,0.45442323205162677,0.5371900826446281  ,0.3937558247903076 ,2146.0
Waist bends (reach foot with opposite hand),0.5182341650671786 ,0.5282608695652173  ,0.5085809962327333 ,2389.0
Reach heels backwards                      ,0.4130101258054618 ,0.5180908391070054  ,0.3433673469387755 ,1960.0
Lateral bend                               ,0.17625799277175425,0.17640511964385086 ,0.1761111111111111 ,1800.0
Lateral bend with arm up                   ,0.26811070998796627,0.23611699872827469 ,0.3101336302895323 ,1796.0
Repetitive forward stretching              ,0.23251589464123523,0.23880597014925373 ,0.22654867256637168,1130.0
Upper trunk and lower body opposite twist  ,0.2129195236376759 ,0.20081688223281144 ,0.22657450076804916,1302.0
Lateral elevation of arms                  ,0.42843720638897587,0.4461839530332681  ,0.41204819277108434,1660.0
Frontal elevation of arms                  ,0.17818044545111367,0.2651685393258427  ,0.13416714042069358,1759.0
Frontal hand claps                         ,0.1640058055152395 ,0.20035460992907803 ,0.13882063882063883,1628.0
Frontal crossing of arms                   ,0.332618025751073  ,0.33066666666666666 ,0.33459255261737725,1853.0
Shoulders high-amplitude rotation          ,0.282079243911305  ,0.3307757885763001  ,0.2458808618504436 ,1578.0
Shoulders low-amplitude rotation           ,0.10990712074303406,0.09184993531694696 ,0.13680154142581888,1038.0
Arms inner rotation                        ,0.26007478188616534,0.27871772039180764 ,0.24376947040498442,1284.0
Knees (alternating) to the breast          ,0.07294832826747721,0.060362173038229376,0.09216589861751152,651.0
Heels (alternatively) to the backside      ,0.11310711909514304,0.10403916768665851 ,0.1239067055393586 ,686.0
Knees bending (crouching)                  ,0.19913222196848596,0.20440693858415376 ,0.19412288512911843,2246.0
Knees (alternating) bending forward        ,0.2614904060687193 ,0.3277404921700224  ,0.21752041573867856,2694.0
Rotation on the knees                      ,0.41995073891625617,0.38228699551569506 ,0.46584699453551914,1464.0
Rowing                                     ,0.5870930896630496 ,0.6406314914831741  ,0.5418130709768095 ,2846.0
Elliptical bike                            ,0.44034890264490717,0.5151415404871627  ,0.3845208845208845 ,4070.0
Cycling                                    ,0.3584844559585492 ,0.5535              ,0.2650862068965517 ,4176.0
accuracy                                   ,0.7159924185930897 ,0.7159924185930897  ,0.7159924185930897 ,0.7159924185930897
macro avg                                  ,0.32092536594615356,0.3563850996142295  ,0.3059904147974088 ,257472.0
weighted avg                               ,0.7044409680384588 ,0.7037586379885443  ,0.7159924185930897 ,257472.0
