                                           ,f1-score           ,precision          ,recall             ,support
No activity                                ,0.8906227431236201 ,0.8590613711226328 ,0.9245916564022921 ,186730.0
Walking                                    ,0.29330014519809167,0.3481901009603546 ,0.2533596129725856 ,5581.0
Jogging                                    ,0.6059441973311768 ,0.5595593726661687 ,0.6607142857142857 ,4536.0
Running                                    ,0.7040121120363362 ,0.7604251839738349 ,0.6553911205073996 ,4257.0
Jump up                                    ,0.2620320855614974 ,0.31715210355987056,0.22323462414578588,878.0
Jump front and back                        ,0.3066322136089578 ,0.4506329113924051 ,0.23237597911227154,1532.0
Jump sideways                              ,0.13711583924349882,0.25754884547069273,0.09342783505154639,1552.0
Jump leg/arms open/closed                  ,0.8437499999999999 ,0.8550548112058465 ,0.8327402135231317 ,1686.0
Jump rope                                  ,0.45667125171939477,0.3893666927286943 ,0.5521064301552107 ,902.0
Trunk twist (arms outstretched)            ,0.683088954056696  ,0.8275698720985315 ,0.5815579227696405 ,3004.0
Trunk twist (elbows bent)                  ,0.6624472573839661 ,0.8060467769537935 ,0.5622761639474732 ,2513.0
Waist bends forward                        ,0.46115537848605576,0.640387275242047  ,0.3603112840466926 ,2570.0
Waist rotation                             ,0.5062785388127854 ,0.6531664212076583 ,0.41332712022367196,2146.0
Waist bends (reach foot with opposite hand),0.8270642201834861 ,0.9147640791476408 ,0.7547090832984512 ,2389.0
Reach heels backwards                      ,0.7619539932799173 ,0.7721320062860136 ,0.7520408163265306 ,1960.0
Lateral bend                               ,0.35591397849462364,0.34479166666666666,0.36777777777777776,1800.0
Lateral bend with arm up                   ,0.6747737556561086 ,0.6856321839080459 ,0.6642538975501113 ,1796.0
Repetitive forward stretching              ,0.44838012958963286,0.4379746835443038 ,0.4592920353982301 ,1130.0
Upper trunk and lower body opposite twist  ,0.2963386727688787 ,0.5807174887892377 ,0.1989247311827957 ,1302.0
Lateral elevation of arms                  ,0.6035502958579881 ,0.7816091954022989 ,0.491566265060241  ,1660.0
Frontal elevation of arms                  ,0.2700831024930748 ,0.3454384410983171 ,0.22171688459351904,1759.0
Frontal hand claps                         ,0.463047285464098  ,0.5387123064384678 ,0.406019656019656  ,1628.0
Frontal crossing of arms                   ,0.4386317907444668 ,0.579273693534101  ,0.35294117647058826,1853.0
Shoulders high-amplitude rotation          ,0.47710534742235033,0.48220064724919093,0.4721166032953105 ,1578.0
Shoulders low-amplitude rotation           ,0.21325051759834368,0.23042505592841164,0.19845857418111754,1038.0
Arms inner rotation                        ,0.3008620689655172 ,0.33687258687258687,0.2718068535825545 ,1284.0
Knees (alternating) to the breast          ,0.16326530612244897,0.37362637362637363,0.10445468509984639,651.0
Heels (alternatively) to the backside      ,0.5224171539961013 ,0.788235294117647  ,0.39067055393586003,686.0
Knees bending (crouching)                  ,0.5959885386819485 ,0.6426364572605562 ,0.5556544968833482 ,2246.0
Knees (alternating) bending forward        ,0.6548253404381291 ,0.6991150442477876 ,0.6158129175946548 ,2694.0
Rotation on the knees                      ,0.6659693165969317 ,0.6801994301994302 ,0.6523224043715847 ,1464.0
Rowing                                     ,0.7256671899529042 ,0.8217777777777778 ,0.6496837666900913 ,2846.0
Elliptical bike                            ,0.6366093016640592 ,0.7558257345491388 ,0.5498771498771499 ,4070.0
Cycling                                    ,0.5458727319192436 ,0.5852054794520548 ,0.5114942528735632 ,4176.0
accuracy                                   ,0.8048717123502793 ,0.8048717123502793 ,0.8048717123502793 ,0.8048717123502793
macro avg                                  ,0.5133711986603626 ,0.5912155107258404 ,0.4702061420774991 ,257897.0
weighted avg                               ,0.7930317843519725 ,0.7906522357930701 ,0.8048717123502793 ,257897.0
