                                           ,f1-score            ,precision           ,recall             ,support
No activity                                ,0.8717167558666119  ,0.8378898424554201  ,0.908389864593109  ,186475.0
Walking                                    ,0.28974962550823885 ,0.35962815405046483 ,0.24260885146031178,5581.0
Jogging                                    ,0.5899236010737147  ,0.5547572815533981  ,0.6298500881834215 ,4536.0
Running                                    ,0.6512838717311562  ,0.6561754887935145  ,0.6464646464646465 ,4257.0
Jump up                                    ,0.18842364532019704 ,0.20509383378016086 ,0.17425968109339407,878.0
Jump front and back                        ,0.21224489795918364 ,0.28322440087145967 ,0.16971279373368145,1532.0
Jump sideways                              ,0.057831325301204814,0.1147227533460803  ,0.03865979381443299,1552.0
Jump leg/arms open/closed                  ,0.7235109717868339  ,0.7672872340425532  ,0.6844602609727165 ,1686.0
Jump rope                                  ,0.2629854936827328  ,0.22753036437246962 ,0.311529933481153  ,902.0
Trunk twist (arms outstretched)            ,0.5801825293350716  ,0.8354192740926157  ,0.4444074567243675 ,3004.0
Trunk twist (elbows bent)                  ,0.5899975839574776  ,0.7509225092250923  ,0.48587345801830484,2513.0
Waist bends forward                        ,0.23567393058918484 ,0.3818657367044464  ,0.17042801556420234,2570.0
Waist rotation                             ,0.4485087225661227  ,0.5660511363636364  ,0.37138863000931965,2146.0
Waist bends (reach foot with opposite hand),0.6789685356044476  ,0.780739934711643   ,0.6006697362913352 ,2389.0
Reach heels backwards                      ,0.7000516262261228  ,0.7084639498432602  ,0.6918367346938775 ,1960.0
Lateral bend                               ,0.31611804767309876 ,0.32308584686774944 ,0.30944444444444447,1800.0
Lateral bend with arm up                   ,0.4680851063829787  ,0.4839476813317479  ,0.4532293986636971 ,1796.0
Repetitive forward stretching              ,0.3492935635792779  ,0.3138222849083216  ,0.3938053097345133 ,1130.0
Upper trunk and lower body opposite twist  ,0.2588099364529174  ,0.5221445221445221  ,0.17204301075268819,1302.0
Lateral elevation of arms                  ,0.5928515928515928  ,0.8347921225382933  ,0.45963855421686745,1660.0
Frontal elevation of arms                  ,0.18288393903868697 ,0.2925              ,0.13303013075611142,1759.0
Frontal hand claps                         ,0.24761176920137565 ,0.3276036400404449  ,0.19901719901719903,1628.0
Frontal crossing of arms                   ,0.3829654958035436  ,0.45161290322580644 ,0.3324338909875877 ,1853.0
Shoulders high-amplitude rotation          ,0.33247256294383476 ,0.33881578947368424 ,0.32636248415716096,1578.0
Shoulders low-amplitude rotation           ,0.1771400296882731  ,0.18209562563580875 ,0.1724470134874759 ,1038.0
Arms inner rotation                        ,0.1905972045743329  ,0.20891364902506965 ,0.17523364485981308,1284.0
Knees (alternating) to the breast          ,0.03420195439739414 ,0.036395147313691506,0.03225806451612903,651.0
Heels (alternatively) to the backside      ,0.31309297912713474 ,0.4483695652173913  ,0.24052478134110788,686.0
Knees bending (crouching)                  ,0.4947201689545934  ,0.6076523994811932  ,0.41718610863757793,2246.0
Knees (alternating) bending forward        ,0.45776145370191385 ,0.47761194029850745 ,0.4394951744617669 ,2694.0
Rotation on the knees                      ,0.5439595192915876  ,0.5064782096584217  ,0.587431693989071  ,1464.0
Rowing                                     ,0.681524926686217   ,0.7681798148964302  ,0.6124385101897399 ,2846.0
Elliptical bike                            ,0.609075535512965   ,0.7141440846001322  ,0.5309582309582309 ,4070.0
Cycling                                    ,0.5492529053680132  ,0.6503931847968545  ,0.4753352490421456 ,4176.0
accuracy                                   ,0.771601679850335   ,0.771601679850335   ,0.771601679850335  ,0.771601679850335
macro avg                                  ,0.41951387669817736 ,0.48583324428412605 ,0.3833192011562236 ,257642.0
weighted avg                               ,0.7570478714753965  ,0.7529067680292237  ,0.771601679850335  ,257642.0
