                                           ,f1-score           ,precision           ,recall             ,support
No activity                                ,0.6618447768324469 ,0.9595620066208301  ,0.5051233518678384 ,186499.0
Walking                                    ,0.4836371871815197 ,0.35353033689264135 ,0.7652750403153556 ,5581.0
Jogging                                    ,0.6966021664660681 ,0.6004788507581804  ,0.8293650793650794 ,4536.0
Running                                    ,0.9226927006470655 ,0.8927943760984183  ,0.9546629081512803 ,4257.0
Jump up                                    ,0.0819436973283127 ,0.044472557415336705,0.520501138952164  ,878.0
Jump front and back                        ,0.3686087990487515 ,0.2646556630620376  ,0.6070496083550914 ,1532.0
Jump sideways                              ,0.19328140214216163,0.155320813771518   ,0.25579896907216493,1552.0
Jump leg/arms open/closed                  ,0.834619625137817  ,0.7796086508753862  ,0.8979833926453143 ,1686.0
Jump rope                                  ,0.18830006882312456,0.1074964639321075  ,0.7583148558758315 ,902.0
Trunk twist (arms outstretched)            ,0.6598563447725458 ,0.6338546458141674  ,0.6880825565912118 ,3004.0
Trunk twist (elbows bent)                  ,0.4844749389463891 ,0.34226092671705555 ,0.8288897731794668 ,2513.0
Waist bends forward                        ,0.6234975961538461 ,0.5078316201664219  ,0.8073929961089494 ,2570.0
Waist rotation                             ,0.4789289871944121 ,0.319211669770329   ,0.9585274930102516 ,2146.0
Waist bends (reach foot with opposite hand),0.8007960919124298 ,0.7052262587635436  ,0.9263290079531185 ,2389.0
Reach heels backwards                      ,0.6695708995861468 ,0.5841885214747244  ,0.7841836734693878 ,1960.0
Lateral bend                               ,0.12738190552441953,0.06863675582398619 ,0.8838888888888888 ,1800.0
Lateral bend with arm up                   ,0.2770450823204896 ,0.16389597144314125 ,0.8947661469933185 ,1796.0
Repetitive forward stretching              ,0.3887955182072829 ,0.28442622950819674 ,0.6141592920353982 ,1130.0
Upper trunk and lower body opposite twist  ,0.341996699669967  ,0.2337845459672871  ,0.6367127496159755 ,1302.0
Lateral elevation of arms                  ,0.5174825174825175 ,0.4830287206266319  ,0.5572289156626506 ,1660.0
Frontal elevation of arms                  ,0.32229377491567   ,0.22065924837287423 ,0.5974985787379192 ,1759.0
Frontal hand claps                         ,0.6166988151005786 ,0.5592203898050975  ,0.6873464373464373 ,1628.0
Frontal crossing of arms                   ,0.4481276856967465 ,0.36090969017798286 ,0.590933621154884  ,1853.0
Shoulders high-amplitude rotation          ,0.30906344410876135,0.20289567631892105 ,0.6482889733840305 ,1578.0
Shoulders low-amplitude rotation           ,0.1533879374534624 ,0.10330992978936811 ,0.2976878612716763 ,1038.0
Arms inner rotation                        ,0.3888888888888889 ,0.2695547533092659  ,0.6978193146417445 ,1284.0
Knees (alternating) to the breast          ,0.20769230769230768,0.1344499773653237  ,0.45622119815668205,651.0
Heels (alternatively) to the backside      ,0.4994438264738598 ,0.4037769784172662  ,0.6545189504373178 ,686.0
Knees bending (crouching)                  ,0.6054831810227493 ,0.5374525371073524  ,0.6932324131789849 ,2246.0
Knees (alternating) bending forward        ,0.5943562610229277 ,0.491970802919708   ,0.7505567928730512 ,2694.0
Rotation on the knees                      ,0.7111350188273265 ,0.5865128660159716  ,0.9030054644808743 ,1464.0
Rowing                                     ,0.7526620838387922 ,0.6105401268314017  ,0.9810260014054814 ,2846.0
Elliptical bike                            ,0.749440715883669  ,0.7582997987927566  ,0.7407862407862408 ,4070.0
Cycling                                    ,0.7668493150684932 ,0.8959667093469911  ,0.6702586206896551 ,4176.0
accuracy                                   ,0.5732537470989576 ,0.5732537470989576  ,0.5732537470989576 ,0.5732537470989576
macro avg                                  ,0.49784941945211614,0.4299936785315359  ,0.7071593031368739 ,257666.0
weighted avg                               ,0.6352485843104742 ,0.8307007542749879  ,0.5732537470989576 ,257666.0
