                                           ,f1-score           ,precision           ,recall              ,support
No activity                                ,0.2720246439902605 ,0.9820530749508873  ,0.15787811471241603 ,186815.0
Walking                                    ,0.21376499886800995,0.12234056337298194 ,0.8459057516574091  ,5581.0
Jogging                                    ,0.40934283452098175,0.292090395480226   ,0.6838624338624338  ,4536.0
Running                                    ,0.7868239691624809 ,0.7825278810408922  ,0.7911674888419075  ,4257.0
Jump up                                    ,0.25806451612903225,0.1623529411764706  ,0.6287015945330297  ,878.0
Jump front and back                        ,0.22195416164053075,0.28900523560209423 ,0.1801566579634465  ,1532.0
Jump sideways                              ,0.03263403263403263,0.02556610664718773 ,0.045103092783505154,1552.0
Jump leg/arms open/closed                  ,0.7945725915875169 ,0.7323661830915458  ,0.8683274021352313  ,1686.0
Jump rope                                  ,0.23930099857346648,0.14258393540161496 ,0.7439024390243902  ,902.0
Trunk twist (arms outstretched)            ,0.5642173824547121 ,0.7260345730749084  ,0.4613848202396804  ,3004.0
Trunk twist (elbows bent)                  ,0.3679107208196122 ,0.23886447321534623 ,0.8002387584560287  ,2513.0
Waist bends forward                        ,0.43093169817748256,0.3832172069069979  ,0.49221789883268485 ,2570.0
Waist rotation                             ,0.39096001545296505,0.246588693957115   ,0.9431500465983225  ,2146.0
Waist bends (reach foot with opposite hand),0.854235880398671  ,0.8475484136794397  ,0.861029719547928   ,2389.0
Reach heels backwards                      ,0.6382513661202186 ,0.5583173996175909  ,0.7448979591836735  ,1960.0
Lateral bend                               ,0.20425029515938609,0.1142668428005284  ,0.9611111111111111  ,1800.0
Lateral bend with arm up                   ,0.4314994606256742 ,0.2846975088967972  ,0.89086859688196    ,1796.0
Repetitive forward stretching              ,0.6457621856566284 ,0.49736967957914874 ,0.9203539823008849  ,1130.0
Upper trunk and lower body opposite twist  ,0.22141638225255972,0.15327820437093917 ,0.3986175115207373  ,1302.0
Lateral elevation of arms                  ,0.5748459586806813 ,0.721565059144677   ,0.47771084337349395 ,1660.0
Frontal elevation of arms                  ,0.3712649016875677 ,0.2551063829787234  ,0.6816372939169983  ,1759.0
Frontal hand claps                         ,0.6608             ,0.5838831291234684  ,0.7610565110565111  ,1628.0
Frontal crossing of arms                   ,0.48426353336130923,0.3961551664950223  ,0.6227738801942796  ,1853.0
Shoulders high-amplitude rotation          ,0.543928035982009  ,0.5162208309618668  ,0.5747782002534855  ,1578.0
Shoulders low-amplitude rotation           ,0.1904093567251462 ,0.12573370404695705 ,0.3921001926782274  ,1038.0
Arms inner rotation                        ,0.4044700793078587 ,0.26313320825515946 ,0.8738317757009346  ,1284.0
Knees (alternating) to the breast          ,0.04841208365608056,0.027697762020828718,0.19201228878648233 ,651.0
Heels (alternatively) to the backside      ,0.6641901931649331 ,0.6772727272727272  ,0.6516034985422741  ,686.0
Knees bending (crouching)                  ,0.4939779474130619 ,0.39901342833653053 ,0.6482635796972396  ,2246.0
Knees (alternating) bending forward        ,0.5081895926945935 ,0.416884661117717   ,0.6507052709725315  ,2694.0
Rotation on the knees                      ,0.6102067751869775 ,0.4500324464633355  ,0.9474043715846995  ,1464.0
Rowing                                     ,0.2922871521002362 ,0.17115708443589125 ,1.0                 ,2846.0
Elliptical bike                            ,0.47183385367177955,0.3259564891222806  ,0.8540540540540541  ,4070.0
Cycling                                    ,0.15649828855927808,0.08567080787662677 ,0.9032567049808429  ,4176.0
accuracy                                   ,0.31356063601336526,0.31356063601336526 ,0.31356063601336526 ,0.31356063601336526
macro avg                                  ,0.4251028201886981 ,0.3822515353092507  ,0.6661783484111422  ,257982.0
weighted avg                               ,0.3171895184222537 ,0.8125720275932794  ,0.31356063601336526 ,257982.0
