                                           ,f1-score           ,precision          ,recall              ,support
No activity                                ,0.2721742298804983 ,0.9827471356248335 ,0.157960951427516   ,186793.0
Walking                                    ,0.21545390441962559,0.1233911729456516 ,0.8485934420354775  ,5581.0
Jogging                                    ,0.41247878866988646,0.2929723715928055 ,0.6966490299823633  ,4536.0
Running                                    ,0.7895106532428003 ,0.7869311551925321 ,0.792107117688513   ,4257.0
Jump up                                    ,0.2522946575664862 ,0.15900326312666865,0.6104783599088838  ,878.0
Jump front and back                        ,0.20107128141738775,0.27262569832402234,0.15926892950391644 ,1532.0
Jump sideways                              ,0.02962277250636427,0.02311303719754424,0.041237113402061855,1552.0
Jump leg/arms open/closed                  ,0.7590195538419168 ,0.7084832904884318 ,0.8173190984578885  ,1686.0
Jump rope                                  ,0.23250845647142604,0.13849416755037117,0.7239467849223947  ,902.0
Trunk twist (arms outstretched)            ,0.5687693898655636 ,0.7509557618787548 ,0.45772303595206393 ,3004.0
Trunk twist (elbows bent)                  ,0.3690915805022157 ,0.24029330448371197,0.7954635893354556  ,2513.0
Waist bends forward                        ,0.553635372878717  ,0.4614586036854399 ,0.691828793774319   ,2570.0
Waist rotation                             ,0.39923039923039916,0.2515456418959874 ,0.9669151910531221  ,2146.0
Waist bends (reach foot with opposite hand),0.8513906185139063 ,0.8443804034582133 ,0.8585182084554207  ,2389.0
Reach heels backwards                      ,0.6442224152910513 ,0.56089258698941   ,0.7566326530612245  ,1960.0
Lateral bend                               ,0.20636623748211733,0.1155849358974359 ,0.9616666666666667  ,1800.0
Lateral bend with arm up                   ,0.43709875700040984,0.2895927601809955 ,0.89086859688196    ,1796.0
Repetitive forward stretching              ,0.7081765309613411 ,0.577244841048522  ,0.915929203539823   ,1130.0
Upper trunk and lower body opposite twist  ,0.22337214316515738,0.1552757793764988 ,0.3978494623655914  ,1302.0
Lateral elevation of arms                  ,0.5584707646176912 ,0.7390873015873016 ,0.44879518072289154 ,1660.0
Frontal elevation of arms                  ,0.3673026213742826 ,0.2525597269624573 ,0.6731097214326321  ,1759.0
Frontal hand claps                         ,0.6483687208700155 ,0.5604297224709042 ,0.769041769041769   ,1628.0
Frontal crossing of arms                   ,0.48912133891213383,0.3993850358729074 ,0.6308688613059903  ,1853.0
Shoulders high-amplitude rotation          ,0.5380952380952381 ,0.5072951739618407 ,0.5728770595690748  ,1578.0
Shoulders low-amplitude rotation           ,0.18440709617180204,0.12168823166974738,0.3805394990366089  ,1038.0
Arms inner rotation                        ,0.40138282387190677,0.2618708452041785 ,0.8590342679127726  ,1284.0
Knees (alternating) to the breast          ,0.04311838306063523,0.02464788732394366,0.17204301075268819 ,651.0
Heels (alternatively) to the backside      ,0.6191446028513238 ,0.579415501905972  ,0.6647230320699709  ,686.0
Knees bending (crouching)                  ,0.517338642774183  ,0.41232478180375565,0.6941228851291185  ,2246.0
Knees (alternating) bending forward        ,0.5506471581316826 ,0.4433620299048482 ,0.7264291017074982  ,2694.0
Rotation on the knees                      ,0.6041712403951701 ,0.4451633775477192 ,0.9398907103825137  ,1464.0
Rowing                                     ,0.29234720082177706,0.1711982675649663 ,1.0                 ,2846.0
Elliptical bike                            ,0.47499144714334585,0.3291607396870555 ,0.8528255528255528  ,4070.0
Cycling                                    ,0.15700452977600465,0.0859613196814562 ,0.9046934865900383  ,4176.0
accuracy                                   ,0.31633198945572955,0.31633198945572955,0.31633198945572955 ,0.31633198945572955
macro avg                                  ,0.4285705750521901 ,0.38436870159079073,0.6714691284380524  ,257960.0
weighted avg                               ,0.3190185604100802 ,0.8144415594755671 ,0.31633198945572955 ,257960.0
