                                           ,f1-score          ,precision         ,recall            ,support
No activity                                ,0.9957750183869911,0.995946112832298 ,0.9956039827165133,186305.0
Walking                                    ,0.9959731543624162,0.9948158741508759,0.9971331302633937,5581.0
Jogging                                    ,0.9948197949961424,0.9947101608992727,0.9949294532627866,4536.0
Running                                    ,0.9926168990976209,0.9904115996258185,0.9948320413436692,4257.0
Jump up                                    ,0.9433106575963719,0.9390519187358917,0.9476082004555809,878.0
Jump front and back                        ,0.9823759791122716,0.9823759791122716,0.9823759791122716,1532.0
Jump sideways                              ,0.9797101449275362,0.9793947198969736,0.9800257731958762,1552.0
Jump leg/arms open/closed                  ,0.9869281045751634,0.9886904761904762,0.9851720047449585,1686.0
Jump rope                                  ,0.9706371191135733,0.9700996677740864,0.9711751662971175,902.0
Trunk twist (arms outstretched)            ,0.9938446181999668,0.9933488526770868,0.9943408788282291,3004.0
Trunk twist (elbows bent)                  ,0.9920413847990449,0.9920413847990449,0.9920413847990449,2513.0
Waist bends forward                        ,0.9869421165464822,0.9886762983209684,0.9852140077821012,2570.0
Waist rotation                             ,0.99185478240633  ,0.9907019990702   ,0.9930102516309413,2146.0
Waist bends (reach foot with opposite hand),0.9926640117375811,0.9941225860621327,0.9912097111762244,2389.0
Reach heels backwards                      ,0.9879948914431673,0.9892583120204603,0.986734693877551 ,1960.0
Lateral bend                               ,0.9791376912378302,0.9805013927576601,0.9777777777777777,1800.0
Lateral bend with arm up                   ,0.9805663520266519,0.9778516057585825,0.9832962138084632,1796.0
Repetitive forward stretching              ,0.9810656098634962,0.9763365468886941,0.9858407079646018,1130.0
Upper trunk and lower body opposite twist  ,0.9884348496530455,0.9922600619195047,0.9846390168970814,1302.0
Lateral elevation of arms                  ,0.9852365170231998,0.9855334538878843,0.9849397590361446,1660.0
Frontal elevation of arms                  ,0.985531914893617 ,0.9835787089467724,0.9874928936895964,1759.0
Frontal hand claps                         ,0.9883649724433557,0.9853479853479854,0.9914004914004914,1628.0
Frontal crossing of arms                   ,0.986294006987369 ,0.9823340471092077,0.9902860226659471,1853.0
Shoulders high-amplitude rotation          ,0.9851124485270827,0.9848005066497784,0.985424588086185 ,1578.0
Shoulders low-amplitude rotation           ,0.9764082811747713,0.9759384023099134,0.976878612716763 ,1038.0
Arms inner rotation                        ,0.9825513765025203,0.9783783783783784,0.9867601246105919,1284.0
Knees (alternating) to the breast          ,0.9537037037037036,0.958139534883721 ,0.9493087557603687,651.0
Heels (alternatively) to the backside      ,0.963944076526858 ,0.9732540861812778,0.9548104956268222,686.0
Knees bending (crouching)                  ,0.9864051704925341,0.9875055778670236,0.9853072128227961,2246.0
Knees (alternating) bending forward        ,0.9918185198958721,0.9936661698956781,0.9899777282850779,2694.0
Rotation on the knees                      ,0.9850441876274643,0.9803788903924222,0.9897540983606558,1464.0
Rowing                                     ,0.9940288022479803,0.9936797752808989,0.994378074490513 ,2846.0
Elliptical bike                            ,0.99840471223463  ,0.997303260603089 ,0.9995085995085995,4070.0
Cycling                                    ,0.9965273619925756,0.9966467065868263,0.9964080459770115,4176.0
accuracy                                   ,0.9938129194630873,0.9938129194630873,0.9938129194630873,0.9938129194630873
macro avg                                  ,0.9845902715398592,0.9843259127592103,0.9848704670285809,257472.0
weighted avg                               ,0.9938135794830929,0.9938168612153936,0.9938129194630873,257472.0
