                                           ,f1-score           ,precision           ,recall             ,support
No activity                                ,0.6409125453163692 ,0.9942014597881389  ,0.4728762448489011 ,186368.0
Walking                                    ,0.34751773049645396,0.21187939777506978 ,0.9657767425192618 ,5581.0
Jogging                                    ,0.7853181405667037 ,0.7236573127671436  ,0.8584656084656085 ,4536.0
Running                                    ,0.8304996349222905 ,0.7469043151969981  ,0.9351656095842142 ,4257.0
Jump up                                    ,0.3314963967782959 ,0.26401080351114115 ,0.44533029612756264,878.0
Jump front and back                        ,0.4645129711209006 ,0.3715740015661707  ,0.6194516971279374 ,1532.0
Jump sideways                              ,0.3051643192488263 ,0.5622837370242214  ,0.20940721649484537,1552.0
Jump leg/arms open/closed                  ,0.7795809973443494 ,0.7756899588960657  ,0.7835112692763938 ,1686.0
Jump rope                                  ,0.5445292620865141 ,0.4409340659340659  ,0.7117516629711752 ,902.0
Trunk twist (arms outstretched)            ,0.7086488640892786 ,0.8828202581926514  ,0.5918774966711052 ,3004.0
Trunk twist (elbows bent)                  ,0.4925661105436387 ,0.34455382661162276 ,0.8635097493036211 ,2513.0
Waist bends forward                        ,0.6876498800959233 ,0.5592393954168698  ,0.8926070038910506 ,2570.0
Waist rotation                             ,0.39824817518248173,0.2516914749661705  ,0.9534016775396086 ,2146.0
Waist bends (reach foot with opposite hand),0.8909403177329327 ,0.9144997796386073  ,0.86856425282545   ,2389.0
Reach heels backwards                      ,0.7040210942649967 ,0.6182940949440371  ,0.8173469387755102 ,1960.0
Lateral bend                               ,0.10115498718281056,0.053343054163249186,0.9755555555555555 ,1800.0
Lateral bend with arm up                   ,0.3964652495820396 ,0.25235633931286106 ,0.9242761692650334 ,1796.0
Repetitive forward stretching              ,0.6293759512937595 ,0.5520694259012016  ,0.731858407079646  ,1130.0
Upper trunk and lower body opposite twist  ,0.5408737603859555 ,0.4153972828324413  ,0.7749615975422427 ,1302.0
Lateral elevation of arms                  ,0.7010886469673406 ,0.7247588424437299  ,0.6789156626506024 ,1660.0
Frontal elevation of arms                  ,0.3507944389275074 ,0.22439256788947118 ,0.8032973280272883 ,1759.0
Frontal hand claps                         ,0.701456953642384  ,0.6166744294364229  ,0.8132678132678133 ,1628.0
Frontal crossing of arms                   ,0.6513256628314156 ,0.606993006993007   ,0.7026443604964921 ,1853.0
Shoulders high-amplitude rotation          ,0.5665399239543726 ,0.4532319391634981  ,0.7553865652724968 ,1578.0
Shoulders low-amplitude rotation           ,0.30050188205771644,0.22279069767441861 ,0.4614643545279383 ,1038.0
Arms inner rotation                        ,0.33749554049232966,0.21888014807959277 ,0.7367601246105919 ,1284.0
Knees (alternating) to the breast          ,0.32558139534883723,0.37058823529411766 ,0.2903225806451613 ,651.0
Heels (alternatively) to the backside      ,0.46098868374032165,0.38972809667673713 ,0.5641399416909622 ,686.0
Knees bending (crouching)                  ,0.6831750339213025 ,0.5517808219178082  ,0.8967052537845058 ,2246.0
Knees (alternating) bending forward        ,0.4444649958383427 ,0.29597241039536887 ,0.8919821826280624 ,2694.0
Rotation on the knees                      ,0.51697438951757   ,0.36439966414777497 ,0.889344262295082  ,1464.0
Rowing                                     ,0.5270082460854257 ,0.3578708946772367  ,0.9992972593113141 ,2846.0
Elliptical bike                            ,0.7394787546901938 ,0.6295976515282334  ,0.8958230958230958 ,4070.0
Cycling                                    ,0.962073027090695  ,0.9466852109411219  ,0.9779693486590039 ,4176.0
accuracy                                   ,0.5703729590152795 ,0.5703729590152795  ,0.5703729590152795 ,0.5703729590152795
macro avg                                  ,0.5543654106864787 ,0.4973454294616843  ,0.757441627339857  ,257535.0
weighted avg                               ,0.6285900945456299 ,0.8638981103373302  ,0.5703729590152795 ,257535.0
