                                           ,f1-score           ,precision         ,recall             ,support
No activity                                ,0.9258746942379981 ,0.9013130867428449,0.9518124558133556 ,186708.0
Walking                                    ,0.5927516778523491 ,0.5920629245620308,0.593442035477513  ,5581.0
Jogging                                    ,0.7109980084089401 ,0.7136828076410484,0.7083333333333334 ,4536.0
Running                                    ,0.7838966957842767 ,0.8500823723228995,0.7272727272727273 ,4257.0
Jump up                                    ,0.39740566037735847,0.4119804400977995,0.3838268792710706 ,878.0
Jump front and back                        ,0.5809009009009009 ,0.6484312148028962,0.5261096605744126 ,1532.0
Jump sideways                              ,0.7163431433938636 ,0.6967113276492083,0.7371134020618557 ,1552.0
Jump leg/arms open/closed                  ,0.8372670807453415 ,0.878748370273794 ,0.7995255041518387 ,1686.0
Jump rope                                  ,0.5458539264140582 ,0.5408052230685527,0.5509977827050998 ,902.0
Trunk twist (arms outstretched)            ,0.8825235678027555 ,0.9689490445859873,0.8102529960053262 ,3004.0
Trunk twist (elbows bent)                  ,0.8643031784841075 ,0.8855949895615867,0.8440111420612814 ,2513.0
Waist bends forward                        ,0.7095795405288253 ,0.800880626223092 ,0.636964980544747  ,2570.0
Waist rotation                             ,0.7458905955268121 ,0.8843450479233227,0.6449207828518173 ,2146.0
Waist bends (reach foot with opposite hand),0.9168096054888507 ,0.9397802197802197,0.8949351192967769 ,2389.0
Reach heels backwards                      ,0.8048648648648649 ,0.8557471264367816,0.7596938775510204 ,1960.0
Lateral bend                               ,0.6916996047430831 ,0.7032146957520092,0.6805555555555556 ,1800.0
Lateral bend with arm up                   ,0.6751747189304163 ,0.7431438127090301,0.6185968819599109 ,1796.0
Repetitive forward stretching              ,0.8454083987078911 ,0.8833172613307618,0.8106194690265487 ,1130.0
Upper trunk and lower body opposite twist  ,0.5098039215686274 ,0.65              ,0.41935483870967744,1302.0
Lateral elevation of arms                  ,0.6410346032855645 ,0.7635303913405496,0.5524096385542169 ,1660.0
Frontal elevation of arms                  ,0.5883520847121112 ,0.7038796516231196,0.5054007959067652 ,1759.0
Frontal hand claps                         ,0.6206384558277654 ,0.7842401500938087,0.5135135135135135 ,1628.0
Frontal crossing of arms                   ,0.7234678624813153 ,0.8109919571045576,0.652995143011333  ,1853.0
Shoulders high-amplitude rotation          ,0.6177974769860212 ,0.6686346863468635,0.5741444866920152 ,1578.0
Shoulders low-amplitude rotation           ,0.6080325368581596 ,0.643702906350915 ,0.5761078998073218 ,1038.0
Arms inner rotation                        ,0.390057361376673  ,0.504950495049505 ,0.3177570093457944 ,1284.0
Knees (alternating) to the breast          ,0.4778420038535645 ,0.6408268733850129,0.38095238095238093,651.0
Heels (alternatively) to the backside      ,0.6698795180722892 ,0.7459749552772809,0.607871720116618  ,686.0
Knees bending (crouching)                  ,0.6715063520871143 ,0.8038485412787089,0.5765805877114871 ,2246.0
Knees (alternating) bending forward        ,0.8432432432432432 ,0.8785197103781175,0.8106904231625836 ,2694.0
Rotation on the knees                      ,0.7484232655921514 ,0.7683453237410072,0.7295081967213115 ,1464.0
Rowing                                     ,0.8438996360850411 ,0.9275789473684211,0.7740688685874912 ,2846.0
Elliptical bike                            ,0.7227737442584086 ,0.910414333706607 ,0.5992628992628992 ,4070.0
Cycling                                    ,0.885300955825368  ,0.9610207515423443,0.8206417624521073 ,4176.0
accuracy                                   ,0.8744934561318468 ,0.8744934561318468,0.8744934561318468 ,0.8744934561318468
macro avg                                  ,0.6996940848619445 ,0.7666250078250203,0.6497130808829915 ,257875.0
weighted avg                               ,0.8699120544097303 ,0.8707680170777697,0.8744934561318468 ,257875.0
