                                           ,f1-score          ,precision         ,recall            ,support
No activity                                ,0.9901335192235509,0.9900538859548002,0.99021316530366  ,186475.0
Walking                                    ,0.9824749642346209,0.9805461359985722,0.984411395807203 ,5581.0
Jogging                                    ,0.9854561480828559,0.9850220264317181,0.9858906525573192,4536.0
Running                                    ,0.9895552165238822,0.9887429643527205,0.9903688043222927,4257.0
Jump up                                    ,0.9009620826259196,0.8953880764904387,0.9066059225512528,878.0
Jump front and back                        ,0.9514116874589627,0.9570673712021136,0.945822454308094 ,1532.0
Jump sideways                              ,0.9590190383994838,0.9605688429217841,0.9574742268041238,1552.0
Jump leg/arms open/closed                  ,0.9589285714285715,0.9623655913978495,0.9555160142348754,1686.0
Jump rope                                  ,0.8952908587257616,0.8947951273532669,0.8957871396895787,902.0
Trunk twist (arms outstretched)            ,0.9792117079660735,0.9783981389165836,0.9800266311584553,3004.0
Trunk twist (elbows bent)                  ,0.9739821251241312,0.972244250594766 ,0.9757262236370872,2513.0
Waist bends forward                        ,0.9805220101285548,0.9816692667706708,0.9793774319066147,2570.0
Waist rotation                             ,0.9699510831586304,0.9697251979506288,0.9701770736253494,2146.0
Waist bends (reach foot with opposite hand),0.9819857561793045,0.9828092243186582,0.981163666806195 ,2389.0
Reach heels backwards                      ,0.9655524368461342,0.96579887697805  ,0.9653061224489796,1960.0
Lateral bend                               ,0.9478357380688124,0.9467849223946785,0.9488888888888889,1800.0
Lateral bend with arm up                   ,0.9418669647847959,0.9455667789001122,0.938195991091314 ,1796.0
Repetitive forward stretching              ,0.9597166888003541,0.9601417183348095,0.95929203539823  ,1130.0
Upper trunk and lower body opposite twist  ,0.9464701318851824,0.9561128526645768,0.9370199692780338,1302.0
Lateral elevation of arms                  ,0.9618874773139747,0.9659781287970839,0.9578313253012049,1660.0
Frontal elevation of arms                  ,0.9618885096700796,0.9624359704040979,0.9613416714042069,1759.0
Frontal hand claps                         ,0.9608323133414931,0.9573170731707317,0.9643734643734644,1628.0
Frontal crossing of arms                   ,0.9605405405405405,0.9621007038440714,0.958985429033999 ,1853.0
Shoulders high-amplitude rotation          ,0.9503184713375797,0.9551856594110115,0.9455006337135615,1578.0
Shoulders low-amplitude rotation           ,0.9291866028708133,0.9230038022813688,0.9354527938342967,1038.0
Arms inner rotation                        ,0.9500967117988396,0.9438893159108378,0.956386292834891 ,1284.0
Knees (alternating) to the breast          ,0.8878504672897195,0.9004739336492891,0.8755760368663594,651.0
Heels (alternatively) to the backside      ,0.9089584850691915,0.9082969432314411,0.9096209912536443,686.0
Knees bending (crouching)                  ,0.9688750555802579,0.9675843694493783,0.9701691896705253,2246.0
Knees (alternating) bending forward        ,0.9693707072582142,0.9695506869662087,0.9691907943578322,2694.0
Rotation on the knees                      ,0.9648584100989422,0.9638718473074301,0.9658469945355191,1464.0
Rowing                                     ,0.9864412748723368,0.9887045534768797,0.9841883345045678,2846.0
Elliptical bike                            ,0.9834457388105456,0.981640146878825 ,0.9852579852579852,4070.0
Cycling                                    ,0.9929315921888104,0.9935267321985135,0.9923371647509579,4176.0
accuracy                                   ,0.9842416997228712,0.9842416997228712,0.9842416997228712,0.9842416997228712
macro avg                                  ,0.9587590908143213,0.9593341504971754,0.9582153797503108,257642.0
weighted avg                               ,0.9842370052668253,0.984237280743854 ,0.9842416997228712,257642.0
