                                           ,f1-score           ,precision          ,recall             ,support
No activity                                ,0.6166569786692371 ,0.9867194122633512 ,0.44846370359271825,186878.0
Walking                                    ,0.40042513617643155,0.26594117647058824,0.8100698799498298 ,5581.0
Jogging                                    ,0.5617740232312567 ,0.4975344329195715 ,0.6450617283950617 ,4536.0
Running                                    ,0.700835899692037  ,0.6589451913133402 ,0.7484143763213531 ,4257.0
Jump up                                    ,0.23938223938223938,0.2320855614973262 ,0.24715261958997722,878.0
Jump front and back                        ,0.3477961432506887 ,0.3680758017492711 ,0.32963446475195823,1532.0
Jump sideways                              ,0.17109714838086032,0.34235976789168276,0.11404639175257732,1552.0
Jump leg/arms open/closed                  ,0.6979768786127167 ,0.8927911275415896 ,0.5729537366548043 ,1686.0
Jump rope                                  ,0.5871559633027523 ,0.6080760095011877 ,0.5676274944567627 ,902.0
Trunk twist (arms outstretched)            ,0.5414923291492328 ,0.5684480234260615 ,0.5169773635153129 ,3004.0
Trunk twist (elbows bent)                  ,0.22785651018600528,0.13233875635007394,0.8189415041782729 ,2513.0
Waist bends forward                        ,0.19877909194963758,0.19498502994011976,0.2027237354085603 ,2570.0
Waist rotation                             ,0.345696666368755  ,0.2138670795090125 ,0.9012115563839702 ,2146.0
Waist bends (reach foot with opposite hand),0.8142702702702703 ,0.842128801431127  ,0.7881958978652156 ,2389.0
Reach heels backwards                      ,0.5833838690115221 ,0.4830934047539337 ,0.7362244897959184 ,1960.0
Lateral bend                               ,0.08569762922658374,0.04480796586059744,0.98               ,1800.0
Lateral bend with arm up                   ,0.28640268175151895,0.17638709677419354,0.7611358574610245 ,1796.0
Repetitive forward stretching              ,0.5198412698412698 ,0.3824020016680567 ,0.8115044247787611 ,1130.0
Upper trunk and lower body opposite twist  ,0.2814627994955864 ,0.2095381149079985 ,0.42857142857142855,1302.0
Lateral elevation of arms                  ,0.34113946172666904,0.4063280599500416 ,0.29397590361445786,1660.0
Frontal elevation of arms                  ,0.20346689400397838,0.13563174843720402,0.4070494599204093 ,1759.0
Frontal hand claps                         ,0.46715776550030697,0.4668711656441718 ,0.46744471744471744,1628.0
Frontal crossing of arms                   ,0.5392947683798109 ,0.47063555913113436,0.6314085267134377 ,1853.0
Shoulders high-amplitude rotation          ,0.3619613670133729 ,0.3407946278679351 ,0.38593155893536124,1578.0
Shoulders low-amplitude rotation           ,0.2674680691209617 ,0.21921182266009853,0.34296724470134876,1038.0
Arms inner rotation                        ,0.30357739886325646,0.19327373350361857,0.7071651090342679 ,1284.0
Knees (alternating) to the breast          ,0.5418502202643172 ,0.5189873417721519 ,0.5668202764976958 ,651.0
Heels (alternatively) to the backside      ,0.45970795024337485,0.3654342218400688 ,0.619533527696793  ,686.0
Knees bending (crouching)                  ,0.5192031217909221 ,0.48189096454441477,0.5627782724844167 ,2246.0
Knees (alternating) bending forward        ,0.2615047479912344 ,0.19456521739130433,0.3986636971046771 ,2694.0
Rotation on the knees                      ,0.6288543776727437 ,0.46894931184961397,0.9542349726775956 ,1464.0
Rowing                                     ,0.3819130434782609 ,0.23809523809523808,0.9645115952213633 ,2846.0
Elliptical bike                            ,0.6916901261599416 ,0.6007969570729941 ,0.8149877149877149 ,4070.0
Cycling                                    ,0.8405997693194925 ,0.8108589230084557 ,0.8726053639846744 ,4176.0
accuracy                                   ,0.5040167412660582 ,0.5040167412660582 ,0.5040167412660582 ,0.5040167412660582
macro avg                                  ,0.4416874296905073 ,0.41214263672169205,0.6005584880718364 ,258045.0
weighted avg                               ,0.5761734643922737 ,0.8304973643239296 ,0.5040167412660582 ,258045.0
