                                           ,f1-score          ,precision          ,recall             ,support
No activity                                ,0.9481796439011427,0.9487469254802898 ,0.9476130403027687 ,30122.0
Walking                                    ,0.7196056955093099,0.7079741379310345 ,0.7316258351893096 ,898.0
Jogging                                    ,0.7972972972972974,0.787716955941255  ,0.8071135430916553 ,731.0
Running                                    ,0.9080206033848418,0.9181547619047619 ,0.8981077147016011 ,687.0
Jump up                                    ,0.3623693379790941,0.3561643835616438 ,0.36879432624113473,141.0
Jump front and back                        ,0.4223107569721115,0.41732283464566927,0.4274193548387097 ,248.0
Jump sideways                              ,0.464             ,0.464              ,0.464              ,250.0
Jump leg/arms open/closed                  ,0.7999999999999999,0.7971014492753623 ,0.8029197080291971 ,274.0
Jump rope                                  ,0.5401459854014599,0.5736434108527132 ,0.5103448275862069 ,145.0
Trunk twist (arms outstretched)            ,0.8946280991735537,0.8927835051546392 ,0.8964803312629399 ,483.0
Trunk twist (elbows bent)                  ,0.857849196538937 ,0.8589108910891089 ,0.8567901234567902 ,405.0
Waist bends forward                        ,0.8519417475728155,0.8560975609756097 ,0.8478260869565217 ,414.0
Waist rotation                             ,0.8542857142857143,0.844632768361582  ,0.8641618497109826 ,346.0
Waist bends (reach foot with opposite hand),0.8941798941798942,0.9086021505376344 ,0.8802083333333334 ,384.0
Reach heels backwards                      ,0.863849765258216 ,0.8466257668711656 ,0.8817891373801917 ,313.0
Lateral bend                               ,0.795221843003413 ,0.7871621621621622 ,0.803448275862069  ,290.0
Lateral bend with arm up                   ,0.8145580589254766,0.8245614035087719 ,0.8047945205479452 ,292.0
Repetitive forward stretching              ,0.8338028169014085,0.8457142857142858 ,0.8222222222222222 ,180.0
Upper trunk and lower body opposite twist  ,0.5677083333333334,0.630057803468208  ,0.5165876777251185 ,211.0
Lateral elevation of arms                  ,0.8299065420560748,0.8345864661654135 ,0.8252788104089219 ,269.0
Frontal elevation of arms                  ,0.8345070422535211,0.8345070422535211 ,0.8345070422535211 ,284.0
Frontal hand claps                         ,0.8083491461100569,0.8007518796992481 ,0.8160919540229885 ,261.0
Frontal crossing of arms                   ,0.823529411764706 ,0.8249158249158249 ,0.8221476510067114 ,298.0
Shoulders high-amplitude rotation          ,0.7606679035250465,0.7192982456140351 ,0.8070866141732284 ,254.0
Shoulders low-amplitude rotation           ,0.6873239436619718,0.6559139784946236 ,0.7218934911242604 ,169.0
Arms inner rotation                        ,0.8298368298368298,0.8018018018018018 ,0.8599033816425121 ,207.0
Knees (alternating) to the breast          ,0.443298969072165 ,0.4725274725274725 ,0.4174757281553398 ,103.0
Heels (alternatively) to the backside      ,0.5741626794258374,0.6                ,0.5504587155963303 ,109.0
Knees bending (crouching)                  ,0.8415300546448088,0.8346883468834688 ,0.8484848484848485 ,363.0
Knees (alternating) bending forward        ,0.7885057471264368,0.7958236658932715 ,0.7813211845102506 ,439.0
Rotation on the knees                      ,0.8432203389830509,0.8504273504273504 ,0.8361344537815126 ,238.0
Rowing                                     ,0.8995633187772926,0.8976034858387799 ,0.9015317286652079 ,457.0
Elliptical bike                            ,0.8401826484018264,0.8414634146341463 ,0.8389057750759878 ,658.0
Cycling                                    ,0.9460458240946046,0.9411764705882353 ,0.950965824665676  ,673.0
accuracy                                   ,0.9069141263583037,0.9069141263583037 ,0.9069141263583037 ,0.9069141263583037
macro avg                                  ,0.7629583879221249,0.7638664295050909 ,0.7630715915295881 ,41596.0
weighted avg                               ,0.9068692064881066,0.9070017547410345 ,0.9069141263583037 ,41596.0
