Unnamed: 0                         ,f1-score           ,precision          ,recall              ,support
Noise                              ,0.8210040633425741 ,0.826686295503212  ,0.8153994116315909  ,53028.0
Band Pull-Down Row                 ,0.4728260869565217 ,0.4715447154471545 ,0.4741144414168938  ,367.0
Bicep Curl                         ,0.4476495726495727 ,0.4438559322033898 ,0.4515086206896552  ,928.0
Box Jump (on bench)                ,0.03508771929824562,0.03333333333333333,0.037037037037037035,54.0
Burpee                             ,0.11917808219178085,0.11725067385444746,0.1211699164345404  ,718.0
Butterfly sit-up                   ,0.4970909937165465 ,0.4901330885727398 ,0.5042492917847026  ,2118.0
Chest Press                        ,0.6146572104018914 ,0.6004618937644342 ,0.6295399515738499  ,413.0
Crunch                             ,0.4882780921584479 ,0.4793650793650794 ,0.4975288303130148  ,607.0
Dip                                ,0.3775185577942736 ,0.3755274261603376 ,0.3795309168443497  ,469.0
Dumbbell Deadlift Row              ,0.2672645739910314 ,0.26559714795008915,0.2689530685920577  ,554.0
Dumbbell Row (both)                ,0.2737003058103976 ,0.2655786350148368 ,0.2823343848580442  ,634.0
Dumbbell Row (right)               ,0.08996539792387544,0.08387096774193549,0.09701492537313433 ,134.0
Dumbbell Squat (hands at side)     ,0.4697452229299363 ,0.4595015576323988 ,0.4804560260586319  ,614.0
Elliptical machine                 ,0.6945606694560671 ,0.6906510034263338 ,0.6985148514851485  ,2020.0
Punches                            ,0.3825503355704698 ,0.4004683840749415 ,0.36616702355460384 ,467.0
Jump Rope                          ,0.6914027149321266 ,0.7113594040968343 ,0.6725352112676056  ,1136.0
Jumping Jacks                      ,0.5596330275229359 ,0.580952380952381  ,0.5398230088495575  ,226.0
Kettlebell Swing                   ,0.39955357142857145,0.3891304347826087 ,0.4105504587155963  ,436.0
Lateral Raise                      ,0.2556053811659193 ,0.2472885032537961 ,0.26450116009280744 ,431.0
Lawnmower (both)                   ,0.2857142857142857 ,0.3235294117647059 ,0.2558139534883721  ,43.0
Lawnmower (right)                  ,0.19076005961251866,0.18604651162790695,0.1957186544342508  ,327.0
Lunge (both legs)                  ,0.3112980769230769 ,0.3047058823529412 ,0.3181818181818182  ,814.0
Ball Slam                          ,0.1707035755478662 ,0.17249417249417248,0.1689497716894977  ,438.0
Triceps Extension (standing - both),0.6295652173913043 ,0.6284722222222222 ,0.6306620209059234  ,574.0
Plank                              ,0.7865835559513209 ,0.7744009351256576 ,0.7991556091676719  ,1658.0
Power Boat pose                    ,0.5869565217391305 ,0.5510204081632653 ,0.627906976744186   ,344.0
Pushups                            ,0.25               ,0.2464             ,0.2537067545304777  ,607.0
Rowing machine                     ,0.7192848020434227 ,0.7089627391742196 ,0.7299118714359772  ,1929.0
Running                            ,0.7482564679415072 ,0.7467444993264482 ,0.7497745716862038  ,2218.0
Russian Twist                      ,0.26765188834154346,0.2707641196013289 ,0.26461038961038963 ,616.0
Seated Back Fly                    ,0.2385516506922257 ,0.2318840579710145 ,0.2456140350877193  ,456.0
Shoulder Press                     ,0.5731832139201637 ,0.5845511482254697 ,0.5622489959839357  ,498.0
Squat                              ,0.4573898012100259 ,0.4519986334130509 ,0.4629111266620014  ,2858.0
Triceps Kickback                   ,0.4096534653465347 ,0.4081381011097411 ,0.4111801242236025  ,805.0
Triceps extension (lying)          ,0.5327783558792925 ,0.5245901639344263 ,0.5412262156448203  ,473.0
Dumbbell Curl                      ,0.5051546391752578 ,0.49               ,0.5212765957446809  ,658.0
V-up                               ,0.5596899224806201 ,0.5503048780487805 ,0.5694006309148265  ,634.0
Walk                               ,0.7564085710529774 ,0.7468847352024922 ,0.7661784287616511  ,3755.0
Walking lunge                      ,0.3613655287260616 ,0.3622704507512521 ,0.36046511627906974 ,602.0
Wall Ball                          ,0.24390243902439024,0.2476780185758514 ,0.24024024024024024 ,333.0
Wall Squat                         ,0.4722222222222222 ,0.4555420219244824 ,0.490170380078637   ,763.0
accuracy                           ,0.7074818170291735 ,0.7074818170291735 ,0.7074818170291735  ,0.7074818170291735
macro avg                          ,0.4393742887848032 ,0.4365839016619443 ,0.4428349467821653  ,86757.0
weighted avg                       ,0.7088375976547526 ,0.7103803949661686 ,0.7074818170291735  ,86757.0
