Unnamed: 0                         ,f1-score            ,precision           ,recall              ,support
Noise                              ,0.8182032781501134  ,0.8244735862325735  ,0.8120276244219448  ,49087.0
Band Pull-Down Row                 ,0.4560357675111774  ,0.4636363636363636  ,0.4486803519061584  ,341.0
Bicep Curl                         ,0.4018529241459178  ,0.3974799541809851  ,0.4063231850117096  ,854.0
Box Jump (on bench)                ,0.05607476635514018 ,0.05263157894736842 ,0.06                ,50.0
Burpee                             ,0.11860637509266125 ,0.11695906432748535 ,0.12030075187969926 ,665.0
Butterfly sit-up                   ,0.5003806140573459  ,0.4992405063291139  ,0.5015259409969481  ,1966.0
Chest Press                        ,0.6151866151866152  ,0.6050632911392405  ,0.6256544502617801  ,382.0
Crunch                             ,0.5013192612137203  ,0.4947916666666667  ,0.5080213903743316  ,561.0
Dip                                ,0.3710208562019759  ,0.3550420168067227  ,0.3885057471264368  ,435.0
Dumbbell Deadlift Row              ,0.28380952380952384 ,0.27902621722846443 ,0.28875968992248063 ,516.0
Dumbbell Row (both)                ,0.24938067712634185 ,0.2431561996779388  ,0.2559322033898305  ,590.0
Dumbbell Row (right)               ,0.054901960784313725,0.051094890510948905,0.059322033898305086,118.0
Dumbbell Squat (hands at side)     ,0.4628378378378378  ,0.4484451718494272  ,0.4781849912739965  ,573.0
Elliptical machine                 ,0.6927582534611291  ,0.6912858660998937  ,0.6942369263607258  ,1874.0
Punches                            ,0.4607843137254902  ,0.4895833333333333  ,0.4351851851851852  ,432.0
Jump Rope                          ,0.7056074766355139  ,0.6926605504587156  ,0.7190476190476189  ,1050.0
Jumping Jacks                      ,0.582089552238806   ,0.5939086294416244  ,0.5707317073170731  ,205.0
Kettlebell Swing                   ,0.4069478908188586  ,0.40694789081885857 ,0.40694789081885857 ,403.0
Lateral Raise                      ,0.2481927710843373  ,0.23953488372093024 ,0.2575              ,400.0
Lawnmower (both)                   ,0.13636363636363635 ,0.1276595744680851  ,0.14634146341463414 ,41.0
Lawnmower (right)                  ,0.16250000000000006 ,0.1543026706231454  ,0.1716171617161716  ,303.0
Lunge (both legs)                  ,0.3008021390374332  ,0.3032345013477089  ,0.2984084880636605  ,754.0
Ball Slam                          ,0.15312131919905775 ,0.14508928571428573 ,0.16209476309226933 ,401.0
Triceps Extension (standing - both),0.6265060240963856  ,0.6134301270417423  ,0.6401515151515151  ,528.0
Plank                              ,0.7716284987277353  ,0.7571785268414482  ,0.7866407263294423  ,1542.0
Power Boat pose                    ,0.5555555555555556  ,0.5487804878048781  ,0.5625              ,320.0
Pushups                            ,0.2406417112299465  ,0.23767605633802816 ,0.2436823104693141  ,554.0
Rowing machine                     ,0.7414607053596223  ,0.7343234323432343  ,0.7487380818844643  ,1783.0
Running                            ,0.7545877171519452  ,0.7584849975405804  ,0.750730282375852   ,2054.0
Russian Twist                      ,0.2445414847161572  ,0.24305555555555555 ,0.2460456942003515  ,569.0
Seated Back Fly                    ,0.23429951690821255 ,0.2389162561576355  ,0.2298578199052133  ,422.0
Shoulder Press                     ,0.5315904139433552  ,0.5362637362637362  ,0.5269978401727862  ,463.0
Squat                              ,0.4510910458991722  ,0.4488955447397978  ,0.4533081285444234  ,2645.0
Triceps Kickback                   ,0.4351297405189621  ,0.4308300395256917  ,0.4395161290322581  ,744.0
Triceps extension (lying)          ,0.5252747252747253  ,0.5085106382978724  ,0.5431818181818182  ,440.0
Dumbbell Curl                      ,0.495589414595028   ,0.4912559618441971  ,0.5                 ,618.0
V-up                               ,0.5677530017152659  ,0.5619694397283531  ,0.5736568457538995  ,577.0
Walk                               ,0.7549047483650839  ,0.7462057335581788  ,0.7638089758342923  ,3476.0
Walking lunge                      ,0.3869346733668341  ,0.36666666666666653 ,0.4095744680851064  ,564.0
Wall Ball                          ,0.19607843137254904 ,0.19801980198019806 ,0.1941747572815534  ,309.0
Wall Squat                         ,0.4605087014725569  ,0.43489254108723135 ,0.4893314366998578  ,703.0
accuracy                           ,0.7047265663910748  ,0.7047265663910748  ,0.7047265663910748  ,0.7047265663910748
macro avg                          ,0.4320208273245375  ,0.42757568870426604 ,0.4370060096434626  ,80312.0
weighted avg                       ,0.7063735855453375  ,0.708225315822097   ,0.7047265663910748  ,80312.0
