Unnamed: 0                         ,f1-score            ,precision           ,recall             ,support
Noise                              ,0.8128876447664527  ,0.8189861751152073  ,0.8068792677611507 ,27532.0
Band Pull-Down Row                 ,0.5078534031413612  ,0.5105263157894737  ,0.5052083333333334 ,192.0
Bicep Curl                         ,0.4140786749482401  ,0.4106776180698152  ,0.4175365344467641 ,479.0
Box Jump (on bench)                ,0.03225806451612904 ,0.029411764705882356,0.03571428571428571,28.0
Burpee                             ,0.11812080536912753 ,0.11827956989247312 ,0.11796246648793565,373.0
Butterfly sit-up                   ,0.4534986713906112  ,0.4417601380500432  ,0.4658780709736124 ,1099.0
Chest Press                        ,0.6281755196304849  ,0.6210045662100456  ,0.6355140186915887 ,214.0
Crunch                             ,0.4474885844748858  ,0.4298245614035088  ,0.4666666666666667 ,315.0
Dip                                ,0.3442940038684719  ,0.32600732600732596 ,0.36475409836065575,244.0
Dumbbell Deadlift Row              ,0.29225352112676056 ,0.2985611510791367  ,0.2862068965517241 ,290.0
Dumbbell Row (both)                ,0.2199108469539376  ,0.21574344023323616 ,0.22424242424242424,330.0
Dumbbell Row (right)               ,0.052980132450331126,0.04819277108433735 ,0.05882352941176471,68.0
Dumbbell Squat (hands at side)     ,0.39109697933227344 ,0.3954983922829582  ,0.3867924528301887 ,318.0
Elliptical machine                 ,0.7463112803426941  ,0.7438330170777988  ,0.7488061127029608 ,1047.0
Punches                            ,0.4434389140271493  ,0.49                ,0.4049586776859504 ,242.0
Jump Rope                          ,0.7395659432387313  ,0.7346600331674958  ,0.7445378151260504 ,595.0
Jumping Jacks                      ,0.463768115942029   ,0.5106382978723404  ,0.4247787610619469 ,113.0
Kettlebell Swing                   ,0.3422222222222222  ,0.34375             ,0.3407079646017699 ,226.0
Lateral Raise                      ,0.180293501048218   ,0.17131474103585656 ,0.1902654867256637 ,226.0
Lawnmower (both)                   ,0.13333333333333333 ,0.10810810810810813 ,0.17391304347826084,23.0
Lawnmower (right)                  ,0.09009009009009007 ,0.09316770186335403 ,0.0872093023255814 ,172.0
Lunge (both legs)                  ,0.3904109589041096  ,0.3758241758241758  ,0.4061757719714965 ,421.0
Ball Slam                          ,0.16279069767441862 ,0.1724137931034483  ,0.15418502202643172,227.0
Triceps Extension (standing - both),0.5855263157894737  ,0.5705128205128205  ,0.6013513513513513 ,296.0
Plank                              ,0.6838565022421524  ,0.6637649619151251  ,0.7052023121387283 ,865.0
Power Boat pose                    ,0.507936507936508   ,0.4848484848484849  ,0.5333333333333333 ,180.0
Pushups                            ,0.21800947867298576 ,0.21630094043887144 ,0.2197452229299363 ,314.0
Rowing machine                     ,0.7542288557213931  ,0.7504950495049505  ,0.758              ,1000.0
Running                            ,0.7587397496763056  ,0.7558039552880481  ,0.7616984402079723 ,1154.0
Russian Twist                      ,0.3058103975535168  ,0.2976190476190476  ,0.31446540880503143,318.0
Seated Back Fly                    ,0.23265306122448975 ,0.228               ,0.2375             ,240.0
Shoulder Press                     ,0.5447619047619047  ,0.5238095238095238  ,0.5674603174603174 ,252.0
Squat                              ,0.4631437226523056  ,0.4636118598382749  ,0.4626765299260256 ,1487.0
Triceps Kickback                   ,0.3438914027149321  ,0.3247863247863248  ,0.36538461538461536,416.0
Triceps extension (lying)          ,0.4978902953586498  ,0.5175438596491229  ,0.4796747967479675 ,246.0
Dumbbell Curl                      ,0.4322766570605187  ,0.4310344827586207  ,0.4335260115606937 ,346.0
V-up                               ,0.5645933014354068  ,0.5860927152317881  ,0.5446153846153846 ,325.0
Walk                               ,0.7888182973316391  ,0.7802916038210156  ,0.7975334018499486 ,1946.0
Walking lunge                      ,0.3993855606758832  ,0.3869047619047619  ,0.4126984126984127 ,315.0
Wall Ball                          ,0.19553072625698328 ,0.1933701657458564  ,0.1977401129943503 ,177.0
Wall Squat                         ,0.4014510278113664  ,0.3842592592592592  ,0.4202531645569621 ,395.0
accuracy                           ,0.6993073746836567  ,0.6993073746836567  ,0.6993073746836567 ,0.6993073746836567
macro avg                          ,0.41672257740654817 ,0.4138349628026322  ,0.4209896541399814 ,45046.0
weighted avg                       ,0.7008319584639695  ,0.7026744845152654  ,0.6993073746836567 ,45046.0
