Unnamed: 0                         ,f1-score             ,precision           ,recall               ,support
Noise                              ,0.7715446307676284   ,0.6832822934730473  ,0.8859917711223806   ,62706.0
Band Pull-Down Row                 ,0.07086614173228348  ,0.08307692307692308 ,0.06178489702517163  ,437.0
Bicep Curl                         ,0.09081196581196582  ,0.10855683269476372 ,0.0780532598714417   ,1089.0
Box Jump (on bench)                ,0.0                  ,0.0                 ,0.0                  ,63.0
Burpee                             ,0.015588464536243178 ,0.023148148148148147,0.011750881316098707 ,851.0
Butterfly sit-up                   ,0.13401809733431155  ,0.17308907138344914 ,0.10933758978451716  ,2506.0
Chest Press                        ,0.3225130890052356   ,0.33047210300429186 ,0.3149284253578732   ,489.0
Crunch                             ,0.1633428300094967   ,0.25443786982248523 ,0.12027972027972028  ,715.0
Dip                                ,0.10089686098654707  ,0.13392857142857142 ,0.08093525179856115  ,556.0
Dumbbell Deadlift Row              ,0.08484848484848484  ,0.09819639278557114 ,0.07469512195121951  ,656.0
Dumbbell Row (both)                ,0.1216216216216216   ,0.16705336426914152 ,0.09561752988047807  ,753.0
Dumbbell Row (right)               ,0.0                  ,0.0                 ,0.0                  ,156.0
Dumbbell Squat (hands at side)     ,0.15579710144927536  ,0.22872340425531915 ,0.11813186813186813  ,728.0
Elliptical machine                 ,0.3264067242586972   ,0.3686708860759494  ,0.2928361960620025   ,2387.0
Punches                            ,0.01188707280832095  ,0.03333333333333333 ,0.007233273056057866 ,553.0
Jump Rope                          ,0.285849503076195    ,0.3932291666666667  ,0.2245353159851301   ,1345.0
Jumping Jacks                      ,0.013651877133105802 ,0.0625              ,0.007662835249042145 ,261.0
Kettlebell Swing                   ,0.05029585798816568  ,0.10303030303030304 ,0.033268101761252444 ,511.0
Lateral Raise                      ,0.006369426751592357 ,0.017241379310344827,0.00390625           ,512.0
Lawnmower (both)                   ,0.03225806451612903  ,0.1                 ,0.019230769230769232 ,52.0
Lawnmower (right)                  ,0.0                  ,0.0                 ,0.0                  ,389.0
Lunge (both legs)                  ,0.07714701601164482  ,0.13054187192118227 ,0.054752066115702484 ,968.0
Ball Slam                          ,0.0067226890756302525,0.024390243902439025,0.0038986354775828462,513.0
Triceps Extension (standing - both),0.21948717948717952  ,0.3554817275747508  ,0.15875370919881307  ,674.0
Plank                              ,0.7816337426588362   ,0.8257191201353637  ,0.7420172326406488   ,1973.0
Power Boat pose                    ,0.5195936139332367   ,0.6325088339222615  ,0.4408866995073892   ,406.0
Pushups                            ,0.020524515393386542 ,0.05357142857142857 ,0.012693935119887164 ,709.0
Rowing machine                     ,0.2852367688022284   ,0.3890577507598784  ,0.22515391380826735  ,2274.0
Running                            ,0.13031674208144794  ,0.314410480349345   ,0.0821917808219178   ,2628.0
Russian Twist                      ,0.044548651817116064 ,0.1532258064516129  ,0.026063100137174208 ,729.0
Seated Back Fly                    ,0.016556291390728475 ,0.078125            ,0.009259259259259259 ,540.0
Shoulder Press                     ,0.22685185185185186  ,0.3563636363636364  ,0.16638370118845497  ,589.0
Squat                              ,0.21012171684817424  ,0.3773006134969325  ,0.14560520864160995  ,3379.0
Triceps Kickback                   ,0.06926406926406925  ,0.1932367149758454  ,0.04219409282700422  ,948.0
Triceps extension (lying)          ,0.21476510067114093  ,0.4301075268817205  ,0.14311270125223613  ,559.0
Dumbbell Curl                      ,0.031880977683315624 ,0.09433962264150944 ,0.01918158567774936  ,782.0
V-up                               ,0.04716981132075471  ,0.19047619047619047 ,0.026917900403768503 ,743.0
Walk                               ,0.5777777777777777   ,0.6012658227848101  ,0.5560558307068888   ,4442.0
Walking lunge                      ,0.10597302504816956  ,0.1697530864197531  ,0.07703081232492998  ,714.0
Wall Ball                          ,0.014251781472684088 ,0.13043478260869565 ,0.007537688442211055 ,398.0
Wall Squat                         ,0.4148148148148148   ,0.5310344827586206  ,0.3403314917127072   ,905.0
accuracy                           ,0.6201407572035715   ,0.6201407572035715  ,0.6201407572035715   ,0.6201407572035715
macro avg                          ,0.1652001451716948   ,0.22910523867693375 ,0.14195610739336065  ,102588.0
weighted avg                       ,0.5633591185501332   ,0.5395800088655153  ,0.6201407572035715   ,102588.0
