Unnamed: 0                         ,f1-score            ,precision           ,recall              ,support
Noise                              ,0.7778558274637859  ,0.6896830339858939  ,0.8918783604344892  ,45939.0
Band Pull-Down Row                 ,0.09074410163339383 ,0.10822510822510822 ,0.078125            ,320.0
Bicep Curl                         ,0.09707241910631742 ,0.1254980079681275  ,0.07914572864321608 ,796.0
Box Jump (on bench)                ,0.0                 ,0.0                 ,0.0                 ,48.0
Burpee                             ,0.04298874104401229 ,0.05882352941176471 ,0.03387096774193549 ,620.0
Butterfly sit-up                   ,0.1094391244870041  ,0.14719411223551054 ,0.08709853021230267 ,1837.0
Chest Press                        ,0.3427762039660057  ,0.3467048710601719  ,0.3389355742296919  ,357.0
Crunch                             ,0.2105263157894737  ,0.2935153583617747  ,0.16412213740458015 ,524.0
Dip                                ,0.10746268656716418 ,0.13636363636363635 ,0.08866995073891626 ,406.0
Dumbbell Deadlift Row              ,0.0845771144278607  ,0.10493827160493828 ,0.07083333333333333 ,480.0
Dumbbell Row (both)                ,0.1206703910614525  ,0.15835777126099707 ,0.09747292418772564 ,554.0
Dumbbell Row (right)               ,0.012658227848101266,0.02127659574468085 ,0.009009009009009007,111.0
Dumbbell Squat (hands at side)     ,0.14356435643564358 ,0.2109090909090909  ,0.10881801125703564 ,533.0
Elliptical machine                 ,0.3447393668052447  ,0.39086294416243655 ,0.3083524027459954  ,1748.0
Punches                            ,0.024193548387096774,0.06976744186046513 ,0.014634146341463415,410.0
Jump Rope                          ,0.3809523809523809  ,0.4959216965742251  ,0.30925737538148523 ,983.0
Jumping Jacks                      ,0.018779342723004692,0.10526315789473684 ,0.010309278350515464,194.0
Kettlebell Swing                   ,0.04158004158004158 ,0.0925925925925926  ,0.02680965147453083 ,373.0
Lateral Raise                      ,0.004329004329004329,0.011764705882352941,0.002652519893899204,377.0
Lawnmower (both)                   ,0.0                 ,0.0                 ,0.0                 ,38.0
Lawnmower (right)                  ,0.0                 ,0.0                 ,0.0                 ,283.0
Lunge (both legs)                  ,0.06138613861386138 ,0.10197368421052633 ,0.04390934844192634 ,706.0
Ball Slam                          ,0.02708803611738149 ,0.0967741935483871  ,0.015748031496062992,381.0
Triceps Extension (standing - both),0.16877637130801687 ,0.2803738317757009  ,0.12072434607645875 ,497.0
Plank                              ,0.7676183592338273  ,0.8033282904689864  ,0.7349480968858132  ,1445.0
Power Boat pose                    ,0.5493230174081237  ,0.6513761467889908  ,0.4749163879598662  ,299.0
Pushups                            ,0.040625            ,0.10743801652892562 ,0.02504816955684008 ,519.0
Rowing machine                     ,0.3356903609973949  ,0.4404296875        ,0.2711966325917017  ,1663.0
Running                            ,0.20810166799046864 ,0.44107744107744107 ,0.13617463617463618 ,1924.0
Russian Twist                      ,0.05475040257648953 ,0.2                 ,0.03171641791044776 ,536.0
Seated Back Fly                    ,0.027088036117381486,0.13636363636363635 ,0.015037593984962403,399.0
Shoulder Press                     ,0.2874806800618238  ,0.4305555555555556  ,0.21577726218097448 ,431.0
Squat                              ,0.2281567489114659  ,0.4026639344262295  ,0.1591737545565006  ,2469.0
Triceps Kickback                   ,0.05482717520858165 ,0.1619718309859155  ,0.032998565279770437,697.0
Triceps extension (lying)          ,0.1046277665995976  ,0.3058823529411765  ,0.06310679611650485 ,412.0
Dumbbell Curl                      ,0.025423728813559324,0.06766917293233082 ,0.015652173913043483,575.0
V-up                               ,0.05633802816901407 ,0.1956521739130435  ,0.032906764168190134,547.0
Walk                               ,0.6274447447924948  ,0.6498682476943346  ,0.6065170611743006  ,3253.0
Walking lunge                      ,0.15025906735751296 ,0.23577235772357724 ,0.11026615969581748 ,526.0
Wall Ball                          ,0.02631578947368421 ,0.2857142857142857  ,0.013793103448275862,290.0
Wall Squat                         ,0.4000000000000001  ,0.5233415233415234  ,0.3237082066869301  ,658.0
accuracy                           ,0.6300460363500892  ,0.6300460363500892  ,0.6300460363500892  ,0.6300460363500892
macro avg                          ,0.17454220278921145 ,0.24599727535583105 ,0.15032474169949142 ,75158.0
weighted avg                       ,0.5744324743356286  ,0.5535185185498694  ,0.6300460363500892  ,75158.0
