Unnamed: 0                         ,f1-score             ,precision           ,recall               ,support
Noise                              ,0.5210500095016513   ,0.6327100821992989  ,0.4428893235078406   ,114532.0
Band Pull-Down Row                 ,0.0                  ,0.0                 ,0.0                  ,797.0
Bicep Curl                         ,0.1965678627145086   ,0.26011560693641617 ,0.1579739217652959   ,1994.0
Box Jump (on bench)                ,0.0                  ,0.0                 ,0.0                  ,117.0
Burpee                             ,0.035598705501618116 ,0.1064516129032258  ,0.021373056994818646 ,1544.0
Butterfly sit-up                   ,0.2871213529083813   ,0.24943493703584116 ,0.33822241681260945  ,4568.0
Chest Press                        ,0.4298130102712667   ,0.2809917355371901  ,0.9137737961926092   ,893.0
Crunch                             ,0.013726835964310229 ,0.06756756756756757 ,0.007639419404125288 ,1309.0
Dip                                ,0.23719376391982186  ,0.14605714285714286 ,0.6307996051332675   ,1013.0
Dumbbell Deadlift Row              ,0.17260981912144704  ,0.2265943012211669  ,0.13939899833055092  ,1198.0
Dumbbell Row (both)                ,0.031573754316724226 ,0.04930662557781202 ,0.02322206095791001  ,1378.0
Dumbbell Row (right)               ,0.0                  ,0.0                 ,0.0                  ,283.0
Dumbbell Squat (hands at side)     ,0.12414649286157667  ,0.0743052459503641  ,0.3770739064856712   ,1326.0
Elliptical machine                 ,0.3120153660098172   ,0.22629243628108556 ,0.5022904260192396   ,4366.0
Punches                            ,0.10309278350515463  ,0.9322033898305084  ,0.054563492063492064 ,1008.0
Jump Rope                          ,0.18195413758723827  ,0.2344251766217084  ,0.14867617107942974  ,2455.0
Jumping Jacks                      ,0.434                ,0.4213592233009709  ,0.4474226804123712   ,485.0
Kettlebell Swing                   ,0.2507026419336705   ,0.2648456057007126  ,0.2379935965848453   ,937.0
Lateral Raise                      ,0.07796917497733455  ,0.2606060606060606  ,0.04584221748400853  ,938.0
Lawnmower (both)                   ,0.0                  ,0.0                 ,0.0                  ,96.0
Lawnmower (right)                  ,0.0                  ,0.0                 ,0.0                  ,710.0
Lunge (both legs)                  ,0.19894990776216828  ,0.1325141776937618  ,0.3989755264655663   ,1757.0
Ball Slam                          ,0.01828761429758936  ,0.04230769230769231 ,0.01166489925768823  ,943.0
Triceps Extension (standing - both),0.5168678427731352   ,0.4187562688064193  ,0.6750202101859337   ,1237.0
Plank                              ,0.22020364808438944  ,0.12678194854491776 ,0.8368596881959911   ,3592.0
Power Boat pose                    ,0.1497839654344695   ,0.08226763348714568 ,0.8353413654618473   ,747.0
Pushups                            ,0.05451829723674383  ,0.053013798111837325,0.05611068408916218  ,1301.0
Rowing machine                     ,0.006186057577920532 ,0.2954545454545455  ,0.0031257513825438807,4159.0
Running                            ,0.222827011396496    ,0.6031307550644567  ,0.13665762570415188  ,4793.0
Russian Twist                      ,0.17650243638332433  ,0.3189823874755381  ,0.1220059880239521   ,1336.0
Seated Back Fly                    ,0.0                  ,0.0                 ,0.0                  ,983.0
Shoulder Press                     ,0.2587240042298202   ,0.2080498866213152  ,0.34203168685927304  ,1073.0
Squat                              ,0.0015787811809283233,0.03333333333333333 ,0.0008085381630012937,6184.0
Triceps Kickback                   ,0.1833810888252149   ,0.5393258426966292  ,0.11047180667433833  ,1738.0
Triceps extension (lying)          ,0.17915057915057914  ,0.4296296296296296  ,0.11317073170731708  ,1025.0
Dumbbell Curl                      ,0.2206840390879479   ,0.26620825147347743 ,0.18845618915159945  ,1438.0
V-up                               ,0.2468513853904282   ,0.3901273885350319  ,0.18054532056005893  ,1357.0
Walk                               ,0.483832651445163    ,0.3760771440295445  ,0.6781354051054383   ,8109.0
Walking lunge                      ,0.13840006800986146  ,0.0778798316111749  ,0.6209000762776506   ,1311.0
Wall Ball                          ,0.0                  ,0.0                 ,0.0                  ,719.0
Wall Squat                         ,0.0                  ,0.0                 ,0.0                  ,1646.0
accuracy                           ,0.381376237359588    ,0.381376237359588   ,0.381376237359588    ,0.381376237359588
macro avg                          ,0.1630698802283098   ,0.2152952991464274  ,0.2390106483535024   ,187395.0
weighted avg                       ,0.3937146757093349   ,0.4813720767587051  ,0.381376237359588    ,187395.0
