                                           ,f1-score            ,precision           ,recall             ,support
No activity                                ,0.2967683204369595  ,0.9902794653705954  ,0.17453688831780706,18678.0
Walking                                    ,0.2166326761840018  ,0.12396265560165975 ,0.8581687612208259 ,557.0
Jogging                                    ,0.4549699799866577  ,0.3263157894736842  ,0.751101321585903  ,454.0
Running                                    ,0.8235294117647057  ,0.8215962441314554  ,0.8254716981132075 ,424.0
Jump up                                    ,0.2647754137115839  ,0.16666666666666666 ,0.6436781609195402 ,87.0
Jump front and back                        ,0.2529644268774704  ,0.32                ,0.20915032679738563,153.0
Jump sideways                              ,0.054455445544554455,0.04365079365079365 ,0.07236842105263158,152.0
Jump leg/arms open/closed                  ,0.8232044198895029  ,0.7563451776649747  ,0.9030303030303031 ,165.0
Jump rope                                  ,0.23999999999999996 ,0.1422680412371134  ,0.7666666666666667 ,90.0
Trunk twist (arms outstretched)            ,0.5921325051759834  ,0.7771739130434783  ,0.4782608695652174 ,299.0
Trunk twist (elbows bent)                  ,0.3967242948134668  ,0.25737898465171194 ,0.8650793650793651 ,252.0
Waist bends forward                        ,0.6253602305475505  ,0.49770642201834864 ,0.8410852713178295 ,258.0
Waist rotation                             ,0.40118577075098816 ,0.2534332084893883  ,0.9620853080568721 ,211.0
Waist bends (reach foot with opposite hand),0.8983050847457626  ,0.902127659574468   ,0.8945147679324894 ,237.0
Reach heels backwards                      ,0.672566371681416   ,0.6031746031746031  ,0.76               ,200.0
Lateral bend                               ,0.20987654320987653 ,0.1179736294240111  ,0.9497206703910615 ,179.0
Lateral bend with arm up                   ,0.44201909959072305 ,0.29294755877034356 ,0.9                ,180.0
Repetitive forward stretching              ,0.7112676056338029  ,0.5838150289017341  ,0.9099099099099099 ,111.0
Upper trunk and lower body opposite twist  ,0.25820568927789933 ,0.1798780487804878  ,0.4573643410852713 ,129.0
Lateral elevation of arms                  ,0.5608856088560885  ,0.7238095238095238  ,0.4578313253012048 ,166.0
Frontal elevation of arms                  ,0.367601246105919   ,0.25213675213675213 ,0.6781609195402298 ,174.0
Frontal hand claps                         ,0.6951871657754011  ,0.6132075471698113  ,0.8024691358024691 ,162.0
Frontal crossing of arms                   ,0.5159914712153518  ,0.426056338028169   ,0.654054054054054  ,185.0
Shoulders high-amplitude rotation          ,0.5872093023255814  ,0.5459459459459459  ,0.6352201257861635 ,159.0
Shoulders low-amplitude rotation           ,0.17889908256880732 ,0.11746987951807229 ,0.375              ,104.0
Arms inner rotation                        ,0.4037037037037037  ,0.2645631067961165  ,0.8515625          ,128.0
Knees (alternating) to the breast          ,0.0437956204379562  ,0.024844720496894408,0.18461538461538463,65.0
Heels (alternatively) to the backside      ,0.6814814814814815  ,0.71875             ,0.647887323943662  ,71.0
Knees bending (crouching)                  ,0.5290322580645161  ,0.4151898734177215  ,0.7288888888888889 ,225.0
Knees (alternating) bending forward        ,0.611111111111111   ,0.47530864197530864 ,0.8555555555555555 ,270.0
Rotation on the knees                      ,0.6017699115044248  ,0.44299674267100975 ,0.9379310344827586 ,145.0
Rowing                                     ,0.30952380952380953 ,0.18309859154929578 ,1.0                ,286.0
Elliptical bike                            ,0.4914675767918089  ,0.34026465028355385 ,0.8845208845208845 ,407.0
Cycling                                    ,0.16851248642779587 ,0.09264565425023878 ,0.9304556354916067 ,417.0
accuracy                                   ,0.33747090768037236 ,0.33747090768037236 ,0.33747090768037236,0.33747090768037236
macro avg                                  ,0.45238573899166656 ,0.4056759370198215  ,0.7013631123242691 ,25780.0
weighted avg                               ,0.3435544680473675  ,0.8257675953161118  ,0.33747090768037236,25780.0
