Unnamed: 0                         ,f1-score             ,precision            ,recall               ,support
Noise                              ,0.013479076385744778 ,0.8668885191347754   ,0.006792344597413434 ,76704.0
Band Pull-Down Row                 ,0.010471204188481674 ,0.07894736842105263  ,0.005607476635514018 ,535.0
Bicep Curl                         ,0.002805049088359046 ,0.0026385224274406327,0.002994011976047905 ,1336.0
Box Jump (on bench)                ,0.0                  ,0.0                  ,0.0                  ,78.0
Burpee                             ,0.004940304652120214 ,0.0042949176807444535,0.005813953488372093 ,1032.0
Butterfly sit-up                   ,0.006633499170812604 ,0.007627118644067797 ,0.0058689272905119005,3067.0
Chest Press                        ,0.047619047619047616 ,0.14655172413793102  ,0.02842809364548495  ,598.0
Crunch                             ,0.00545950864422202  ,0.004542013626040878 ,0.006841505131128849 ,877.0
Dip                                ,0.01596169193934557  ,0.017452006980802792 ,0.014705882352941175 ,680.0
Dumbbell Deadlift Row              ,0.031198233020430694 ,0.017541136293076683 ,0.14089775561097256  ,802.0
Dumbbell Row (both)                ,0.0                  ,0.0                  ,0.0                  ,923.0
Dumbbell Row (right)               ,0.010676156583629894 ,0.008021390374331552 ,0.015957446808510637 ,188.0
Dumbbell Squat (hands at side)     ,0.03417533432392273  ,0.05010893246187364  ,0.025930101465614433 ,887.0
Elliptical machine                 ,0.027951234017246505 ,0.1068181818181818   ,0.016079370509750255 ,2923.0
Punches                            ,0.022314049586776862 ,0.012971414845063657 ,0.07976366322008863  ,677.0
Jump Rope                          ,0.16050309742819596  ,0.09487350199733688  ,0.5207064555420219   ,1642.0
Jumping Jacks                      ,0.0256553262688232   ,0.013310185185185184 ,0.3538461538461539   ,325.0
Kettlebell Swing                   ,0.0068702290076335885,0.0045180722891566254,0.014331210191082803 ,628.0
Lateral Raise                      ,0.006980802792321118 ,0.005494505494505495 ,0.009569377990430622 ,627.0
Lawnmower (both)                   ,0.0062295592586824496,0.0031461381154632693,0.3125               ,64.0
Lawnmower (right)                  ,0.008196721311475409 ,0.0056772100567721   ,0.01473684210526316  ,475.0
Lunge (both legs)                  ,0.0065040650406504065,0.07407407407407407  ,0.003401360544217687 ,1176.0
Ball Slam                          ,0.016838520480560018 ,0.008954623201529328 ,0.14082278481012658  ,632.0
Triceps Extension (standing - both),0.03535353535353535  ,0.0580110497237569   ,0.025423728813559324 ,826.0
Plank                              ,0.20162748643761305  ,0.22178020885131772  ,0.1848321591380025   ,2413.0
Power Boat pose                    ,0.19237861094038106  ,0.11348803480783175  ,0.6310483870967742   ,496.0
Pushups                            ,0.01598033189920098  ,0.017105263157894738 ,0.014994232987312572 ,867.0
Rowing machine                     ,0.09786802030456854  ,0.1127221702525725   ,0.08647290993900253  ,2787.0
Running                            ,0.06358974358974359  ,0.047378878190432516 ,0.0966635484876832   ,3207.0
Russian Twist                      ,0.0007558578987150415,0.0005730659025787965,0.0011098779134295226,901.0
Seated Back Fly                    ,0.005791505791505792 ,0.004243281471004243 ,0.00911854103343465  ,658.0
Shoulder Press                     ,0.026068505607759924 ,0.01666020922123208  ,0.05988857938718663  ,718.0
Squat                              ,0.01976764348881568  ,0.0347985347985348   ,0.01380479534996367  ,4129.0
Triceps Kickback                   ,0.007329842931937174 ,0.009358288770053477 ,0.006024096385542169 ,1162.0
Triceps extension (lying)          ,0.009395184967704051 ,0.007874015748031496 ,0.011644832605531296 ,687.0
Dumbbell Curl                      ,0.008042221663734608 ,0.005296259516716318 ,0.016701461377870562 ,958.0
V-up                               ,0.029169675090252714 ,0.015612923172051322 ,0.22149122807017546  ,912.0
Walk                               ,0.33765178531124457  ,0.2236842105263158   ,0.6883857905392969   ,5433.0
Walking lunge                      ,0.056599788806758186 ,0.03468806626973855  ,0.1536697247706422   ,872.0
Wall Ball                          ,0.010113027959547887 ,0.0059048280653004525,0.035196687370600416 ,483.0
Wall Squat                         ,0.07420980302336233  ,0.07493061979648474  ,0.07350272232304901  ,1102.0
accuracy                           ,0.060452477149027385 ,0.060452477149027385 ,0.060452477149027385 ,0.060452477149027385
macro avg                          ,0.040564762972557636 ,0.06191613330490864  ,0.09891629320367573  ,125487.0
weighted avg                       ,0.038222303331205576 ,0.5575061875229825   ,0.060452477149027385 ,125487.0
