                                           ,f1-score            ,precision           ,recall              ,support
No activity                                ,0.2920410783055199  ,0.9869848156182213  ,0.1713747645951036  ,5310.0
Walking                                    ,0.23076923076923075 ,0.1366822429906542  ,0.740506329113924   ,158.0
Jogging                                    ,0.43520782396088026 ,0.31899641577060933 ,0.6846153846153846  ,130.0
Running                                    ,0.7859922178988327  ,0.7651515151515151  ,0.808               ,125.0
Jump up                                    ,0.15294117647058822 ,0.08843537414965986 ,0.5652173913043478  ,23.0
Jump front and back                        ,0.2                 ,0.35294117647058826 ,0.13953488372093023 ,43.0
Jump sideways                              ,0.031496062992125984,0.024691358024691357,0.043478260869565216,46.0
Jump leg/arms open/closed                  ,0.7058823529411765  ,0.6428571428571429  ,0.782608695652174   ,46.0
Jump rope                                  ,0.11336032388663966 ,0.06363636363636363 ,0.5185185185185185  ,27.0
Trunk twist (arms outstretched)            ,0.5694444444444444  ,0.7192982456140351  ,0.47126436781609193 ,87.0
Trunk twist (elbows bent)                  ,0.39175257731958757 ,0.2602739726027397  ,0.7916666666666666  ,72.0
Waist bends forward                        ,0.517766497461929   ,0.4112903225806452  ,0.6986301369863014  ,73.0
Waist rotation                             ,0.4074074074074074  ,0.26066350710900477 ,0.9322033898305084  ,59.0
Waist bends (reach foot with opposite hand),0.8148148148148148  ,0.8088235294117647  ,0.8208955223880597  ,67.0
Reach heels backwards                      ,0.6399999999999999  ,0.5882352941176471  ,0.7017543859649122  ,57.0
Lateral bend                               ,0.17647058823529413 ,0.09859154929577464 ,0.84                ,50.0
Lateral bend with arm up                   ,0.4365482233502538  ,0.2986111111111111  ,0.8113207547169812  ,53.0
Repetitive forward stretching              ,0.44705882352941173 ,0.35185185185185186 ,0.6129032258064516  ,31.0
Upper trunk and lower body opposite twist  ,0.19277108433734938 ,0.12698412698412698 ,0.4                 ,40.0
Lateral elevation of arms                  ,0.47368421052631576 ,0.6                 ,0.391304347826087   ,46.0
Frontal elevation of arms                  ,0.26041666666666663 ,0.176056338028169   ,0.5                 ,50.0
Frontal hand claps                         ,0.5614035087719298  ,0.45714285714285713 ,0.7272727272727273  ,44.0
Frontal crossing of arms                   ,0.4999999999999999  ,0.40963855421686746 ,0.6415094339622641  ,53.0
Shoulders high-amplitude rotation          ,0.5046728971962617  ,0.4426229508196721  ,0.5869565217391305  ,46.0
Shoulders low-amplitude rotation           ,0.13043478260869565 ,0.08181818181818182 ,0.32142857142857145 ,28.0
Arms inner rotation                        ,0.29885057471264365 ,0.19117647058823528 ,0.6842105263157895  ,38.0
Knees (alternating) to the breast          ,0.025423728813559324,0.013824884792626729,0.15789473684210525 ,19.0
Heels (alternatively) to the backside      ,0.39999999999999997 ,0.375               ,0.42857142857142855 ,21.0
Knees bending (crouching)                  ,0.46327683615819204 ,0.36607142857142855 ,0.6307692307692307  ,65.0
Knees (alternating) bending forward        ,0.5825242718446602  ,0.4580152671755725  ,0.8                 ,75.0
Rotation on the knees                      ,0.5147058823529411  ,0.3723404255319149  ,0.8333333333333334  ,42.0
Rowing                                     ,0.3212237093690249  ,0.1917808219178082  ,0.9882352941176471  ,85.0
Elliptical bike                            ,0.5421994884910487  ,0.38686131386861317 ,0.905982905982906   ,117.0
Cycling                                    ,0.16554809843400448 ,0.09105824446267433 ,0.9098360655737705  ,122.0
accuracy                                   ,0.31668481219379424 ,0.31668481219379424 ,0.31668481219379424 ,0.31668481219379424
macro avg                                  ,0.39076733482563025 ,0.35054140159655195 ,0.6188764059500269  ,7348.0
weighted avg                               ,0.32863159042098744 ,0.8115349893100375  ,0.31668481219379424 ,7348.0
