Unnamed: 0                         ,f1-score            ,precision           ,recall               ,support
Noise                              ,0.7274890470695167  ,0.6479796969090545  ,0.8292396163158875   ,85904.0
Band Pull-Down Row                 ,0.0488997555012225  ,0.047619047619047616,0.05025125628140704  ,597.0
Bicep Curl                         ,0.06594230048707382 ,0.07451312447078746 ,0.05913978494623656  ,1488.0
Box Jump (on bench)                ,0.0                 ,0.0                 ,0.0                  ,87.0
Burpee                             ,0.02452619843924192 ,0.034976152623211444,0.01888412017167382  ,1165.0
Butterfly sit-up                   ,0.11952473842879945 ,0.1529038112522686  ,0.09810771470160116  ,3435.0
Chest Press                        ,0.22189566495224106 ,0.21884057971014487 ,0.22503725782414308  ,671.0
Crunch                             ,0.07608695652173914 ,0.11359026369168355 ,0.05720122574055159  ,979.0
Dip                                ,0.06296851574212894 ,0.07279029462738301 ,0.05548216644649934  ,757.0
Dumbbell Deadlift Row              ,0.03753351206434317 ,0.047217537942664416,0.03114571746384872  ,899.0
Dumbbell Row (both)                ,0.07608695652173912 ,0.10096153846153846 ,0.061046511627906974 ,1032.0
Dumbbell Row (right)               ,0.007117437722419929,0.014084507042253518,0.0047619047619047615,210.0
Dumbbell Squat (hands at side)     ,0.05023132848645077 ,0.07378640776699029 ,0.03807615230460922  ,998.0
Elliptical machine                 ,0.18593292087267996 ,0.1988854057819575  ,0.17456435340874352  ,3271.0
Punches                            ,0.008528784648187633,0.02185792349726776 ,0.0052980132450331134,755.0
Jump Rope                          ,0.12421441774491683 ,0.19489559164733175 ,0.09115572436245252  ,1843.0
Jumping Jacks                      ,0.0                 ,0.0                 ,0.0                  ,360.0
Kettlebell Swing                   ,0.002219755826859045,0.005102040816326529,0.0014184397163120568,705.0
Lateral Raise                      ,0.008869179600886918,0.019704433497536943,0.005722460658082976 ,699.0
Lawnmower (both)                   ,0.0                 ,0.0                 ,0.0                  ,73.0
Lawnmower (right)                  ,0.0                 ,0.0                 ,0.0                  ,529.0
Lunge (both legs)                  ,0.060409924487594385,0.1050656660412758  ,0.04239212717638153  ,1321.0
Ball Slam                          ,0.018264840182648404,0.04819277108433735 ,0.01126760563380282  ,710.0
Triceps Extension (standing - both),0.13354531001589826 ,0.2530120481927711  ,0.09071274298056156  ,926.0
Plank                              ,0.4765133171912833  ,0.4221967963386728  ,0.5468692108188218   ,2699.0
Power Boat pose                    ,0.42872454448017133 ,0.5319148936170213  ,0.3590664272890485   ,557.0
Pushups                            ,0.02812241521918941 ,0.07234042553191489 ,0.017453798767967144 ,974.0
Rowing machine                     ,0.20780254777070065 ,0.2743037309511298  ,0.16725408522909324  ,3121.0
Running                            ,0.05106940200785682 ,0.11806256306760847 ,0.03258145363408521  ,3591.0
Russian Twist                      ,0.04358759430008382 ,0.13756613756613756 ,0.025896414342629483 ,1004.0
Seated Back Fly                    ,0.025670945157526253,0.09482758620689656 ,0.014844804318488529 ,741.0
Shoulder Press                     ,0.19793205317577547 ,0.24408014571948997 ,0.16645962732919253  ,805.0
Squat                              ,0.12382739212007506 ,0.1866840731070496  ,0.09263657957244656  ,4631.0
Triceps Kickback                   ,0.02676864244741874 ,0.07806691449814128 ,0.016153846153846154 ,1300.0
Triceps extension (lying)          ,0.0472764645426516  ,0.11442786069651742 ,0.02979274611398964  ,772.0
Dumbbell Curl                      ,0.05782060785767235 ,0.14338235294117646 ,0.036211699164345405 ,1077.0
V-up                               ,0.0688              ,0.1853448275862069  ,0.04223968565815324  ,1018.0
Walk                               ,0.4115456238361266  ,0.4744525547445255  ,0.3633673133837553   ,6082.0
Walking lunge                      ,0.0707581227436823  ,0.12219451371571073 ,0.04979674796747968  ,984.0
Wall Ball                          ,0.006993006993006994,0.060606060606060615,0.0037105751391465678,539.0
Wall Squat                         ,0.1464728056004308  ,0.21935483870967745 ,0.1099434114793856   ,1237.0
accuracy                           ,0.5581233190556828  ,0.5581233190556828  ,0.5581233190556828   ,0.5581233190556828
macro avg                          ,0.1092676348965912  ,0.14453134434828707 ,0.09817520297876864  ,140546.0
weighted avg                       ,0.5030693137746957  ,0.4714124740557447  ,0.5581233190556828   ,140546.0
