                                           ,f1-score            ,precision         ,recall             ,support
No activity                                ,0.9008670122482684  ,0.8803119956966111,0.9224048849224988 ,10645.0
Walking                                    ,0.35940099833610645 ,0.3829787234042553,0.3385579937304075 ,319.0
Jogging                                    ,0.6273830155979203  ,0.5709779179810726,0.6961538461538461 ,260.0
Running                                    ,0.7435897435897435  ,0.7909090909090909,0.7016129032258065 ,248.0
Jump up                                    ,0.3170731707317074  ,0.3939393939393939,0.2653061224489796 ,49.0
Jump front and back                        ,0.27586206896551724 ,0.5714285714285714,0.18181818181818182,88.0
Jump sideways                              ,0.11214953271028037 ,0.3333333333333333,0.06741573033707865,89.0
Jump leg/arms open/closed                  ,0.861878453038674   ,0.896551724137931 ,0.8297872340425532 ,94.0
Jump rope                                  ,0.3838383838383838  ,0.3877551020408163,0.38               ,50.0
Trunk twist (arms outstretched)            ,0.6870748299319728  ,0.8347107438016529,0.5838150289017341 ,173.0
Trunk twist (elbows bent)                  ,0.7230769230769231  ,0.8245614035087719,0.6438356164383562 ,146.0
Waist bends forward                        ,0.6516129032258063  ,0.6121212121212121,0.696551724137931  ,145.0
Waist rotation                             ,0.5320197044334977  ,0.675             ,0.43902439024390244,123.0
Waist bends (reach foot with opposite hand),0.8221343873517786  ,0.8888888888888888,0.7647058823529411 ,136.0
Reach heels backwards                      ,0.75                ,0.71900826446281  ,0.7837837837837838 ,111.0
Lateral bend                               ,0.5795454545454545  ,0.68              ,0.504950495049505  ,101.0
Lateral bend with arm up                   ,0.7238095238095239  ,0.7037037037037037,0.7450980392156863 ,102.0
Repetitive forward stretching              ,0.5517241379310345  ,0.6037735849056604,0.5079365079365079 ,63.0
Upper trunk and lower body opposite twist  ,0.3925233644859813  ,0.7               ,0.2727272727272727 ,77.0
Lateral elevation of arms                  ,0.7125000000000001  ,0.8636363636363636,0.6063829787234043 ,94.0
Frontal elevation of arms                  ,0.3529411764705882  ,0.3305084745762712,0.3786407766990291 ,103.0
Frontal hand claps                         ,0.546583850931677   ,0.6470588235294118,0.4731182795698925 ,93.0
Frontal crossing of arms                   ,0.5502645502645502  ,0.6341463414634146,0.48598130841121495,107.0
Shoulders high-amplitude rotation          ,0.49180327868852464 ,0.4945054945054945,0.4891304347826087 ,92.0
Shoulders low-amplitude rotation           ,0.26966292134831465 ,0.3870967741935484,0.20689655172413793,58.0
Arms inner rotation                        ,0.32061068702290074 ,0.3620689655172414,0.2876712328767123 ,73.0
Knees (alternating) to the breast          ,0.052631578947368425,1.0               ,0.02702702702702703,37.0
Heels (alternatively) to the backside      ,0.5573770491803278  ,0.85              ,0.4146341463414634 ,41.0
Knees bending (crouching)                  ,0.6719367588932808  ,0.6746031746031746,0.6692913385826772 ,127.0
Knees (alternating) bending forward        ,0.6578947368421052  ,0.6622516556291391,0.6535947712418301 ,153.0
Rotation on the knees                      ,0.6134969325153374  ,0.6410256410256411,0.5882352941176471 ,85.0
Rowing                                     ,0.7876923076923077  ,0.8               ,0.7757575757575758 ,165.0
Elliptical bike                            ,0.7285382830626449  ,0.7969543147208121,0.6709401709401709 ,234.0
Cycling                                    ,0.7121771217712177  ,0.6390728476821192,0.8041666666666667 ,240.0
accuracy                                   ,0.8244005162692751  ,0.8244005162692751,0.8244005162692751 ,0.8244005162692751
macro avg                                  ,0.5594610247494036  ,0.6539083095690119,0.5252045350273244 ,14721.0
weighted avg                               ,0.8158624950169557  ,0.817411216626036 ,0.8244005162692751 ,14721.0
