Unnamed: 0                         ,f1-score             ,precision           ,recall               ,support
Noise                              ,0.4907672858652777   ,0.6035341092515504  ,0.41350608833321695  ,171804.0
Band Pull-Down Row                 ,0.0                  ,0.0                 ,0.0                  ,1195.0
Bicep Curl                         ,0.2991977347805569   ,0.28295150252900925 ,0.3174232309746328   ,2996.0
Box Jump (on bench)                ,0.0                  ,0.0                 ,0.0                  ,175.0
Burpee                             ,0.028561713702822168 ,0.06763285024154589 ,0.01810344827586207  ,2320.0
Butterfly sit-up                   ,0.2650413372759641   ,0.22613531047265986 ,0.3201166180758018   ,6860.0
Chest Press                        ,0.3993797381116471   ,0.2596326164874552  ,0.8649253731343284   ,1340.0
Crunch                             ,0.0018630647414997672,0.01058201058201058 ,0.0010214504596527069,1958.0
Dip                                ,0.2506134969325153   ,0.16336732653469307 ,0.5378538512179065   ,1519.0
Dumbbell Deadlift Row              ,0.017742730409068506 ,0.07725321888412018 ,0.01002227171492205  ,1796.0
Dumbbell Row (both)                ,0.019246190858059342 ,0.05620608899297424 ,0.011611030478955007 ,2067.0
Dumbbell Row (right)               ,0.0                  ,0.0                 ,0.0                  ,424.0
Dumbbell Squat (hands at side)     ,0.08701152656733202  ,0.05058429353599739 ,0.3108990457056756   ,1991.0
Elliptical machine                 ,0.2984362870134191   ,0.2342852167856521  ,0.410965180207697    ,6548.0
Punches                            ,0.02204928664072633  ,0.7391304347826086  ,0.01119157340355497  ,1519.0
Jump Rope                          ,0.12938200216841345  ,0.19320021586616296 ,0.09725618038576474  ,3681.0
Jumping Jacks                      ,0.13879408418657566  ,0.39102564102564097 ,0.08437067773167359  ,723.0
Kettlebell Swing                   ,0.28743200687088466  ,0.2404214559386973  ,0.3572953736654804   ,1405.0
Lateral Raise                      ,0.053613053613053616 ,0.1464968152866242  ,0.032810271041369465 ,1402.0
Lawnmower (both)                   ,0.0                  ,0.0                 ,0.0                  ,143.0
Lawnmower (right)                  ,0.0015860428231562257,0.005128205128205128,0.0009380863039399623,1066.0
Lunge (both legs)                  ,0.16611295681063126  ,0.11080157021653793 ,0.3316906747536012   ,2638.0
Ball Slam                          ,0.015209125475285171 ,0.032786885245901634,0.0099009900990099   ,1414.0
Triceps Extension (standing - both),0.4885962849753116   ,0.4334584897788903  ,0.5598060344827587   ,1856.0
Plank                              ,0.1908420854822208   ,0.10751676273379604 ,0.848181143281366    ,5388.0
Power Boat pose                    ,0.15643312101910828  ,0.08643829188174566 ,0.8223214285714285   ,1120.0
Pushups                            ,0.12832999140647378  ,0.14498381877022656 ,0.11510791366906475  ,1946.0
Rowing machine                     ,0.0                  ,0.0                 ,0.0                  ,6238.0
Running                            ,0.0118473618955779   ,0.6323529411764706  ,0.005979696843276317 ,7191.0
Russian Twist                      ,0.1993355481727575   ,0.2991026919242273  ,0.14947683109118087  ,2007.0
Seated Back Fly                    ,0.0                  ,0.0                 ,0.0                  ,1476.0
Shoulder Press                     ,0.26783183750590456  ,0.21674311926605505 ,0.3504326328800989   ,1618.0
Squat                              ,0.023184759166067576 ,0.0693175711982805  ,0.013920362576885724 ,9267.0
Triceps Kickback                   ,0.2870653685674548   ,0.5217391304347826  ,0.19800460475825016  ,2606.0
Triceps extension (lying)          ,0.09994447529150473  ,0.3358208955223881  ,0.058708414872798424 ,1533.0
Dumbbell Curl                      ,0.114                ,0.20046893317702227 ,0.07964601769911504  ,2147.0
V-up                               ,0.1733238231098431   ,0.31640625          ,0.1193516699410609   ,2036.0
Walk                               ,0.41441763479297     ,0.3249404400429766  ,0.5718983803337992   ,12163.0
Walking lunge                      ,0.09399625829128634  ,0.052886762360446565,0.4220977596741344   ,1964.0
Wall Ball                          ,0.044788975021533166 ,0.3333333333333333  ,0.024007386888273315 ,1083.0
Wall Squat                         ,0.0                  ,0.0                 ,0.0                  ,2469.0
accuracy                           ,0.3488501985115194   ,0.3488501985115194  ,0.3488501985115194   ,0.3488501985115194
macro avg                          ,0.13819456559865614  ,0.19430890730216316 ,0.20684979740308626  ,281092.0
weighted avg                       ,0.3629836549137291   ,0.4519000405029357  ,0.3488501985115194   ,281092.0
