Unnamed: 0                         ,f1-score            ,precision           ,recall               ,support
Noise                              ,0.5277672031794856  ,0.6343387386068304  ,0.4518538798498123   ,76704.0
Band Pull-Down Row                 ,0.05136436597110755 ,0.18181818181818185 ,0.029906542056074768 ,535.0
Bicep Curl                         ,0.0                 ,0.0                 ,0.0                  ,1336.0
Box Jump (on bench)                ,0.0                 ,0.0                 ,0.0                  ,78.0
Burpee                             ,0.04444444444444445 ,0.14754098360655735 ,0.02616279069767442  ,1032.0
Butterfly sit-up                   ,0.2132789947359484  ,0.22253720765414603 ,0.20476035213563745  ,3067.0
Chest Press                        ,0.42995169082125606 ,0.2831389183457052  ,0.8929765886287625   ,598.0
Crunch                             ,0.029761904761904764,0.04282655246252677 ,0.022805017103762832 ,877.0
Dip                                ,0.262459662961635   ,0.17354196301564725 ,0.538235294117647    ,680.0
Dumbbell Deadlift Row              ,0.21021726365237814 ,0.19866814650388456 ,0.2231920199501247   ,802.0
Dumbbell Row (both)                ,0.027118644067796613,0.036231884057971016,0.021668472372697724 ,923.0
Dumbbell Row (right)               ,0.0                 ,0.0                 ,0.0                  ,188.0
Dumbbell Squat (hands at side)     ,0.12821878884745158 ,0.07609612141652614 ,0.4069898534385569   ,887.0
Elliptical machine                 ,0.31556844315568444 ,0.22294433455778467 ,0.5398563120082107   ,2923.0
Punches                            ,0.14035087719298245 ,0.8125              ,0.07680945347119646  ,677.0
Jump Rope                          ,0.2208588957055215  ,0.22249690976514214 ,0.2192448233861145   ,1642.0
Jumping Jacks                      ,0.33196159122085045 ,0.2995049504950495  ,0.3723076923076923   ,325.0
Kettlebell Swing                   ,0.006088280060882801,0.06896551724137931 ,0.0031847133757961785,628.0
Lateral Raise                      ,0.0                 ,0.0                 ,0.0                  ,627.0
Lawnmower (both)                   ,0.0                 ,0.0                 ,0.0                  ,64.0
Lawnmower (right)                  ,0.0                 ,0.0                 ,0.0                  ,475.0
Lunge (both legs)                  ,0.14767025089605734 ,0.10269192422731804 ,0.2627551020408163   ,1176.0
Ball Slam                          ,0.026155187445510025,0.029126213592233014,0.023734177215189875 ,632.0
Triceps Extension (standing - both),0.36541495739981067 ,0.2471190781049936  ,0.7009685230024213   ,826.0
Plank                              ,0.24123939505717445 ,0.1416299718472533  ,0.8130957314546208   ,2413.0
Power Boat pose                    ,0.15250139482983074 ,0.08399918049580005 ,0.8266129032258065   ,496.0
Pushups                            ,0.05503904797322425 ,0.04061470911086718 ,0.0853517877739331   ,867.0
Rowing machine                     ,0.3144582861457153  ,0.33174034249303064 ,0.2988876928597058   ,2787.0
Running                            ,0.12690631808278865 ,0.5010752688172043  ,0.07265357031493608  ,3207.0
Russian Twist                      ,0.10126582278481014 ,0.1763085399449036  ,0.07103218645948946  ,901.0
Seated Back Fly                    ,0.0                 ,0.0                 ,0.0                  ,658.0
Shoulder Press                     ,0.26850258175559377 ,0.2282926829268293  ,0.32590529247910865  ,718.0
Squat                              ,0.01306579561362576 ,0.17834394904458598 ,0.006781302978929523 ,4129.0
Triceps Kickback                   ,0.09182209469153517 ,0.27586206896551724 ,0.055077452667814115 ,1162.0
Triceps extension (lying)          ,0.11177170035671817 ,0.3051948051948052  ,0.06841339155749636  ,687.0
Dumbbell Curl                      ,0.08285004142502071 ,0.2008032128514056  ,0.05219206680584551  ,958.0
V-up                               ,0.14492753623188406 ,0.3256704980842912  ,0.09320175438596492  ,912.0
Walk                               ,0.4828753215107621  ,0.381864896692003   ,0.6565433462175594   ,5433.0
Walking lunge                      ,0.15608465608465608 ,0.08821770334928229 ,0.6766055045871561   ,872.0
Wall Ball                          ,0.0                 ,0.0                 ,0.0                  ,483.0
Wall Squat                         ,0.0                 ,0.0                 ,0.0                  ,1102.0
accuracy                           ,0.38304366189326383 ,0.38304366189326383 ,0.38304366189326383  ,0.38304366189326383
macro avg                          ,0.141999059489367   ,0.17711476720218672 ,0.22243330709576964  ,125487.0
weighted avg                       ,0.3940137313707029  ,0.473395896976521   ,0.38304366189326383  ,125487.0
