                                           ,f1-score           ,precision           ,recall              ,support
No activity                                ,0.273579358765953  ,0.9845655962160816  ,0.15886086118251927 ,24896.0
Walking                                    ,0.2156963764382621 ,0.12367073651043718 ,0.8429530201342282  ,745.0
Jogging                                    ,0.40774818401937046,0.28835616438356165 ,0.6958677685950413  ,605.0
Running                                    ,0.7852112676056339 ,0.7893805309734513  ,0.7810858143607706  ,571.0
Jump up                                    ,0.26388888888888884,0.16593886462882096 ,0.6440677966101694  ,118.0
Jump front and back                        ,0.22222222222222224,0.3181818181818182  ,0.17073170731707318 ,205.0
Jump sideways                              ,0.01948051948051948,0.014669926650366748,0.028985507246376812,207.0
Jump leg/arms open/closed                  ,0.7587628865979381 ,0.7049808429118773  ,0.8214285714285714  ,224.0
Jump rope                                  ,0.2298850574712644 ,0.13595166163141995 ,0.743801652892562   ,121.0
Trunk twist (arms outstretched)            ,0.5683229813664596 ,0.756198347107438   ,0.4552238805970149  ,402.0
Trunk twist (elbows bent)                  ,0.36639118457300274,0.23792486583184258 ,0.7964071856287425  ,334.0
Waist bends forward                        ,0.6240520043336945 ,0.4982698961937716  ,0.8347826086956521  ,345.0
Waist rotation                             ,0.3997103548153512 ,0.252516010978957   ,0.9583333333333334  ,288.0
Waist bends (reach foot with opposite hand),0.8575899843505478 ,0.845679012345679   ,0.8698412698412699  ,315.0
Reach heels backwards                      ,0.6394779771615008 ,0.5552407932011332  ,0.7538461538461538  ,260.0
Lateral bend                               ,0.20898176967541132,0.11726546906187625 ,0.9591836734693877  ,245.0
Lateral bend with arm up                   ,0.42857142857142855,0.2839506172839506  ,0.8734177215189873  ,237.0
Repetitive forward stretching              ,0.7439353099730457 ,0.6216216216216216  ,0.9261744966442953  ,149.0
Upper trunk and lower body opposite twist  ,0.22789115646258506,0.16105769230769232 ,0.38953488372093026 ,172.0
Lateral elevation of arms                  ,0.5491329479768786 ,0.7421875           ,0.43577981651376146 ,218.0
Frontal elevation of arms                  ,0.354066985645933  ,0.24584717607973422 ,0.6324786324786325  ,234.0
Frontal hand claps                         ,0.6600790513833992 ,0.5798611111111112  ,0.7660550458715596  ,218.0
Frontal crossing of arms                   ,0.4976671850699845 ,0.4                 ,0.6584362139917695  ,243.0
Shoulders high-amplitude rotation          ,0.537117903930131  ,0.4959677419354839  ,0.5857142857142857  ,210.0
Shoulders low-amplitude rotation           ,0.18244406196213422,0.11910112359550562 ,0.3897058823529412  ,136.0
Arms inner rotation                        ,0.40162822252374486,0.26102292768959434 ,0.8705882352941177  ,170.0
Knees (alternating) to the breast          ,0.04423380726698263,0.025594149908592323,0.16279069767441862 ,86.0
Heels (alternatively) to the backside      ,0.6596858638743456 ,0.6494845360824743  ,0.6702127659574468  ,94.0
Knees bending (crouching)                  ,0.5238095238095238 ,0.4188376753507014  ,0.6989966555183946  ,299.0
Knees (alternating) bending forward        ,0.5663900414937759 ,0.4504950495049505  ,0.7625698324022346  ,358.0
Rotation on the knees                      ,0.6108374384236454 ,0.45036319612590797 ,0.9489795918367347  ,196.0
Rowing                                     ,0.2924382716049383 ,0.17126073203795752 ,1.0                 ,379.0
Elliptical bike                            ,0.48045857217300686,0.33502906976744184 ,0.848987108655617   ,543.0
Cycling                                    ,0.15660583372328812,0.08576798223133436 ,0.899641577060932   ,558.0
accuracy                                   ,0.31854803525202874,0.31854803525202874 ,0.31854803525202874 ,0.31854803525202874
macro avg                                  ,0.4340586654010232 ,0.3907717776306643  ,0.6775136543642919  ,34381.0
weighted avg                               ,0.3211966481950006 ,0.8169294160094076  ,0.31854803525202874 ,34381.0
