                                           ,f1-score            ,precision           ,recall              ,support
No activity                                ,0.2720975339429205  ,0.9859437751004017  ,0.15782706525233045 ,9333.0
Walking                                    ,0.22040423484119342 ,0.1272222222222222  ,0.8237410071942446  ,278.0
Jogging                                    ,0.4211920529801324  ,0.3005671077504726  ,0.7035398230088495  ,226.0
Running                                    ,0.7819905213270142  ,0.7932692307692307  ,0.7710280373831776  ,214.0
Jump up                                    ,0.20155038759689922 ,0.12149532710280374 ,0.5909090909090909  ,44.0
Jump front and back                        ,0.23931623931623933 ,0.34146341463414637 ,0.18421052631578946 ,76.0
Jump sideways                              ,0.009900990099009901,0.007936507936507936,0.013157894736842105,76.0
Jump leg/arms open/closed                  ,0.7351351351351352  ,0.6601941747572816  ,0.8292682926829268  ,82.0
Jump rope                                  ,0.1487603305785124  ,0.084375            ,0.627906976744186   ,43.0
Trunk twist (arms outstretched)            ,0.5499999999999999  ,0.7333333333333333  ,0.44                ,150.0
Trunk twist (elbows bent)                  ,0.3844660194174757  ,0.2544987146529563  ,0.7857142857142857  ,126.0
Waist bends forward                        ,0.5905292479108635  ,0.4588744588744589  ,0.828125            ,128.0
Waist rotation                             ,0.39506172839506176 ,0.2506527415143603  ,0.9320388349514563  ,103.0
Waist bends (reach foot with opposite hand),0.8634361233480177  ,0.8909090909090909  ,0.8376068376068376  ,117.0
Reach heels backwards                      ,0.6371681415929203  ,0.5669291338582677  ,0.7272727272727273  ,99.0
Lateral bend                               ,0.20338983050847456 ,0.11428571428571428 ,0.9230769230769231  ,91.0
Lateral bend with arm up                   ,0.40740740740740744 ,0.2673611111111111  ,0.8555555555555555  ,90.0
Repetitive forward stretching              ,0.619718309859155   ,0.5116279069767442  ,0.7857142857142857  ,56.0
Upper trunk and lower body opposite twist  ,0.19913419913419914 ,0.13690476190476192 ,0.36507936507936506 ,63.0
Lateral elevation of arms                  ,0.5428571428571428  ,0.6666666666666666  ,0.4578313253012048  ,83.0
Frontal elevation of arms                  ,0.3190184049079755  ,0.2175732217573222  ,0.5977011494252874  ,87.0
Frontal hand claps                         ,0.6130653266331658  ,0.5304347826086957  ,0.7261904761904762  ,84.0
Frontal crossing of arms                   ,0.5066666666666666  ,0.4222222222222222  ,0.6333333333333333  ,90.0
Shoulders high-amplitude rotation          ,0.5301204819277108  ,0.5057471264367817  ,0.5569620253164557  ,79.0
Shoulders low-amplitude rotation           ,0.16521739130434782 ,0.10734463276836158 ,0.3584905660377358  ,53.0
Arms inner rotation                        ,0.3669064748201439  ,0.2383177570093458  ,0.796875            ,64.0
Knees (alternating) to the breast          ,0.024390243902439022,0.013559322033898305,0.12121212121212122 ,33.0
Heels (alternatively) to the backside      ,0.6285714285714286  ,0.6285714285714286  ,0.6285714285714286  ,35.0
Knees bending (crouching)                  ,0.4983388704318936  ,0.39893617021276595 ,0.6637168141592921  ,113.0
Knees (alternating) bending forward        ,0.5683060109289617  ,0.45217391304347826 ,0.7647058823529411  ,136.0
Rotation on the knees                      ,0.6027397260273973  ,0.4429530201342282  ,0.9428571428571428  ,70.0
Rowing                                     ,0.29559748427672955 ,0.17343173431734318 ,1.0                 ,141.0
Elliptical bike                            ,0.5007278020378457  ,0.35610766045548653 ,0.8431372549019608  ,204.0
Cycling                                    ,0.157331136738056   ,0.08611361587015329 ,0.9095238095238095  ,210.0
accuracy                                   ,0.31249514638502757 ,0.31249514638502757 ,0.31249514638502757 ,0.31249514638502757
macro avg                                  ,0.4176621478065452  ,0.37788226475888365 ,0.6524376723053548  ,12877.0
weighted avg                               ,0.31769992721464696 ,0.8166639524415076  ,0.31249514638502757 ,12877.0
