Unnamed: 0                         ,f1-score          ,precision          ,recall            ,support
Noise                              ,0.8934134061940888,0.8984601651417095 ,0.8884230270598296,36253.0
Band Pull-Down Row                 ,0.6093457943925233,0.5759717314487632 ,0.6468253968253969,252.0
Bicep Curl                         ,0.7248215701823949,0.7231012658227848 ,0.7265500794912559,629.0
Box Jump (on bench)                ,0.4109589041095891,0.40540540540540543,0.4166666666666667,36.0
Burpee                             ,0.5862068965517242,0.5768463073852296 ,0.5958762886597938,485.0
Butterfly sit-up                   ,0.7364102564102564,0.7306648575305291 ,0.7422467263955892,1451.0
Chest Press                        ,0.7158671586715868,0.7461538461538462 ,0.6879432624113475,282.0
Crunch                             ,0.677222898903776 ,0.6797066014669927 ,0.6747572815533981,412.0
Dip                                ,0.5660377358490566,0.5660377358490566 ,0.5660377358490566,318.0
Dumbbell Deadlift Row              ,0.5485122897800776,0.539440203562341  ,0.5578947368421052,380.0
Dumbbell Row (both)                ,0.4446902654867256,0.42948717948717946,0.4610091743119266,436.0
Dumbbell Row (right)               ,0.4888888888888889,0.4835164835164835 ,0.4943820224719101,89.0
Dumbbell Squat (hands at side)     ,0.7386091127098321,0.7457627118644068 ,0.7315914489311164,421.0
Elliptical machine                 ,0.8733499821619692,0.8619718309859155 ,0.8850325379609545,1383.0
Punches                            ,0.865203761755486 ,0.8706624605678234 ,0.8598130841121495,321.0
Jump Rope                          ,0.8174352495262159,0.8057285180572852 ,0.8294871794871795,780.0
Jumping Jacks                      ,0.8903654485049834,0.8758169934640523 ,0.9054054054054054,148.0
Kettlebell Swing                   ,0.7192118226600985,0.7087378640776699 ,0.73              ,300.0
Lateral Raise                      ,0.5608108108108107,0.5551839464882943 ,0.5665529010238908,293.0
Lawnmower (both)                   ,0.25              ,0.225              ,0.28125           ,32.0
Lawnmower (right)                  ,0.4885844748858448,0.5047169811320755 ,0.4734513274336283,226.0
Lunge (both legs)                  ,0.6302083333333334,0.6111111111111112 ,0.6505376344086021,558.0
Ball Slam                          ,0.6122448979591838,0.6143344709897611 ,0.6101694915254238,295.0
Triceps Extension (standing - both),0.7850707850707851,0.7963446475195822 ,0.7741116751269036,394.0
Plank                              ,0.7978956597983341,0.7975460122699386 ,0.7982456140350878,1140.0
Power Boat pose                    ,0.602510460251046 ,0.5975103734439834 ,0.6075949367088608,237.0
Pushups                            ,0.6384522370012091,0.631578947368421  ,0.6454767726161369,409.0
Rowing machine                     ,0.8843691148775894,0.8754660700969426 ,0.8934550989345509,1314.0
Running                            ,0.8710847345862183,0.8719471947194719 ,0.8702239789196311,1518.0
Russian Twist                      ,0.687793427230047 ,0.687793427230047  ,0.687793427230047 ,426.0
Seated Back Fly                    ,0.5271828665568369,0.5423728813559322 ,0.5128205128205128,312.0
Shoulder Press                     ,0.7386861313868613,0.7270114942528736 ,0.7507418397626113,337.0
Squat                              ,0.7400050929462695,0.7345803842264914 ,0.7455105182144691,1949.0
Triceps Kickback                   ,0.5946935041171091,0.5909090909090909 ,0.5985267034990792,543.0
Triceps extension (lying)          ,0.7629179331306991,0.7514970059880239 ,0.7746913580246914,324.0
Dumbbell Curl                      ,0.7206040992448759,0.7091295116772823 ,0.7324561403508771,456.0
V-up                               ,0.7460317460317459,0.7311111111111112 ,0.7615740740740741,432.0
Walk                               ,0.8215243201838377,0.807909604519774  ,0.8356057654850021,2567.0
Walking lunge                      ,0.6571428571428571,0.6494117647058824 ,0.6650602409638554,415.0
Wall Ball                          ,0.7488789237668162,0.7767441860465116 ,0.7229437229437229,231.0
Wall Squat                         ,0.4123711340206185,0.4007285974499089 ,0.4247104247104247,518.0
accuracy                           ,0.8309163265994401,0.8309163265994401 ,0.8309163265994401,0.8309163265994401
macro avg                          ,0.6728198777334683,0.6686197799121947 ,0.6776450295913943,59302.0
weighted avg                       ,0.8315817498294369,0.8324226213109434 ,0.8309163265994401,59302.0
