Unnamed: 0                         ,f1-score           ,precision          ,recall             ,support
Noise                              ,0.8903973788120642 ,0.8956798052869989 ,0.8851768950656466 ,29933.0
Band Pull-Down Row                 ,0.6039603960396039 ,0.6224489795918368 ,0.5865384615384616 ,208.0
Bicep Curl                         ,0.6572237960339943 ,0.6456400742115028 ,0.6692307692307692 ,520.0
Box Jump (on bench)                ,0.463768115942029  ,0.41025641025641024,0.5333333333333333 ,30.0
Burpee                             ,0.6185044359949303 ,0.6288659793814433 ,0.6084788029925187 ,401.0
Butterfly sit-up                   ,0.7461442267611507 ,0.7464553794829024 ,0.7458333333333333 ,1200.0
Chest Press                        ,0.6926406926406926 ,0.7017543859649122 ,0.6837606837606838 ,234.0
Crunch                             ,0.7128427128427128 ,0.6957746478873239 ,0.7307692307692307 ,338.0
Dip                                ,0.575187969924812  ,0.5773584905660377 ,0.5730337078651685 ,267.0
Dumbbell Deadlift Row              ,0.5970636215334421 ,0.6039603960396039 ,0.5903225806451613 ,310.0
Dumbbell Row (both)                ,0.3814713896457766 ,0.3753351206434316 ,0.3878116343490305 ,361.0
Dumbbell Row (right)               ,0.4129032258064516 ,0.3902439024390244 ,0.4383561643835616 ,73.0
Dumbbell Squat (hands at side)     ,0.7204610951008645 ,0.7204610951008645 ,0.7204610951008645 ,347.0
Elliptical machine                 ,0.8615782664941786 ,0.8458933107535986 ,0.8778558875219684 ,1138.0
Punches                            ,0.8550185873605948 ,0.8455882352941176 ,0.8646616541353384 ,266.0
Jump Rope                          ,0.8325581395348838 ,0.8287037037037037 ,0.8364485981308412 ,642.0
Jumping Jacks                      ,0.8300395256916997 ,0.84               ,0.8203125          ,128.0
Kettlebell Swing                   ,0.7444668008048292 ,0.7254901960784313 ,0.7644628099173554 ,242.0
Lateral Raise                      ,0.5799573560767589 ,0.6044444444444445 ,0.5573770491803278 ,244.0
Lawnmower (both)                   ,0.3703703703703704 ,0.3448275862068966 ,0.4                ,25.0
Lawnmower (right)                  ,0.4414893617021277 ,0.4368421052631579 ,0.44623655913978494,186.0
Lunge (both legs)                  ,0.6125541125541125 ,0.613882863340564  ,0.6112311015118791 ,463.0
Ball Slam                          ,0.6051080550098232 ,0.5877862595419847 ,0.6234817813765182 ,247.0
Triceps Extension (standing - both),0.7472868217054263 ,0.7507788161993769 ,0.7438271604938271 ,324.0
Plank                              ,0.7754886423666139 ,0.7661795407098121 ,0.7850267379679144 ,935.0
Power Boat pose                    ,0.6203208556149733 ,0.6444444444444445 ,0.5979381443298969 ,194.0
Pushups                            ,0.6210826210826211 ,0.5972602739726027 ,0.6468842729970327 ,337.0
Rowing machine                     ,0.8869485294117647 ,0.8861340679522498 ,0.8877644894204232 ,1087.0
Running                            ,0.8615875548464299 ,0.8619313647246608 ,0.8612440191387559 ,1254.0
Russian Twist                      ,0.6928675400291121 ,0.7083333333333334 ,0.6780626780626781 ,351.0
Seated Back Fly                    ,0.5517241379310345 ,0.5413533834586466 ,0.5625             ,256.0
Shoulder Press                     ,0.7113402061855669 ,0.6854304635761589 ,0.7392857142857143 ,280.0
Squat                              ,0.7331520096705954 ,0.7164796219728293 ,0.7506188118811881 ,1616.0
Triceps Kickback                   ,0.5602605863192183 ,0.5477707006369427 ,0.5733333333333334 ,450.0
Triceps extension (lying)          ,0.7462121212121212 ,0.7576923076923077 ,0.7350746268656716 ,268.0
Dumbbell Curl                      ,0.6902887139107612 ,0.6848958333333334 ,0.6957671957671958 ,378.0
V-up                               ,0.7244318181818183 ,0.7348703170028819 ,0.7142857142857143 ,357.0
Walk                               ,0.8155699721964782 ,0.8007279344858963 ,0.8309726156751652 ,2118.0
Walking lunge                      ,0.6267806267806268 ,0.6128133704735376 ,0.641399416909621  ,343.0
Wall Ball                          ,0.7506702412868633 ,0.7567567567567568 ,0.7446808510638298 ,188.0
Wall Squat                         ,0.37078651685393255,0.3594771241830065 ,0.38283062645011606,431.0
accuracy                           ,0.8254441494792729 ,0.8254441494792729 ,0.8254441494792729 ,0.8254441494792729
macro avg                          ,0.6656709548357039 ,0.6610005616192187 ,0.6713822205417037 ,48970.0
weighted avg                       ,0.8261384402885826 ,0.8270598986882561 ,0.8254441494792729 ,48970.0
