Unnamed: 0                         ,f1-score           ,precision         ,recall             ,support
Noise                              ,0.8884625924910934 ,0.8938352387604308,0.8831541479006247 ,27532.0
Band Pull-Down Row                 ,0.594059405940594  ,0.5660377358490566,0.625              ,192.0
Bicep Curl                         ,0.6743455497382199 ,0.6764705882352942,0.6722338204592901 ,479.0
Box Jump (on bench)                ,0.4363636363636363 ,0.4444444444444444,0.42857142857142855,28.0
Burpee                             ,0.5978552278820375 ,0.5978552278820375,0.5978552278820375 ,373.0
Butterfly sit-up                   ,0.7353206865401988 ,0.7300448430493274,0.7406733393994541 ,1099.0
Chest Press                        ,0.6666666666666667 ,0.6651162790697674,0.6682242990654206 ,214.0
Crunch                             ,0.6728971962616822 ,0.6605504587155964,0.6857142857142857 ,315.0
Dip                                ,0.5616161616161616 ,0.5537848605577689,0.569672131147541  ,244.0
Dumbbell Deadlift Row              ,0.5764499121265377 ,0.5878136200716846,0.5655172413793104 ,290.0
Dumbbell Row (both)                ,0.3976945244956772 ,0.3791208791208791,0.41818181818181815,330.0
Dumbbell Row (right)               ,0.3555555555555556 ,0.3582089552238806,0.35294117647058826,68.0
Dumbbell Squat (hands at side)     ,0.7500000000000001 ,0.7278106508875741,0.7735849056603774 ,318.0
Elliptical machine                 ,0.8645038167938931 ,0.8636796949475691,0.8653295128939829 ,1047.0
Punches                            ,0.8517745302713987 ,0.8607594936708861,0.8429752066115702 ,242.0
Jump Rope                          ,0.8050209205020922 ,0.8016666666666666,0.8084033613445378 ,595.0
Jumping Jacks                      ,0.8017621145374448 ,0.7982456140350878,0.8053097345132744 ,113.0
Kettlebell Swing                   ,0.7032967032967032 ,0.6986899563318777,0.7079646017699115 ,226.0
Lateral Raise                      ,0.5384615384615385 ,0.5509259259259259,0.5265486725663717 ,226.0
Lawnmower (both)                   ,0.18604651162790695,0.2               ,0.17391304347826084,23.0
Lawnmower (right)                  ,0.4457478005865103 ,0.4497041420118344,0.4418604651162791 ,172.0
Lunge (both legs)                  ,0.6137689614935822 ,0.6032110091743119,0.6247030878859857 ,421.0
Ball Slam                          ,0.5733041575492341 ,0.5695652173913044,0.5770925110132159 ,227.0
Triceps Extension (standing - both),0.7720465890183029 ,0.7606557377049179,0.7837837837837838 ,296.0
Plank                              ,0.7443181818181819 ,0.7318435754189944,0.7572254335260116 ,865.0
Power Boat pose                    ,0.5953757225433527 ,0.6204819277108434,0.5722222222222222 ,180.0
Pushups                            ,0.6469673405909798 ,0.6322188449848024,0.6624203821656051 ,314.0
Rowing machine                     ,0.8623223909848113 ,0.8453410182516811,0.88               ,1000.0
Running                            ,0.8568958063121488 ,0.8550474547023296,0.8587521663778163 ,1154.0
Russian Twist                      ,0.7036450079239303 ,0.7092651757188498,0.6981132075471698 ,318.0
Seated Back Fly                    ,0.5032258064516129 ,0.52              ,0.4875             ,240.0
Shoulder Press                     ,0.7435387673956262 ,0.7450199203187251,0.7420634920634921 ,252.0
Squat                              ,0.6975967957276369 ,0.6925115970841617,0.7027572293207801 ,1487.0
Triceps Kickback                   ,0.5526011560693641 ,0.532293986636971 ,0.5745192307692307 ,416.0
Triceps extension (lying)          ,0.7649402390438248 ,0.75              ,0.7804878048780488 ,246.0
Dumbbell Curl                      ,0.7120567375886524 ,0.6991643454038997,0.7254335260115607 ,346.0
V-up                               ,0.7789799072642968 ,0.7826086956521741,0.7753846153846153 ,325.0
Walk                               ,0.8266530508041868 ,0.8214104515474379,0.8319630010277492 ,1946.0
Walking lunge                      ,0.650231124807396  ,0.6317365269461078,0.6698412698412698 ,315.0
Wall Ball                          ,0.7569060773480663 ,0.7405405405405405,0.7740112994350282 ,177.0
Wall Squat                         ,0.3709090909090909 ,0.3558139534883721,0.3873417721518987 ,395.0
accuracy                           ,0.8214935843360122 ,0.8214935843360122,0.8214935843360122 ,0.8214935843360122
macro avg                          ,0.6543947308146301 ,0.650329152539854 ,0.659005962330045  ,45046.0
weighted avg                       ,0.8222692288446138 ,0.8232346966404754,0.8214935843360122 ,45046.0
