Unnamed: 0                         ,f1-score           ,precision          ,recall             ,support
Noise                              ,0.8462536512936508 ,0.8087849128670327 ,0.8873626773372135 ,68725.0
Band Pull-Down Row                 ,0.1340909090909091 ,0.14786967418546365,0.12266112266112268,481.0
Bicep Curl                         ,0.5990818668706962 ,0.5521861777150917 ,0.6546822742474916 ,1196.0
Box Jump (on bench)                ,0.35114503816793896,0.3770491803278688 ,0.32857142857142857,70.0
Burpee                             ,0.1881754609027336 ,0.23125            ,0.15862808145766344,933.0
Butterfly sit-up                   ,0.5008453879391321 ,0.5164664858581945 ,0.4861415025528811 ,2742.0
Chest Press                        ,0.3941747572815534 ,0.4068136272545089 ,0.3822975517890772 ,531.0
Crunch                             ,0.4426470588235294 ,0.5253054101221639 ,0.38246505717916135,787.0
Dip                                ,0.2037201062887511 ,0.22115384615384612,0.18883415435139567,609.0
Dumbbell Deadlift Row              ,0.19674670797831134,0.2239858906525573 ,0.17541436464088395,724.0
Dumbbell Row (both)                ,0.2433405327573794 ,0.2980599647266314 ,0.20559610705596107,822.0
Dumbbell Row (right)               ,0.13840830449826988,0.16666666666666666,0.11834319526627217,169.0
Dumbbell Squat (hands at side)     ,0.3410526315789474 ,0.3869426751592357 ,0.3048933500627353 ,797.0
Elliptical machine                 ,0.7038641483278462 ,0.6437400950871632 ,0.7763761467889908 ,2616.0
Punches                            ,0.6580756013745704 ,0.6839285714285714 ,0.6341059602649006 ,604.0
Jump Rope                          ,0.7711835334476843 ,0.7800138792505205 ,0.7625508819538671 ,1474.0
Jumping Jacks                      ,0.848381601362862  ,0.8383838383838383 ,0.8586206896551725 ,290.0
Kettlebell Swing                   ,0.6200177147918512 ,0.6172839506172839 ,0.6227758007117438 ,562.0
Lateral Raise                      ,0.4057084607543324 ,0.471563981042654  ,0.3559928443649374 ,559.0
Lawnmower (both)                   ,0.2696629213483146 ,0.375              ,0.21052631578947367,57.0
Lawnmower (right)                  ,0.21512605042016808,0.37869822485207105,0.15023474178403756,426.0
Lunge (both legs)                  ,0.2526439482961222 ,0.3338509316770186 ,0.2032136105860113 ,1058.0
Ball Slam                          ,0.3340909090909091 ,0.4681528662420382 ,0.2597173144876325 ,566.0
Triceps Extension (standing - both),0.4720965309200603 ,0.540587219343696  ,0.4190093708165997 ,747.0
Plank                              ,0.7893601725377427 ,0.8145400593471809 ,0.7656903765690377 ,2151.0
Power Boat pose                    ,0.5923076923076923 ,0.6875             ,0.5202702702702703 ,444.0
Pushups                            ,0.3432835820895523 ,0.4114490161001789 ,0.29449423815621   ,781.0
Rowing machine                     ,0.610751818916734  ,0.6157294213528932 ,0.6058540497193264 ,2494.0
Running                            ,0.7593078133193497 ,0.7637130801687764 ,0.7549530761209593 ,2877.0
Russian Twist                      ,0.5667896678966791 ,0.7032967032967034 ,0.4746600741656366 ,809.0
Seated Back Fly                    ,0.25814234016887816,0.44583333333333336,0.18166383701188452,589.0
Shoulder Press                     ,0.1362530413625304 ,0.3181818181818182 ,0.08668730650154799,646.0
Squat                              ,0.4413054067218705 ,0.5535641547861507 ,0.3669006479481641 ,3704.0
Triceps Kickback                   ,0.3795440542205792 ,0.5283018867924528 ,0.29615384615384616,1040.0
Triceps extension (lying)          ,0.6561679790026248 ,0.7088846880907372 ,0.6107491856677525 ,614.0
Dumbbell Curl                      ,0.6250757116898851 ,0.6531645569620254 ,0.5993031358885017 ,861.0
V-up                               ,0.5190947666195191 ,0.6096345514950167 ,0.4519704433497537 ,812.0
Walk                               ,0.7160721607216072 ,0.7144610349764778 ,0.7176905691391    ,4867.0
Walking lunge                      ,0.2669983416252073 ,0.3806146572104019 ,0.20561941251596424,783.0
Wall Ball                          ,0.1950413223140496 ,0.3410404624277457 ,0.13657407407407407,432.0
Wall Squat                         ,0.4135839902971498 ,0.5158850226928896 ,0.3451417004048583 ,988.0
accuracy                           ,0.7374085043179737 ,0.7374085043179737 ,0.7374085043179737 ,0.7374085043179737
macro avg                          ,0.4487710657419067 ,0.5063300613860707 ,0.4161802631227693 ,112437.0
weighted avg                       ,0.7218248373865278 ,0.7156013469549712 ,0.7374085043179737 ,112437.0
