                                           ,f1-score           ,precision          ,recall              ,support
No activity                                ,0.9226736566186108 ,0.91734921816828   ,0.928060263653484   ,5310.0
Walking                                    ,0.7592067988668556 ,0.6871794871794872 ,0.8481012658227848  ,158.0
Jogging                                    ,0.8768115942028986 ,0.8287671232876712 ,0.9307692307692308  ,130.0
Running                                    ,0.9133858267716536 ,0.8992248062015504 ,0.928               ,125.0
Jump up                                    ,0.05555555555555555,0.07692307692307693,0.043478260869565216,23.0
Jump front and back                        ,0.14084507042253522,0.17857142857142858,0.11627906976744186 ,43.0
Jump sideways                              ,0.275              ,0.3235294117647059 ,0.2391304347826087  ,46.0
Jump leg/arms open/closed                  ,0.7391304347826085 ,0.7391304347826086 ,0.7391304347826086  ,46.0
Jump rope                                  ,0.5116279069767441 ,0.6875             ,0.4074074074074074  ,27.0
Trunk twist (arms outstretched)            ,0.9080459770114943 ,0.9080459770114943 ,0.9080459770114943  ,87.0
Trunk twist (elbows bent)                  ,0.8609271523178809 ,0.8227848101265823 ,0.9027777777777778  ,72.0
Waist bends forward                        ,0.8                ,0.717391304347826  ,0.9041095890410958  ,73.0
Waist rotation                             ,0.784              ,0.7424242424242424 ,0.8305084745762712  ,59.0
Waist bends (reach foot with opposite hand),0.887218045112782  ,0.8939393939393939 ,0.8805970149253731  ,67.0
Reach heels backwards                      ,0.8035714285714286 ,0.8181818181818182 ,0.7894736842105263  ,57.0
Lateral bend                               ,0.5227272727272727 ,0.6052631578947368 ,0.46                ,50.0
Lateral bend with arm up                   ,0.6458333333333333 ,0.7209302325581395 ,0.5849056603773585  ,53.0
Repetitive forward stretching              ,0.6666666666666667 ,0.6896551724137931 ,0.6451612903225806  ,31.0
Upper trunk and lower body opposite twist  ,0.6363636363636364 ,0.8076923076923077 ,0.525               ,40.0
Lateral elevation of arms                  ,0.6666666666666666 ,0.7368421052631579 ,0.6086956521739131  ,46.0
Frontal elevation of arms                  ,0.7083333333333334 ,0.7391304347826086 ,0.68                ,50.0
Frontal hand claps                         ,0.7272727272727273 ,0.7272727272727273 ,0.7272727272727273  ,44.0
Frontal crossing of arms                   ,0.7619047619047619 ,0.7692307692307693 ,0.7547169811320755  ,53.0
Shoulders high-amplitude rotation          ,0.6190476190476191 ,0.6842105263157895 ,0.5652173913043478  ,46.0
Shoulders low-amplitude rotation           ,0.10256410256410255,0.18181818181818182,0.07142857142857142 ,28.0
Arms inner rotation                        ,0.3384615384615384 ,0.4074074074074074 ,0.2894736842105263  ,38.0
Knees (alternating) to the breast          ,0.18181818181818182,0.6666666666666666 ,0.10526315789473684 ,19.0
Heels (alternatively) to the backside      ,0.22222222222222224,0.5                ,0.14285714285714285 ,21.0
Knees bending (crouching)                  ,0.8702290076335878 ,0.8636363636363636 ,0.8769230769230769  ,65.0
Knees (alternating) bending forward        ,0.8666666666666667 ,0.8666666666666667 ,0.8666666666666667  ,75.0
Rotation on the knees                      ,0.6097560975609756 ,0.625              ,0.5952380952380952  ,42.0
Rowing                                     ,0.8926553672316385 ,0.8586956521739131 ,0.9294117647058824  ,85.0
Elliptical bike                            ,0.8760330578512396 ,0.848              ,0.905982905982906   ,117.0
Cycling                                    ,0.9635627530364372 ,0.952              ,0.9754098360655737  ,122.0
accuracy                                   ,0.8775176918889493 ,0.8775176918889493 ,0.8775176918889493  ,0.8775176918889493
macro avg                                  ,0.6504936605756957 ,0.6909135560206882 ,0.6383968673515837  ,7348.0
weighted avg                               ,0.8718809426629958 ,0.8702239768662724 ,0.8775176918889493  ,7348.0
