Unnamed: 0                         ,f1-score            ,precision           ,recall               ,support
Noise                              ,0.3227448996796493  ,0.7292560891981815  ,0.2072287939259655   ,138557.0
Band Pull-Down Row                 ,0.29944547134935307 ,0.36762481089258703 ,0.2525987525987526   ,962.0
Bicep Curl                         ,0.4093380236648545  ,0.3334201615003907  ,0.5300207039337475   ,2415.0
Box Jump (on bench)                ,0.020618556701030927,0.02                ,0.02127659574468085  ,141.0
Burpee                             ,0.27528548123980423 ,0.2225519287833828  ,0.3607696419027258   ,1871.0
Butterfly sit-up                   ,0.2855867119128416  ,0.2822096717260854  ,0.2890455531453362   ,5532.0
Chest Press                        ,0.4164395051373453  ,0.2692516268980477  ,0.9185938945420906   ,1081.0
Crunch                             ,0.39339339339339335 ,0.4829493087557604  ,0.3318556048131729   ,1579.0
Dip                                ,0.3808548758638341  ,0.27781926811053026 ,0.6053702196908055   ,1229.0
Dumbbell Deadlift Row              ,0.329564919492977   ,0.32698844323589393 ,0.33218232044198903  ,1448.0
Dumbbell Row (both)                ,0.008995502248875563,0.026946107784431142,0.0053989202159568095,1667.0
Dumbbell Row (right)               ,0.2918918918918919  ,0.271356783919598   ,0.3157894736842105   ,342.0
Dumbbell Squat (hands at side)     ,0.1609807442263637  ,0.0893532201525878  ,0.8114856429463171   ,1602.0
Elliptical machine                 ,0.7604349351104877  ,0.7078028077048645  ,0.8215233042819251   ,5278.0
Punches                            ,0.7777319587628866  ,0.7832225913621262  ,0.7723177723177723   ,1221.0
Jump Rope                          ,0.4981991067569514  ,0.43562610229276894 ,0.5817631224764468   ,2972.0
Jumping Jacks                      ,0.6500607533414338  ,0.5032925682031985  ,0.9176672384219554   ,583.0
Kettlebell Swing                   ,0.40625             ,0.2899810964083176  ,0.6781609195402298   ,1131.0
Lateral Raise                      ,0.2204724409448819  ,0.17114914425427874 ,0.3097345132743363   ,1130.0
Lawnmower (both)                   ,0.0                 ,0.0                 ,0.0                  ,116.0
Lawnmower (right)                  ,0.07917228969860549 ,0.06437454279444038 ,0.10280373831775699  ,856.0
Lunge (both legs)                  ,0.11060711793440334 ,0.08793342579750346 ,0.14903620122237893  ,2127.0
Ball Slam                          ,0.14361001317523056 ,0.11491829204006325 ,0.19139596136962247  ,1139.0
Triceps Extension (standing - both),0.5598073320845599  ,0.46592427616926496 ,0.7010723860589813   ,1492.0
Plank                              ,0.11695079396799532 ,0.06266679845804092 ,0.8742817743047575   ,4351.0
Power Boat pose                    ,0.16071245777459311 ,0.08851054233848235 ,0.8722222222222222   ,900.0
Pushups                            ,0.4496124031007752  ,0.3633516053249804  ,0.5895806861499364   ,1574.0
Rowing machine                     ,0.4917505892436255  ,0.533224907063197   ,0.4562624254473161   ,5030.0
Running                            ,0.7466048360384233  ,0.7180630774131889  ,0.7775094860296654   ,5798.0
Russian Twist                      ,0.30710734132787365 ,0.2915047196002221  ,0.32447466007416564  ,1618.0
Seated Back Fly                    ,0.07862759113652609 ,0.2644230769230769  ,0.04617968094038623  ,1191.0
Shoulder Press                     ,0.3813280736357659  ,0.33237822349570195 ,0.4471858134155744   ,1297.0
Squat                              ,0.030295968305756232,0.11786038077969176 ,0.017382002941569732 ,7479.0
Triceps Kickback                   ,0.3758348512446873  ,0.5175585284280937  ,0.2950428979980934   ,2098.0
Triceps extension (lying)          ,0.3796220213640098  ,0.3879093198992443  ,0.3716814159292036   ,1243.0
Dumbbell Curl                      ,0.27093596059113306 ,0.2580813347236705  ,0.2851382488479263   ,1736.0
V-up                               ,0.42458736482640863 ,0.3980789754535752  ,0.4548780487804878   ,1640.0
Walk                               ,0.5142023797686521  ,0.3809734295957959  ,0.7907237512742099   ,9810.0
Walking lunge                      ,0.3261564106125851  ,0.20908281389136246 ,0.7411616161616161   ,1584.0
Wall Ball                          ,0.5409504550050557  ,0.4837251356238698  ,0.6135321100917431   ,872.0
Wall Squat                         ,0.05147679324894515 ,0.04444444444444445 ,0.061152882205513785 ,1995.0
accuracy                           ,0.31991688980841426 ,0.31991688980841426 ,0.31991688980841426  ,0.31991688980841426
macro avg                          ,0.32800590770254795 ,0.3116046239375839  ,0.44452392677272057  ,226687.0
weighted avg                       ,0.34123361842621996 ,0.5792953376719775  ,0.31991688980841426  ,226687.0
