Unnamed: 0                         ,f1-score           ,precision           ,recall              ,support
Noise                              ,0.4906570484964367 ,0.8520866349709456  ,0.34452140481493915 ,32773.0
Band Pull-Down Row                 ,0.4043956043956044 ,0.4070796460176992  ,0.4017467248908297  ,229.0
Bicep Curl                         ,0.5207843137254902 ,0.4715909090909091  ,0.5814360770577933  ,571.0
Box Jump (on bench)                ,0.08771929824561403,0.061728395061728385,0.15151515151515152 ,33.0
Burpee                             ,0.45579567779960706,0.4020797227036395  ,0.5260770975056689  ,441.0
Butterfly sit-up                   ,0.4710038269060937 ,0.3836930455635492  ,0.6097560975609756  ,1312.0
Chest Press                        ,0.4570877531340405 ,0.3038461538461538  ,0.9221789883268484  ,257.0
Crunch                             ,0.5158831003811944 ,0.4951219512195122  ,0.5384615384615384  ,377.0
Dip                                ,0.4189886480908152 ,0.2994100294985251  ,0.6975945017182129  ,291.0
Dumbbell Deadlift Row              ,0.3758389261744967 ,0.3517587939698493  ,0.4034582132564842  ,347.0
Dumbbell Row (both)                ,0.109375           ,0.11170212765957446 ,0.10714285714285714 ,392.0
Dumbbell Row (right)               ,0.1923076923076923 ,0.15748031496062992 ,0.2469135802469136  ,81.0
Dumbbell Squat (hands at side)     ,0.24855967078189295,0.14724524622135546 ,0.7968337730870713  ,379.0
Elliptical machine                 ,0.7116943265148591 ,0.6885735623599701  ,0.7364217252396166  ,1252.0
Punches                            ,0.8224956063268893 ,0.8387096774193549  ,0.8068965517241379  ,290.0
Jump Rope                          ,0.5182443151771549 ,0.4128053917438922  ,0.6960227272727273  ,704.0
Jumping Jacks                      ,0.6809651474530831 ,0.5404255319148936  ,0.9202898550724636  ,138.0
Kettlebell Swing                   ,0.4954545454545454 ,0.3562091503267974  ,0.8134328358208955  ,268.0
Lateral Raise                      ,0.3748517200474497 ,0.2747826086956522  ,0.5895522388059702  ,268.0
Lawnmower (both)                   ,0.0                ,0.0                 ,0.0                 ,27.0
Lawnmower (right)                  ,0.209375           ,0.15296803652968036 ,0.3316831683168317  ,202.0
Lunge (both legs)                  ,0.1771356783919598 ,0.12995391705069126 ,0.2781065088757396  ,507.0
Ball Slam                          ,0.4228395061728395 ,0.36339522546419106 ,0.5055350553505535  ,271.0
Triceps Extension (standing - both),0.7249357326478149 ,0.6635294117647059  ,0.7988668555240793  ,353.0
Plank                              ,0.15089948984158238,0.08309512074913751 ,0.8200389105058365  ,1028.0
Power Boat pose                    ,0.19191374663072772,0.10840438489646773 ,0.8356807511737089  ,213.0
Pushups                            ,0.34307992202729043,0.2687022900763359  ,0.4743935309973046  ,371.0
Rowing machine                     ,0.6810891458411039 ,0.612751677852349   ,0.7665827036104114  ,1191.0
Running                            ,0.7641149982680985 ,0.7280528052805281  ,0.8039358600583091  ,1372.0
Russian Twist                      ,0.36186348862405204,0.30925925925925923 ,0.4360313315926893  ,383.0
Seated Back Fly                    ,0.16445623342175067,0.3297872340425532  ,0.10954063604240284 ,283.0
Shoulder Press                     ,0.4369747899159664 ,0.4545454545454545  ,0.4207119741100324  ,309.0
Squat                              ,0.02581311306143521,0.15151515151515152 ,0.014108352144469524,1772.0
Triceps Kickback                   ,0.43383356070941337,0.6824034334763949  ,0.318               ,500.0
Triceps extension (lying)          ,0.6757215619694398 ,0.6655518394648829  ,0.6862068965517242  ,290.0
Dumbbell Curl                      ,0.4517543859649123 ,0.4095427435387674  ,0.5036674816625917  ,409.0
V-up                               ,0.6611374407582938 ,0.6158940397350994  ,0.7135549872122762  ,391.0
Walk                               ,0.5713876146788991 ,0.4280498281786941  ,0.8590517241379311  ,2320.0
Walking lunge                      ,0.326984126984127  ,0.2036914963744232  ,0.8284182305630027  ,373.0
Wall Ball                          ,0.6502057613168725 ,0.5622775800711743  ,0.7707317073170732  ,205.0
Wall Squat                         ,0.11326378539493295,0.0871559633027523  ,0.16170212765957448 ,470.0
accuracy                           ,0.4403184012825532 ,0.4403184012825532  ,0.4403184012825532  ,0.4403184012825532
macro avg                          ,0.411972714732548  ,0.3796794094247152  ,0.5445561154372595  ,53643.0
weighted avg                       ,0.4729843244183038 ,0.6776559255983133  ,0.4403184012825532  ,53643.0
