Unnamed: 0                         ,f1-score            ,precision          ,recall              ,support
Noise                              ,0.4945549945549945  ,0.8491415944246133 ,0.34887212794189537 ,28638.0
Band Pull-Down Row                 ,0.4263959390862944  ,0.4329896907216495 ,0.42                ,200.0
Bicep Curl                         ,0.5565371024734982  ,0.4952830188679245 ,0.6350806451612904  ,496.0
Box Jump (on bench)                ,0.1875              ,0.13636363636363635,0.3                 ,30.0
Burpee                             ,0.448087431693989   ,0.38752362948960295,0.5310880829015544  ,386.0
Butterfly sit-up                   ,0.4734614132204493  ,0.3784487246225924 ,0.6321739130434783  ,1150.0
Chest Press                        ,0.4586129753914989  ,0.3059701492537313 ,0.9151785714285714  ,224.0
Crunch                             ,0.5059880239520959  ,0.4941520467836257 ,0.5184049079754601  ,326.0
Dip                                ,0.43649815043156603 ,0.3177737881508079 ,0.6968503937007874  ,254.0
Dumbbell Deadlift Row              ,0.3560732113144759  ,0.3554817275747508 ,0.3566666666666667  ,300.0
Dumbbell Row (both)                ,0.1417142857142857  ,0.1167608286252354 ,0.18023255813953487 ,344.0
Dumbbell Row (right)               ,0.23529411764705885 ,0.19801980198019806,0.2898550724637681  ,69.0
Dumbbell Squat (hands at side)     ,0.1902860944777112  ,0.12222222222222222,0.4294294294294294  ,333.0
Elliptical machine                 ,0.7142857142857143  ,0.6915807560137457 ,0.7385321100917431  ,1090.0
Punches                            ,0.8266129032258064  ,0.8471074380165289 ,0.8070866141732284  ,254.0
Jump Rope                          ,0.5341389728096676  ,0.4237775647171621 ,0.7222222222222222  ,612.0
Jumping Jacks                      ,0.6748466257668709  ,0.5365853658536586 ,0.9090909090909092  ,121.0
Kettlebell Swing                   ,0.5184174624829468  ,0.3815261044176707 ,0.8085106382978723  ,235.0
Lateral Raise                      ,0.3705650459921157  ,0.2675521821631879 ,0.6025641025641025  ,234.0
Lawnmower (both)                   ,0.0                 ,0.0                ,0.0                 ,24.0
Lawnmower (right)                  ,0.16058394160583944 ,0.10784313725490197,0.3142857142857143  ,175.0
Lunge (both legs)                  ,0.3066597831698503  ,0.198              ,0.6796338672768879  ,437.0
Ball Slam                          ,0.4249084249084249  ,0.37540453074433655,0.489451476793249   ,237.0
Triceps Extension (standing - both),0.7134328358208955  ,0.6602209944751382 ,0.7759740259740259  ,308.0
Plank                              ,0.1560767590618337  ,0.08632075471698113,0.8133333333333334  ,900.0
Power Boat pose                    ,0.19142324425108764 ,0.10814606741573034,0.8324324324324325  ,185.0
Pushups                            ,0.339662447257384   ,0.2563694267515924 ,0.503125            ,320.0
Rowing machine                     ,0.6635750421585159  ,0.5917293233082707 ,0.755278310940499   ,1042.0
Running                            ,0.7593328038125496  ,0.7236941710825132 ,0.7986633249791144  ,1197.0
Russian Twist                      ,0.3787289234760051  ,0.3340961098398169 ,0.43712574850299396 ,334.0
Seated Back Fly                    ,0.19939577039274928 ,0.3793103448275862 ,0.13524590163934427 ,244.0
Shoulder Press                     ,0.43364485981308415 ,0.43609022556390975,0.4312267657992565  ,269.0
Squat                              ,0.019312009656004832,0.1415929203539823 ,0.010362694300518135,1544.0
Triceps Kickback                   ,0.440422322775264   ,0.6431718061674009 ,0.3348623853211009  ,436.0
Triceps extension (lying)          ,0.701688555347092   ,0.6750902527075813 ,0.73046875          ,256.0
Dumbbell Curl                      ,0.4083769633507853  ,0.38235294117647056,0.4382022471910113  ,356.0
V-up                               ,0.6904422253922966  ,0.6685082872928176 ,0.7138643067846607  ,339.0
Walk                               ,0.5781275618953927  ,0.4329567779960707 ,0.8697582634435126  ,2027.0
Walking lunge                      ,0.3163664839467502  ,0.2135306553911205 ,0.6102719033232629  ,331.0
Wall Ball                          ,0.6382978723404255  ,0.5510204081632653 ,0.7584269662921348  ,178.0
Wall Squat                         ,0.18473895582329314 ,0.1276595744680851 ,0.3341404358353511  ,413.0
accuracy                           ,0.4457821038251366  ,0.4457821038251366 ,0.4457821038251366  ,0.4457821038251366
macro avg                          ,0.4208553231896723  ,0.38613095073073456,0.5514139712131931  ,46848.0
weighted avg                       ,0.477576521657283   ,0.6768988247302563 ,0.4457821038251366  ,46848.0
