                                           ,f1-score           ,precision           ,recall             ,support
No activity                                ,0.6584842387659289 ,0.9937246963562752  ,0.49237713139418254,9970.0
Walking                                    ,0.3329452852153667 ,0.20155038759689922 ,0.9565217391304348 ,299.0
Jogging                                    ,0.7663551401869159 ,0.702054794520548   ,0.8436213991769548 ,243.0
Running                                    ,0.837573385518591  ,0.7508771929824561  ,0.9469026548672567 ,226.0
Jump up                                    ,0.3582089552238806 ,0.2696629213483146  ,0.5333333333333333 ,45.0
Jump front and back                        ,0.4858757062146893 ,0.4574468085106383  ,0.5180722891566265 ,83.0
Jump sideways                              ,0.41379310344827586,0.6857142857142857  ,0.2962962962962963 ,81.0
Jump leg/arms open/closed                  ,0.8333333333333334 ,0.8241758241758241  ,0.8426966292134831 ,89.0
Jump rope                                  ,0.6271186440677965 ,0.5441176470588235  ,0.74               ,50.0
Trunk twist (arms outstretched)            ,0.7072243346007605 ,0.9029126213592233  ,0.58125            ,160.0
Trunk twist (elbows bent)                  ,0.514161220043573  ,0.36419753086419754 ,0.8740740740740741 ,135.0
Waist bends forward                        ,0.7341040462427746 ,0.6076555023923444  ,0.927007299270073  ,137.0
Waist rotation                             ,0.41379310344827586,0.2626728110599078  ,0.9743589743589743 ,117.0
Waist bends (reach foot with opposite hand),0.9008264462809917 ,0.9478260869565217  ,0.8582677165354331 ,127.0
Reach heels backwards                      ,0.7083333333333334 ,0.625               ,0.8173076923076923 ,104.0
Lateral bend                               ,0.10311493018259936,0.054390934844192634,0.9896907216494846 ,97.0
Lateral bend with arm up                   ,0.40540540540540543,0.25862068965517243 ,0.9375             ,96.0
Repetitive forward stretching              ,0.7153284671532846 ,0.6363636363636364  ,0.8166666666666667 ,60.0
Upper trunk and lower body opposite twist  ,0.6011560693641619 ,0.49056603773584906 ,0.7761194029850746 ,67.0
Lateral elevation of arms                  ,0.6875             ,0.7333333333333333  ,0.6470588235294118 ,85.0
Frontal elevation of arms                  ,0.41469816272965876,0.2762237762237762  ,0.8315789473684211 ,95.0
Frontal hand claps                         ,0.743718592964824  ,0.6666666666666666  ,0.8409090909090909 ,88.0
Frontal crossing of arms                   ,0.7000000000000001 ,0.6862745098039216  ,0.7142857142857143 ,98.0
Shoulders high-amplitude rotation          ,0.6018518518518519 ,0.4961832061068702  ,0.7647058823529411 ,85.0
Shoulders low-amplitude rotation           ,0.3085714285714286 ,0.23275862068965517 ,0.4576271186440678 ,59.0
Arms inner rotation                        ,0.3783783783783784 ,0.24669603524229075 ,0.8115942028985508 ,69.0
Knees (alternating) to the breast          ,0.5862068965517242 ,0.6538461538461539  ,0.53125            ,32.0
Heels (alternatively) to the backside      ,0.6352941176470588 ,0.5625              ,0.7297297297297297 ,37.0
Knees bending (crouching)                  ,0.7474747474747475 ,0.6306818181818182  ,0.9173553719008265 ,121.0
Knees (alternating) bending forward        ,0.5106382978723404 ,0.3548387096774194  ,0.9103448275862069 ,145.0
Rotation on the knees                      ,0.5572519083969466 ,0.3989071038251366  ,0.9240506329113924 ,79.0
Rowing                                     ,0.5136054421768707 ,0.34553775743707094 ,1.0                ,151.0
Elliptical bike                            ,0.7179487179487178 ,0.5975609756097561  ,0.8990825688073395 ,218.0
Cycling                                    ,0.9777777777777777 ,0.9777777777777777  ,0.9777777777777777 ,225.0
accuracy                                   ,0.5883249836636898 ,0.5883249836636898  ,0.5883249836636898 ,0.5883249836636898
macro avg                                  ,0.5940603373050666 ,0.5423328486446105  ,0.784688667915221  ,13773.0
weighted avg                               ,0.6476133601852717 ,0.8712136345360345  ,0.5883249836636898 ,13773.0
