Unnamed: 0                         ,f1-score            ,precision           ,recall              ,support
Noise                              ,0.8441200799974871  ,0.8132515535469292  ,0.8774244106314896  ,45939.0
Band Pull-Down Row                 ,0.2861952861952862  ,0.3102189781021898  ,0.265625            ,320.0
Bicep Curl                         ,0.39434810533076425 ,0.40341655716162944 ,0.38567839195979897 ,796.0
Box Jump (on bench)                ,0.0                 ,0.0                 ,0.0                 ,48.0
Burpee                             ,0.4110007639419405  ,0.3904208998548621  ,0.4338709677419355  ,620.0
Butterfly sit-up                   ,0.5211654755360088  ,0.5263742365352582  ,0.5160587915078934  ,1837.0
Chest Press                        ,0.451219512195122   ,0.4949832775919733  ,0.41456582633053213 ,357.0
Crunch                             ,0.3856988082340195  ,0.44611528822055135 ,0.33969465648854963 ,524.0
Dip                                ,0.4169787765293384  ,0.4227848101265823  ,0.4113300492610837  ,406.0
Dumbbell Deadlift Row              ,0.2851018220793141  ,0.29359823399558505 ,0.2770833333333333  ,480.0
Dumbbell Row (both)                ,0.17132216014897578 ,0.17692307692307693 ,0.16606498194945848 ,554.0
Dumbbell Row (right)               ,0.045454545454545456,0.045871559633027525,0.045045045045045036,111.0
Dumbbell Squat (hands at side)     ,0.4765868886576483  ,0.5350467289719626  ,0.4296435272045028  ,533.0
Elliptical machine                 ,0.6050913838120106  ,0.7044072948328267  ,0.5303203661327232  ,1748.0
Punches                            ,0.7218045112781954  ,0.7422680412371134  ,0.7024390243902439  ,410.0
Jump Rope                          ,0.568               ,0.5585054080629301  ,0.5778229908443541  ,983.0
Jumping Jacks                      ,0.5965770171149145  ,0.5674418604651162  ,0.6288659793814433  ,194.0
Kettlebell Swing                   ,0.5244956772334294  ,0.5669781931464174  ,0.4879356568364611  ,373.0
Lateral Raise                      ,0.3083219645293315  ,0.31741573033707865 ,0.2997347480106101  ,377.0
Lawnmower (both)                   ,0.0                 ,0.0                 ,0.0                 ,38.0
Lawnmower (right)                  ,0.17821782178217824 ,0.20270270270270271 ,0.15901060070671375 ,283.0
Lunge (both legs)                  ,0.3174835405998537  ,0.32829046898638425 ,0.3073654390934844  ,706.0
Ball Slam                          ,0.37864077669902907 ,0.3521444695259593  ,0.4094488188976378  ,381.0
Triceps Extension (standing - both),0.621105527638191   ,0.6204819277108434  ,0.6217303822937625  ,497.0
Plank                              ,0.6239534037131416  ,0.6582181259600615  ,0.5930795847750865  ,1445.0
Power Boat pose                    ,0.4771929824561403  ,0.5018450184501845  ,0.4548494983277592  ,299.0
Pushups                            ,0.567703109327984   ,0.5920502092050209  ,0.5452793834296724  ,519.0
Rowing machine                     ,0.6246904846126636  ,0.7585910652920962  ,0.5309681298857486  ,1663.0
Running                            ,0.6703012912482067  ,0.7482383087764254  ,0.6070686070686071  ,1924.0
Russian Twist                      ,0.2877846790890269  ,0.32325581395348835 ,0.2593283582089552  ,536.0
Seated Back Fly                    ,0.3434903047091413  ,0.3839009287925697  ,0.3107769423558897  ,399.0
Shoulder Press                     ,0.5930372148859544  ,0.6144278606965174  ,0.5730858468677494  ,431.0
Squat                              ,0.5275437459494491  ,0.5652777777777778  ,0.4945321992709599  ,2469.0
Triceps Kickback                   ,0.3960695389266818  ,0.4185303514376997  ,0.375896700143472   ,697.0
Triceps extension (lying)          ,0.5296551724137931  ,0.6134185303514377  ,0.4660194174757282  ,412.0
Dumbbell Curl                      ,0.4091324200913242  ,0.4307692307692308  ,0.3895652173913043  ,575.0
V-up                               ,0.5719591457753018  ,0.5811320754716981  ,0.5630712979890311  ,547.0
Walk                               ,0.5561535701471116  ,0.6678155967255494  ,0.4764832462342453  ,3253.0
Walking lunge                      ,0.3009708737864078  ,0.30753968253968256 ,0.2946768060836502  ,526.0
Wall Ball                          ,0.512987012987013   ,0.4846625766871165  ,0.5448275862068965  ,290.0
Wall Squat                         ,0.2166543846720708  ,0.21030042918454936 ,0.22340425531914893 ,658.0
accuracy                           ,0.7164905931504297  ,0.7164905931504297  ,0.7164905931504297  ,0.7164905931504297
macro avg                          ,0.4321514580433901  ,0.4556003629205392  ,0.4143822454896333  ,75158.0
weighted avg                       ,0.7092286863071311  ,0.7075481999089961  ,0.7164905931504297  ,75158.0
