Unnamed: 0                         ,f1-score             ,precision           ,recall               ,support
Noise                              ,0.780925813372398    ,0.7051144945074531  ,0.8750029102931247   ,171804.0
Band Pull-Down Row                 ,0.016614745586708203 ,0.021887824897400817,0.013389121338912131 ,1195.0
Bicep Curl                         ,0.2801190662697791   ,0.26395039858281666 ,0.2983978638184246   ,2996.0
Box Jump (on bench)                ,0.07643312101910829  ,0.08633093525179858 ,0.06857142857142857  ,175.0
Burpee                             ,0.06429512516469038  ,0.08271186440677966 ,0.052586206896551725 ,2320.0
Butterfly sit-up                   ,0.199879797372714    ,0.24315855441821602 ,0.16967930029154518  ,6860.0
Chest Press                        ,0.04830421377183967  ,0.07755775577557755 ,0.035074626865671636 ,1340.0
Crunch                             ,0.09497010200492438  ,0.15254237288135594 ,0.06894790602655773  ,1958.0
Dip                                ,0.058210251954821886 ,0.08556832694763729 ,0.044107965766951945 ,1519.0
Dumbbell Deadlift Row              ,0.01912350597609562  ,0.03361344537815126 ,0.0133630289532294   ,1796.0
Dumbbell Row (both)                ,0.03924133420536298  ,0.06054490413723512 ,0.02902757619738752  ,2067.0
Dumbbell Row (right)               ,0.0064516129032258064,0.010204081632653059,0.0047169811320754715,424.0
Dumbbell Squat (hands at side)     ,0.061680255228642324 ,0.10481927710843374 ,0.04369663485685585  ,1991.0
Elliptical machine                 ,0.5242873068960026   ,0.5477537437603993  ,0.5027489309712889   ,6548.0
Punches                            ,0.33786539768864715  ,0.3492621222768798  ,0.3271889400921659   ,1519.0
Jump Rope                          ,0.4413649232603189   ,0.4887788778877888  ,0.40233632165172506  ,3681.0
Jumping Jacks                      ,0.5050193050193049   ,0.5716783216783217  ,0.4522821576763486   ,723.0
Kettlebell Swing                   ,0.3337160352085725   ,0.3609271523178808  ,0.3103202846975089   ,1405.0
Lateral Raise                      ,0.11221719457013574  ,0.15346534653465346 ,0.0884450784593438   ,1402.0
Lawnmower (both)                   ,0.0                  ,0.0                 ,0.0                  ,143.0
Lawnmower (right)                  ,0.09308692676249143  ,0.17215189873417722 ,0.06378986866791744  ,1066.0
Lunge (both legs)                  ,0.05631446891552831  ,0.10642781875658587 ,0.03828658074298711  ,2638.0
Ball Slam                          ,0.14107485604606526  ,0.21940298507462688 ,0.10396039603960396  ,1414.0
Triceps Extension (standing - both),0.2126549249836921   ,0.2694214876033058  ,0.17564655172413793  ,1856.0
Plank                              ,0.5855173752669385   ,0.6137566137566137  ,0.5597624350408315   ,5388.0
Power Boat pose                    ,0.340011448196909    ,0.4736842105263158  ,0.26517857142857143  ,1120.0
Pushups                            ,0.12665086352861496  ,0.18570009930486595 ,0.09609455292908532  ,1946.0
Rowing machine                     ,0.1635711270578303   ,0.2393452748610253  ,0.12423853799294644  ,6238.0
Running                            ,0.5238981998758534   ,0.5925925925925926  ,0.4694757335558337   ,7191.0
Russian Twist                      ,0.2385204081632653   ,0.3312666076173605  ,0.1863477827603388   ,2007.0
Seated Back Fly                    ,0.060331825037707384 ,0.11695906432748535 ,0.04065040650406504  ,1476.0
Shoulder Press                     ,0.016850974196945763 ,0.05693950177935943 ,0.009888751545117428 ,1618.0
Squat                              ,0.14629741119807346  ,0.2417309127082815  ,0.10488831337002266  ,9267.0
Triceps Kickback                   ,0.11385606874328677  ,0.18962432915921287 ,0.08135072908672293  ,2606.0
Triceps extension (lying)          ,0.16275984077841665  ,0.25274725274725274 ,0.12002609262883235  ,1533.0
Dumbbell Curl                      ,0.20837988826815645  ,0.2602930914166085  ,0.1737307871448533   ,2147.0
V-up                               ,0.19532500800512329  ,0.28058877644894203 ,0.14980353634577606  ,2036.0
Walk                               ,0.31844544688444953  ,0.4009987515605493  ,0.2640795856285456   ,12163.0
Walking lunge                      ,0.044220325833979834 ,0.09283387622149836 ,0.029022403258655807 ,1964.0
Wall Ball                          ,0.12261580381471388  ,0.23376623376623376 ,0.08310249307479224  ,1083.0
Wall Squat                         ,0.1576407506702413   ,0.2331482950039651  ,0.11907654921020655  ,2469.0
accuracy                           ,0.6174419762924594   ,0.6174419762924594  ,0.6174419762924594   ,0.6174419762924594
macro avg                          ,0.19582300121223356  ,0.24300608474020224 ,0.1721532664204132   ,281092.0
weighted avg                       ,0.5725427991513516   ,0.5482701039380151  ,0.6174419762924594   ,281092.0
