                                           ,f1-score           ,precision         ,recall             ,support
No activity                                ,0.9381330612839759 ,0.9304712344608268,0.9459221160911094 ,13610.0
Walking                                    ,0.6613995485327313 ,0.6078838174273858,0.7252475247524752 ,404.0
Jogging                                    ,0.7636363636363636 ,0.7146596858638743,0.8198198198198198 ,333.0
Running                                    ,0.8322368421052632 ,0.8489932885906041,0.8161290322580645 ,310.0
Jump up                                    ,0.48062015503875966,0.4696969696969697,0.49206349206349204,63.0
Jump front and back                        ,0.5699481865284974 ,0.6790123456790124,0.49107142857142855,112.0
Jump sideways                              ,0.735930735930736  ,0.7203389830508474,0.7522123893805309 ,113.0
Jump leg/arms open/closed                  ,0.8816326530612244 ,0.9               ,0.864              ,125.0
Jump rope                                  ,0.6474820143884893 ,0.625             ,0.6716417910447762 ,67.0
Trunk twist (arms outstretched)            ,0.9035294117647058 ,0.9458128078817734,0.8648648648648649 ,222.0
Trunk twist (elbows bent)                  ,0.8760330578512396 ,0.8833333333333333,0.8688524590163934 ,183.0
Waist bends forward                        ,0.7868020304568528 ,0.7451923076923077,0.8333333333333334 ,186.0
Waist rotation                             ,0.8344827586206895 ,0.8962962962962963,0.7806451612903226 ,155.0
Waist bends (reach foot with opposite hand),0.936046511627907  ,0.9470588235294117,0.9252873563218391 ,174.0
Reach heels backwards                      ,0.8175182481751825 ,0.8549618320610687,0.7832167832167832 ,143.0
Lateral bend                               ,0.7984790874524715 ,0.8015267175572519,0.7954545454545454 ,132.0
Lateral bend with arm up                   ,0.7538461538461538 ,0.7538461538461538,0.7538461538461538 ,130.0
Repetitive forward stretching              ,0.8930817610062892 ,0.922077922077922 ,0.8658536585365854 ,82.0
Upper trunk and lower body opposite twist  ,0.6107784431137725 ,0.7083333333333334,0.5368421052631579 ,95.0
Lateral elevation of arms                  ,0.6798029556650246 ,0.8117647058823529,0.5847457627118644 ,118.0
Frontal elevation of arms                  ,0.7615384615384615 ,0.7557251908396947,0.7674418604651163 ,129.0
Frontal hand claps                         ,0.7719298245614035 ,0.822429906542056 ,0.7272727272727273 ,121.0
Frontal crossing of arms                   ,0.8046874999999999 ,0.8728813559322034,0.7463768115942029 ,138.0
Shoulders high-amplitude rotation          ,0.6222222222222221 ,0.6422018348623854,0.603448275862069  ,116.0
Shoulders low-amplitude rotation           ,0.5228758169934641 ,0.5128205128205128,0.5333333333333333 ,75.0
Arms inner rotation                        ,0.5113636363636362 ,0.5357142857142857,0.4891304347826087 ,92.0
Knees (alternating) to the breast          ,0.37142857142857144,0.6190476190476191,0.2653061224489796 ,49.0
Heels (alternatively) to the backside      ,0.588235294117647  ,0.7142857142857143,0.5                ,50.0
Knees bending (crouching)                  ,0.728476821192053  ,0.8029197080291971,0.6666666666666666 ,165.0
Knees (alternating) bending forward        ,0.8571428571428571 ,0.8465346534653465,0.868020304568528  ,197.0
Rotation on the knees                      ,0.75               ,0.75              ,0.75               ,112.0
Rowing                                     ,0.9245283018867924 ,0.9158878504672897,0.9333333333333333 ,210.0
Elliptical bike                            ,0.8180112570356474 ,0.919831223628692 ,0.7364864864864865 ,296.0
Cycling                                    ,0.8820326678765882 ,0.9798387096774194,0.801980198019802  ,303.0
accuracy                                   ,0.8939925571504519 ,0.8939925571504519,0.8939925571504519 ,0.8939925571504519
macro avg                                  ,0.7445850944836961 ,0.7781287977521513,0.7223484215491588 ,18810.0
weighted avg                               ,0.8928713705809117 ,0.8942621301182054,0.8939925571504519 ,18810.0
