                                           ,f1-score          ,precision         ,recall            ,support
No activity                                ,0.9362074451161311,0.9253872159760987,0.9472837022132797,12425.0
Walking                                    ,0.6548223350253806,0.6246973365617433,0.688             ,375.0
Jogging                                    ,0.7749999999999999,0.7359050445103857,0.8184818481848185,303.0
Running                                    ,0.8394160583941606,0.8778625954198473,0.8041958041958042,286.0
Jump up                                    ,0.5128205128205129,0.5263157894736842,0.5               ,60.0
Jump front and back                        ,0.6382978723404256,0.7142857142857143,0.5769230769230769,104.0
Jump sideways                              ,0.6896551724137931,0.6862745098039216,0.693069306930693 ,101.0
Jump leg/arms open/closed                  ,0.8820960698689956,0.8706896551724138,0.8938053097345132,113.0
Jump rope                                  ,0.5486725663716814,0.5636363636363636,0.5344827586206896,58.0
Trunk twist (arms outstretched)            ,0.9302325581395349,0.9625668449197861,0.9               ,200.0
Trunk twist (elbows bent)                  ,0.8680351906158358,0.8505747126436781,0.8862275449101796,167.0
Waist bends forward                        ,0.8169761273209548,0.7549019607843137,0.8901734104046243,173.0
Waist rotation                             ,0.7723577235772359,0.9223300970873787,0.6643356643356644,143.0
Waist bends (reach foot with opposite hand),0.9190938511326862,0.9466666666666667,0.8930817610062893,159.0
Reach heels backwards                      ,0.8345864661654135,0.8283582089552238,0.8409090909090909,132.0
Lateral bend                               ,0.8016194331983806,0.8048780487804879,0.7983870967741935,124.0
Lateral bend with arm up                   ,0.7435897435897436,0.7767857142857143,0.7131147540983607,122.0
Repetitive forward stretching              ,0.8378378378378378,0.8378378378378378,0.8378378378378378,74.0
Upper trunk and lower body opposite twist  ,0.5906040268456376,0.6984126984126984,0.5116279069767442,86.0
Lateral elevation of arms                  ,0.6444444444444444,0.8169014084507042,0.5321100917431193,109.0
Frontal elevation of arms                  ,0.759825327510917 ,0.7909090909090909,0.7310924369747899,119.0
Frontal hand claps                         ,0.7439613526570048,0.7777777777777778,0.7129629629629629,108.0
Frontal crossing of arms                   ,0.7866108786610879,0.8173913043478261,0.7580645161290323,124.0
Shoulders high-amplitude rotation          ,0.66              ,0.6947368421052632,0.6285714285714286,105.0
Shoulders low-amplitude rotation           ,0.5714285714285715,0.6101694915254238,0.5373134328358209,67.0
Arms inner rotation                        ,0.5575757575757575,0.5822784810126582,0.5348837209302325,86.0
Knees (alternating) to the breast          ,0.5507246376811594,0.7916666666666666,0.4222222222222222,45.0
Heels (alternatively) to the backside      ,0.6206896551724138,0.675             ,0.574468085106383 ,47.0
Knees bending (crouching)                  ,0.7175572519083969,0.8245614035087719,0.6351351351351351,148.0
Knees (alternating) bending forward        ,0.8961748633879781,0.8770053475935828,0.9162011173184358,179.0
Rotation on the knees                      ,0.6974358974358974,0.6868686868686869,0.7083333333333334,96.0
Rowing                                     ,0.9476439790575917,0.9427083333333334,0.9526315789473684,190.0
Elliptical bike                            ,0.7714884696016772,0.8932038834951457,0.6789667896678967,271.0
Cycling                                    ,0.8502024291497975,0.967741935483871 ,0.7581227436823105,277.0
accuracy                                   ,0.8925826734979041,0.8925826734979041,0.8925826734979041,0.8925826734979041
macro avg                                  ,0.7461083678366774,0.784037872596846 ,0.7197946020475391,17176.0
weighted avg                               ,0.8907422265746258,0.891943429160355 ,0.8925826734979041,17176.0
