Unnamed: 0                         ,f1-score           ,precision          ,recall              ,support
Noise                              ,0.8027228386128531 ,0.7437624155740962 ,0.8718360693910816  ,42945.0
Band Pull-Down Row                 ,0.02054794520547945,0.02120141342756184,0.019933554817275743,301.0
Bicep Curl                         ,0.3141426783479349 ,0.29494712103407755,0.3360107095046854  ,747.0
Box Jump (on bench)                ,0.0                ,0.0                ,0.0                 ,44.0
Burpee                             ,0.1431064572425829 ,0.14335664335664336,0.14285714285714285 ,574.0
Butterfly sit-up                   ,0.22661644695542998,0.2447457627118644 ,0.2109877264757452  ,1711.0
Chest Press                        ,0.17957746478873238,0.21888412017167386,0.15223880597014924 ,335.0
Crunch                             ,0.20130718954248364,0.28102189781021897,0.15682281059063136 ,491.0
Dip                                ,0.12893982808022922,0.14106583072100312,0.11873350923482848 ,379.0
Dumbbell Deadlift Row              ,0.07769423558897243,0.09011627906976744,0.06828193832599119 ,454.0
Dumbbell Row (both)                ,0.1212121212121212 ,0.15294117647058825,0.10038610038610038 ,518.0
Dumbbell Row (right)               ,0.02395209580838323,0.03333333333333333,0.018691588785046728,107.0
Dumbbell Squat (hands at side)     ,0.1868263473053892 ,0.2287390029325513 ,0.15789473684210525 ,494.0
Elliptical machine                 ,0.4173969490425187 ,0.4455994455994456 ,0.39255189255189255 ,1638.0
Punches                            ,0.30508474576271183,0.30310880829015546,0.3070866141732284  ,381.0
Jump Rope                          ,0.4712990936555891 ,0.5306122448979592 ,0.4239130434782609  ,920.0
Jumping Jacks                      ,0.4712643678160919 ,0.4910179640718562 ,0.4530386740331492  ,181.0
Kettlebell Swing                   ,0.2676691729323309 ,0.2834394904458599 ,0.2535612535612536  ,351.0
Lateral Raise                      ,0.1340388007054674 ,0.17757009345794392,0.1076487252124646  ,353.0
Lawnmower (both)                   ,0.0                ,0.0                ,0.0                 ,36.0
Lawnmower (right)                  ,0.0505050505050505 ,0.07575757575757576,0.03787878787878788 ,264.0
Lunge (both legs)                  ,0.13064361191162344,0.17754569190600522,0.1033434650455927  ,658.0
Ball Slam                          ,0.17586206896551726,0.2286995515695067 ,0.14285714285714285 ,357.0
Triceps Extension (standing - both),0.2240566037735849 ,0.2486910994764398 ,0.203862660944206   ,466.0
Plank                              ,0.5771382893685051 ,0.6224137931034482 ,0.5380029806259314  ,1342.0
Power Boat pose                    ,0.464              ,0.5248868778280543 ,0.4157706093189964  ,279.0
Pushups                            ,0.12670807453416147,0.1624203821656051 ,0.10386965376782076 ,491.0
Rowing machine                     ,0.25257323832145684,0.32852729145211124,0.20514469453376205 ,1555.0
Running                            ,0.5128044971892567 ,0.5851746258018532 ,0.4563646470261256  ,1799.0
Russian Twist                      ,0.18773466833541927,0.2525252525252525 ,0.14940239043824702 ,502.0
Seated Back Fly                    ,0.0648854961832061 ,0.11038961038961037,0.04594594594594595 ,370.0
Shoulder Press                     ,0.08092485549132948,0.1826086956521739 ,0.05198019801980198 ,404.0
Squat                              ,0.21126005361930292,0.2794326241134752 ,0.16982758620689656 ,2320.0
Triceps Kickback                   ,0.19012115563839704,0.24               ,0.1574074074074074  ,648.0
Triceps extension (lying)          ,0.3879173290937997 ,0.5041322314049587 ,0.3152454780361757  ,387.0
Dumbbell Curl                      ,0.3013415892672858 ,0.3371824480369515 ,0.2723880597014925  ,536.0
V-up                               ,0.28393524283935245,0.3864406779661017 ,0.22440944881889766 ,508.0
Walk                               ,0.5023969319271332 ,0.6022988505747127 ,0.4309210526315789  ,3040.0
Walking lunge                      ,0.1182389937106918 ,0.15562913907284767,0.09533468559837728 ,493.0
Wall Ball                          ,0.06532663316582914,0.10483870967741936,0.04744525547445255 ,274.0
Wall Squat                         ,0.1924257932446264 ,0.26330532212885155,0.15161290322580645 ,620.0
accuracy                           ,0.6338707611742774 ,0.6338707611742774 ,0.6338707611742774  ,0.6338707611742774
macro avg                          ,0.23400485257782516,0.2731308169263306 ,0.21003634023645068 ,70273.0
weighted avg                       ,0.6052885370667292 ,0.5895738936087568 ,0.6338707611742774  ,70273.0
