                                           ,f1-score          ,precision         ,recall             ,support
No activity                                ,0.9275834926346564,0.9176771609745245,0.9377060361486871 ,8797.0
Walking                                    ,0.627659574468085 ,0.5880398671096345,0.6730038022813688 ,263.0
Jogging                                    ,0.7404063205417608,0.7161572052401747,0.7663551401869159 ,214.0
Running                                    ,0.8268733850129198,0.851063829787234 ,0.8040201005025126 ,199.0
Jump up                                    ,0.4186046511627907,0.4090909090909091,0.42857142857142855,42.0
Jump front and back                        ,0.4403669724770642,0.5714285714285714,0.3582089552238806 ,67.0
Jump sideways                              ,0.6301369863013698,0.6133333333333333,0.647887323943662  ,71.0
Jump leg/arms open/closed                  ,0.8374999999999999,0.8481012658227848,0.8271604938271605 ,81.0
Jump rope                                  ,0.5679012345679012,0.6052631578947368,0.5348837209302325 ,43.0
Trunk twist (arms outstretched)            ,0.8821292775665399,0.9354838709677419,0.8345323741007195 ,139.0
Trunk twist (elbows bent)                  ,0.7863247863247863,0.7931034482758621,0.7796610169491526 ,118.0
Waist bends forward                        ,0.7559055118110237,0.7111111111111111,0.8067226890756303 ,119.0
Waist rotation                             ,0.806451612903226 ,0.8928571428571429,0.7352941176470589 ,102.0
Waist bends (reach foot with opposite hand),0.9230769230769231,0.9444444444444444,0.9026548672566371 ,113.0
Reach heels backwards                      ,0.8397790055248618,0.8539325842696629,0.8260869565217391 ,92.0
Lateral bend                               ,0.788235294117647 ,0.7976190476190477,0.7790697674418605 ,86.0
Lateral bend with arm up                   ,0.7602339181286549,0.7558139534883721,0.7647058823529411 ,85.0
Repetitive forward stretching              ,0.8076923076923077,0.8076923076923077,0.8076923076923077 ,52.0
Upper trunk and lower body opposite twist  ,0.6168224299065421,0.75              ,0.5238095238095238 ,63.0
Lateral elevation of arms                  ,0.6666666666666666,0.8070175438596491,0.5679012345679012 ,81.0
Frontal elevation of arms                  ,0.6708860759493671,0.726027397260274 ,0.6235294117647059 ,85.0
Frontal hand claps                         ,0.7407407407407409,0.7058823529411765,0.7792207792207793 ,77.0
Frontal crossing of arms                   ,0.7810650887573964,0.825             ,0.7415730337078652 ,89.0
Shoulders high-amplitude rotation          ,0.5734265734265734,0.6029411764705882,0.5466666666666666 ,75.0
Shoulders low-amplitude rotation           ,0.4666666666666667,0.5121951219512195,0.42857142857142855,49.0
Arms inner rotation                        ,0.5483870967741935,0.5483870967741935,0.5483870967741935 ,62.0
Knees (alternating) to the breast          ,0.2926829268292683,0.5               ,0.20689655172413793,29.0
Heels (alternatively) to the backside      ,0.5454545454545454,0.6521739130434783,0.46875            ,32.0
Knees bending (crouching)                  ,0.6492146596858639,0.7469879518072289,0.5740740740740741 ,108.0
Knees (alternating) bending forward        ,0.8366533864541832,0.8333333333333334,0.84               ,125.0
Rotation on the knees                      ,0.7285714285714286,0.6986301369863014,0.7611940298507462 ,67.0
Rowing                                     ,0.9411764705882353,0.920863309352518 ,0.9624060150375939 ,133.0
Elliptical bike                            ,0.7669616519174041,0.8904109589041096,0.6735751295336787 ,193.0
Cycling                                    ,0.9135135135135135,0.976878612716763 ,0.8578680203045685 ,197.0
accuracy                                   ,0.8790747448139612,0.8790747448139612,0.8790747448139612 ,0.8790747448139612
macro avg                                  ,0.7089926816533856,0.7443806504943656,0.6858423522429928 ,12148.0
weighted avg                               ,0.8770677566583098,0.877796123106736 ,0.8790747448139612 ,12148.0
