Unnamed: 0                         ,f1-score            ,precision           ,recall              ,support
Noise                              ,0.4200945053613617  ,0.8186647777581016  ,0.2825391651557439  ,49087.0
Band Pull-Down Row                 ,0.3480825958702065  ,0.35014836795252224 ,0.3460410557184751  ,341.0
Bicep Curl                         ,0.4498997995991984  ,0.393169877408056   ,0.5257611241217799  ,854.0
Box Jump (on bench)                ,0.012422360248447204,0.009009009009009007,0.02                ,50.0
Burpee                             ,0.3907326236693801  ,0.3347639484978541  ,0.4691729323308271  ,665.0
Butterfly sit-up                   ,0.4535452322738386  ,0.3783140720598233  ,0.5661241098677517  ,1966.0
Chest Press                        ,0.42424242424242425 ,0.27602523659305994 ,0.9162303664921466  ,382.0
Crunch                             ,0.4432234432234433  ,0.45574387947269296 ,0.4313725490196079  ,561.0
Dip                                ,0.4156545209176787  ,0.2941738299904489  ,0.7080459770114943  ,435.0
Dumbbell Deadlift Row              ,0.3342670401493931  ,0.3225225225225225  ,0.3468992248062016  ,516.0
Dumbbell Row (both)                ,0.029378531073446332,0.04406779661016949 ,0.022033898305084745,590.0
Dumbbell Row (right)               ,0.1619718309859155  ,0.13855421686746988 ,0.19491525423728812 ,118.0
Dumbbell Squat (hands at side)     ,0.18928670552317514 ,0.11254125412541252 ,0.5951134380453752  ,573.0
Elliptical machine                 ,0.6596528143082588  ,0.6504149377593361  ,0.6691568836712913  ,1874.0
Punches                            ,0.7953216374269007  ,0.8037825059101655  ,0.7870370370370371  ,432.0
Jump Rope                          ,0.4577319587628866  ,0.3580645161290323  ,0.6342857142857142  ,1050.0
Jumping Jacks                      ,0.653913043478261   ,0.5081081081081081  ,0.9170731707317074  ,205.0
Kettlebell Swing                   ,0.4652996845425868  ,0.3410404624277457  ,0.7320099255583127  ,403.0
Lateral Raise                      ,0.3371150729335495  ,0.24940047961630696 ,0.52                ,400.0
Lawnmower (both)                   ,0.0                 ,0.0                 ,0.0                 ,41.0
Lawnmower (right)                  ,0.10357142857142858 ,0.07099143206854346 ,0.19141914191419146 ,303.0
Lunge (both legs)                  ,0.10317460317460317 ,0.0772787318361955  ,0.15517241379310345 ,754.0
Ball Slam                          ,0.3223684210526315  ,0.2876712328767123  ,0.36658354114713215 ,401.0
Triceps Extension (standing - both),0.6628099173553719  ,0.5879765395894428  ,0.759469696969697   ,528.0
Plank                              ,0.1363040629095675  ,0.07414589630981577 ,0.8430609597924773  ,1542.0
Power Boat pose                    ,0.18813618813618813 ,0.10597073942269672 ,0.8375              ,320.0
Pushups                            ,0.3679060665362036  ,0.28804902962206336 ,0.5090252707581228  ,554.0
Rowing machine                     ,0.6618895966029723  ,0.6282115869017633  ,0.6993830622546271  ,1783.0
Running                            ,0.7332555425904317  ,0.7041685342895563  ,0.7648490749756572  ,2054.0
Russian Twist                      ,0.3201692524682652  ,0.2673733804475854  ,0.3989455184534271  ,569.0
Seated Back Fly                    ,0.11589403973509932 ,0.19230769230769232 ,0.08293838862559241 ,422.0
Shoulder Press                     ,0.3734533183352081  ,0.3896713615023473  ,0.35853131749460043 ,463.0
Squat                              ,0.026054165238258483,0.13970588235294118 ,0.01436672967863894 ,2645.0
Triceps Kickback                   ,0.4343971631205674  ,0.6380208333333334  ,0.3293010752688172  ,744.0
Triceps extension (lying)          ,0.5331833520809899  ,0.5278396436525612  ,0.5386363636363637  ,440.0
Dumbbell Curl                      ,0.4171952078928824  ,0.369538077403246   ,0.4789644012944984  ,618.0
V-up                               ,0.642078792958927   ,0.6217532467532467  ,0.6637781629116117  ,577.0
Walk                               ,0.5354048964218456  ,0.397956326987682   ,0.8178941311852704  ,3476.0
Walking lunge                      ,0.2907546553413917  ,0.17821385662795355 ,0.7890070921985816  ,564.0
Wall Ball                          ,0.6043360433604337  ,0.5198135198135199  ,0.7216828478964401  ,309.0
Wall Squat                         ,0.10841983852364476 ,0.07428872497365648 ,0.20056899004267426 ,703.0
accuracy                           ,0.3852350831756151  ,0.3852350831756151  ,0.3852350831756151  ,0.3852350831756151
macro avg                          ,0.3688437165121284  ,0.3409623431192779  ,0.4928021952850576  ,80312.0
weighted avg                       ,0.4158508327225313  ,0.645076680030451   ,0.3852350831756151  ,80312.0
