Unnamed: 0                         ,f1-score             ,precision            ,recall               ,support
Noise                              ,0.00420437312796662  ,0.5659640905542545   ,0.0021100239233057235,343598.0
Band Pull-Down Row                 ,0.011171032357473036 ,0.010357142857142856 ,0.012123745819397994 ,2392.0
Bicep Curl                         ,0.09108813392417528  ,0.08938637461749074  ,0.0928559477998996   ,5977.0
Box Jump (on bench)                ,0.003339404978749241 ,0.001763103061388043 ,0.03151862464183381  ,349.0
Burpee                             ,0.07754289506114323  ,0.04970831307729704  ,0.17621714778112882  ,4642.0
Butterfly sit-up                   ,0.003123048094940662 ,0.010917030567685587 ,0.0018221574344023325,13720.0
Chest Press                        ,0.03489491416653297  ,0.019544412993664915 ,0.16261682242990655  ,2675.0
Crunch                             ,0.012792898635859277 ,0.008595737216033681 ,0.025                ,3920.0
Dip                                ,0.05296506904955321  ,0.035152037955574734 ,0.10737812911725957  ,3036.0
Dumbbell Deadlift Row              ,0.02277580071174377  ,0.017957351290684626 ,0.0311284046692607   ,3598.0
Dumbbell Row (both)                ,0.021852237252861603 ,0.02365530836384117  ,0.02030456852791878  ,4137.0
Dumbbell Row (right)               ,0.019672131147540985 ,0.014218009478672985 ,0.031914893617021274 ,846.0
Dumbbell Squat (hands at side)     ,0.09660574412532637  ,0.05931524103973434  ,0.26017076845806125  ,3982.0
Elliptical machine                 ,0.23755562692113594  ,0.2976204161397862   ,0.1976637654603756   ,13098.0
Punches                            ,0.2951158940397351   ,0.21498567767224486  ,0.4704717914879578   ,3031.0
Jump Rope                          ,0.28744565933342114  ,0.27917093142272265  ,0.2962259027966332   ,7366.0
Jumping Jacks                      ,0.33948736332676105  ,0.2291313815630293   ,0.6549100968188105   ,1446.0
Kettlebell Swing                   ,0.07798431600348532  ,0.04895614914759778  ,0.1915804495183732   ,2803.0
Lateral Raise                      ,0.031041723728658814 ,0.020869138227350845 ,0.060562878517990734 ,2807.0
Lawnmower (both)                   ,0.0015698587127158554,0.0008030838419530999,0.034722222222222224 ,288.0
Lawnmower (right)                  ,0.017305315203955503 ,0.013865308432371251 ,0.023015500234852042 ,2129.0
Lunge (both legs)                  ,0.039474544147441344 ,0.03012168362258129  ,0.057251184834123225 ,5275.0
Ball Slam                          ,0.042324371205550736 ,0.028042753706470518 ,0.0862495581477554   ,2829.0
Triceps Extension (standing - both),0.04347328680928955  ,0.03775084442678323  ,0.05124056094929881  ,3708.0
Plank                              ,0.10490378646803228  ,0.05598859850355359  ,0.830351348845833    ,10787.0
Power Boat pose                    ,0.03908981122481408  ,0.021037868162692847 ,0.2754142409314823   ,2233.0
Pushups                            ,0.04471157370079895  ,0.03127563576702215  ,0.07838601901824724  ,3891.0
Rowing machine                     ,0.05279521323400011  ,0.09853295379899278  ,0.036057692307692304 ,12480.0
Running                            ,0.3958505600240547   ,0.4306157494480334   ,0.3662794741601169   ,14377.0
Russian Twist                      ,0.04167478091528725  ,0.028194993412384718 ,0.07985074626865672  ,4020.0
Seated Back Fly                    ,0.014647664291369752 ,0.01764425369575584  ,0.01252115059221658  ,2955.0
Shoulder Press                     ,0.030075187969924814 ,0.0209551656920078   ,0.05325077399380805  ,3230.0
Squat                              ,0.0030656645569620256,0.018364928909952602 ,0.0016724212343547694,18536.0
Triceps Kickback                   ,0.008850862959138516 ,0.019083969465648856 ,0.005761474937584022 ,5207.0
Triceps extension (lying)          ,0.0513386375515419   ,0.03125              ,0.14373983739837398  ,3075.0
Dumbbell Curl                      ,0.06024598707525537  ,0.05462105462105462  ,0.06716244480594934  ,4303.0
V-up                               ,0.0397231096911608   ,0.02536379708962328  ,0.09155621011291114  ,4074.0
Walk                               ,0.2428183486238532   ,0.1888614878750514   ,0.33993670625950434  ,24331.0
Walking lunge                      ,0.03887180158366599  ,0.02616970658207772  ,0.07553407934893185  ,3932.0
Wall Ball                          ,0.029471455042795375 ,0.01820957365608985  ,0.07724329324699353  ,2162.0
Wall Squat                         ,0.0305879621568286   ,0.017853513110644353 ,0.10668016194331983  ,4940.0
accuracy                           ,0.070220656901198    ,0.070220656901198    ,0.070220656901198    ,0.070220656901198
macro avg                          ,0.07545190363745123  ,0.07833840905041323  ,0.13952324928326254  ,562185.0
weighted avg                       ,0.04580784775640534  ,0.3871952292966346   ,0.070220656901198    ,562185.0
