Unnamed: 0                         ,f1-score            ,precision            ,recall              ,support
Noise                              ,0.053882566220163165,0.6930051813471503   ,0.028031017499738027,38172.0
Band Pull-Down Row                 ,0.014302741358760428,0.008504606661941885 ,0.0449438202247191  ,267.0
Bicep Curl                         ,0.3389830508474577  ,0.3005780346820809   ,0.3886397608370703  ,669.0
Box Jump (on bench)                ,0.03448275862068965 ,0.018484288354898338 ,0.2564102564102564  ,39.0
Burpee                             ,0.0680402491614758  ,0.04530950861518826  ,0.13653846153846153 ,520.0
Butterfly sit-up                   ,0.06329113924050632 ,0.08792497069167643  ,0.04943968358602505 ,1517.0
Chest Press                        ,0.0713978494623656  ,0.040906850665352386 ,0.28040540540540543 ,296.0
Crunch                             ,0.07904191616766466 ,0.045454545454545456 ,0.3027522935779817  ,436.0
Dip                                ,0.10871794871794874 ,0.06587942821628341  ,0.31085043988269795 ,341.0
Dumbbell Deadlift Row              ,0.04139072847682119 ,0.03101736972704715  ,0.06218905472636816 ,402.0
Dumbbell Row (both)                ,0.02716225875625447 ,0.02021276595744681  ,0.04139433551198257 ,459.0
Dumbbell Row (right)               ,0.012024048096192386,0.006414825374198147 ,0.09574468085106384 ,94.0
Dumbbell Squat (hands at side)     ,0.1688059120964605  ,0.10187793427230046  ,0.492063492063492   ,441.0
Elliptical machine                 ,0.14596585202544354 ,0.1421121251629726   ,0.15003441156228492 ,1453.0
Punches                            ,0.3593155893536122  ,0.2639664804469274   ,0.5625              ,336.0
Jump Rope                          ,0.3950617283950617  ,0.4900900900900901   ,0.3309002433090024  ,822.0
Jumping Jacks                      ,0.5529411764705883  ,0.4063400576368876   ,0.8650306748466258  ,163.0
Kettlebell Swing                   ,0.29492344883158744 ,0.1963519313304721   ,0.5922330097087378  ,309.0
Lateral Raise                      ,0.0943952802359882  ,0.061420345489443376 ,0.20382165605095545 ,314.0
Lawnmower (both)                   ,0.001951219512195122,0.0010080645161290322,0.030303030303030307,33.0
Lawnmower (right)                  ,0.03778677462887989 ,0.02247191011235955  ,0.11864406779661014 ,236.0
Lunge (both legs)                  ,0.04447852760736196 ,0.04022191400832178  ,0.04974271012006861 ,583.0
Ball Slam                          ,0.18871794871794872 ,0.13918305597579425  ,0.2929936305732484  ,314.0
Triceps Extension (standing - both),0.1462857142857143  ,0.13763440860215054  ,0.15609756097560976 ,410.0
Plank                              ,0.121937809273627   ,0.06577906670181914  ,0.83375104427736    ,1197.0
Power Boat pose                    ,0.055204140310523286,0.03223640026863667  ,0.192               ,250.0
Pushups                            ,0.1182669789227166  ,0.07946498819826907  ,0.2311212814645309  ,437.0
Rowing machine                     ,0.16938110749185667 ,0.194392523364486    ,0.15007215007215008 ,1386.0
Running                            ,0.4123116383456236  ,0.42247043363994746  ,0.4026299311208516  ,1597.0
Russian Twist                      ,0.17142857142857146 ,0.1325153374233129   ,0.24269662921348314 ,445.0
Seated Back Fly                    ,0.05321100917431193 ,0.038157894736842106 ,0.08787878787878788 ,330.0
Shoulder Press                     ,0.0411663807890223  ,0.02959309494451295  ,0.0676056338028169  ,355.0
Squat                              ,0.016199016488284642,0.02007168458781362  ,0.013579049466537345,2062.0
Triceps Kickback                   ,0.05311203319502075 ,0.0512               ,0.05517241379310345 ,580.0
Triceps extension (lying)          ,0.22950819672131145 ,0.19215686274509805  ,0.28488372093023256 ,344.0
Dumbbell Curl                      ,0.1200750469043152  ,0.10865874363327674  ,0.13417190775681342 ,477.0
V-up                               ,0.19460880999342536 ,0.13805970149253732  ,0.32962138084632514 ,449.0
Walk                               ,0.3156194475852043  ,0.2801032110091743   ,0.3614502404735479  ,2703.0
Walking lunge                      ,0.14271938283510127 ,0.12292358803986712  ,0.17011494252873566 ,435.0
Wall Ball                          ,0.1581749049429658  ,0.09674418604651162  ,0.43333333333333335 ,240.0
Wall Squat                         ,0.02791014295439074 ,0.017183570829840736 ,0.07427536231884058 ,552.0
accuracy                           ,0.1135836068198191  ,0.1135836068198191   ,0.1135836068198191  ,0.1135836068198191
macro avg                          ,0.14010197669861987 ,0.13141663368423426  ,0.24161125625948496 ,62465.0
weighted avg                       ,0.09780852548466157 ,0.4826900603847522   ,0.1135836068198191  ,62465.0
