Unnamed: 0                         ,f1-score           ,precision          ,recall            ,support
Noise                              ,0.884297714305798  ,0.8900011791062374 ,0.8786668839634941,85904.0
Band Pull-Down Row                 ,0.5854483925549916 ,0.5914529914529915 ,0.5795644891122278,597.0
Bicep Curl                         ,0.6868820039551747 ,0.6739974126778784 ,0.7002688172043011,1488.0
Box Jump (on bench)                ,0.32142857142857145,0.3333333333333333 ,0.3103448275862069,87.0
Burpee                             ,0.4514522821576763 ,0.43694779116465865,0.4669527896995708,1165.0
Butterfly sit-up                   ,0.6526651216685979 ,0.649466705102335  ,0.6558951965065503,3435.0
Chest Press                        ,0.6443949517446176 ,0.6420118343195266 ,0.6467958271236961,671.0
Crunch                             ,0.7097435897435899 ,0.7126673532440783 ,0.7068437180796732,979.0
Dip                                ,0.6344647519582246 ,0.6270967741935484 ,0.6420079260237781,757.0
Dumbbell Deadlift Row              ,0.5403001667593108 ,0.54               ,0.5406006674082313,899.0
Dumbbell Row (both)                ,0.4697040864255518 ,0.4557885141294439 ,0.4844961240310077,1032.0
Dumbbell Row (right)               ,0.41981132075471705,0.4158878504672897 ,0.4238095238095238,210.0
Dumbbell Squat (hands at side)     ,0.6433282597666158 ,0.6515930113052415 ,0.6352705410821643,998.0
Elliptical machine                 ,0.8795053536419847 ,0.8678571428571429 ,0.8914704983185571,3271.0
Punches                            ,0.8633093525179856 ,0.8527131782945736 ,0.8741721854304636,755.0
Jump Rope                          ,0.8013993541442411 ,0.794981313400961  ,0.8079218665219751,1843.0
Jumping Jacks                      ,0.903137789904502  ,0.8873994638069705 ,0.9194444444444444,360.0
Kettlebell Swing                   ,0.7459986082115518 ,0.73224043715847   ,0.7602836879432624,705.0
Lateral Raise                      ,0.5102184637068358 ,0.5027777777777778 ,0.5178826895565093,699.0
Lawnmower (both)                   ,0.382716049382716  ,0.34831460674157305,0.4246575342465753,73.0
Lawnmower (right)                  ,0.4721435316336167 ,0.4716981132075472 ,0.4725897920604915,529.0
Lunge (both legs)                  ,0.4507145474532796 ,0.4367897727272727 ,0.46555639666919  ,1321.0
Ball Slam                          ,0.5066854327938072 ,0.5063291139240507 ,0.5070422535211268,710.0
Triceps Extension (standing - both),0.7543216343635412 ,0.7324516785350966 ,0.7775377969762419,926.0
Plank                              ,0.8278915329275042 ,0.8243938280675973 ,0.8314190440904039,2699.0
Power Boat pose                    ,0.677390527256479  ,0.6743772241992882 ,0.6804308797127468,557.0
Pushups                            ,0.7157360406091371 ,0.7078313253012049 ,0.7238193018480493,974.0
Rowing machine                     ,0.8516273133375878 ,0.848109310454401  ,0.8551746235181031,3121.0
Running                            ,0.8658940397350993 ,0.8580803937653815 ,0.8738512949039264,3591.0
Russian Twist                      ,0.5908183632734529 ,0.5920000000000001 ,0.5896414342629482,1004.0
Seated Back Fly                    ,0.4895482130815914 ,0.4892183288409703 ,0.4898785425101215,741.0
Shoulder Press                     ,0.7276073619631901 ,0.7187878787878788 ,0.7366459627329193,805.0
Squat                              ,0.7429305912596401 ,0.7370882040382571 ,0.7488663355646729,4631.0
Triceps Kickback                   ,0.5919145690312738 ,0.5869894099848714 ,0.5969230769230769,1300.0
Triceps extension (lying)          ,0.7067961165048544 ,0.7063389391979301 ,0.7072538860103627,772.0
Dumbbell Curl                      ,0.7051222888786342 ,0.7009174311926606 ,0.7093779015784587,1077.0
V-up                               ,0.6610505450941527 ,0.667              ,0.6552062868369352,1018.0
Walk                               ,0.7667958656330749 ,0.7534116153602031 ,0.7806642551792173,6082.0
Walking lunge                      ,0.5043389484430832 ,0.5066666666666667 ,0.5020325203252033,984.0
Wall Ball                          ,0.7243947858472998 ,0.7271028037383177 ,0.7217068645640075,539.0
Wall Squat                         ,0.4512820512820513 ,0.4406779661016949 ,0.4624090541632983,1237.0
accuracy                           ,0.8139043444850796 ,0.8139043444850796 ,0.8139043444850796,0.8139043444850796
macro avg                          ,0.6467124508569659 ,0.6412875286493981 ,0.6525701888303346,140546.0
weighted avg                       ,0.8146765639931396 ,0.8155928700586451 ,0.8139043444850796,140546.0
